Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	153	75	72	151	72	156	154	152	155	123	117	122	112	119	116	137	134
Th106.09		0	110	111	9	107	14	8	8	10	178	169	176	166	172	170	190	185
Th106.11			0	6	105	5	114	109	109	109	179	173	178	169	175	163	185	181
Th117.11				0	111	7	114	110	110	110	176	171	176	165	172	161	182	177
Th132.11					0	105	10	4	6	11	175	166	173	162	169	167	188	184
Th134.11						0	109	107	109	107	175	171	175	167	172	161	181	177
Th162.12							0	7	9	19	182	173	180	170	175	174	192	185
Th196.12								0	2	12	186	175	183	172	178	174	196	189
Th230.12									0	12	173	165	171	159	171	166	187	182
Th074.13										0	178	169	177	165	172	166	188	183
Th166.12											0	17	19	31	25	116	134	130
Th092.13												0	19	35	32	112	131	125
Th211.13													0	31	30	118	137	132
Th245.13														0	39	112	129	129
Th246.13															0	114	132	128
Th068.12																0	57	61
Th061.13																	0	43
Th095.13																		0
