from	to	frshared	logp	sites
Th086.07	Th106.09	0.51669	-1.72925e+03	274
Th086.07	Th106.11	0.71159	-1.71549e+03	242
Th086.07	Th117.11	0.67343	-1.73814e+03	245
Th086.07	Th132.11	0.52610	-1.80910e+03	278
Th086.07	Th134.11	0.66451	-1.78132e+03	241
Th086.07	Th196.12	0.49314	-1.70610e+03	290
Th086.07	Th230.12	0.48370	-1.74755e+03	275
Th086.07	Th074.13	0.50733	-1.73971e+03	282
Th086.07	Th166.12	0.00007	-1.04648e+04	5886
Th106.09	Th106.11	0.91341	-1.25986e+03	154
Th106.09	Th117.11	0.89996	-1.28143e+03	153
Th106.09	Th132.11	0.98713	-1.25059e+03	59
Th106.09	Th134.11	0.90906	-1.32050e+03	148
Th106.09	Th196.12	0.92851	-1.19093e+03	72
Th106.09	Th230.12	0.97131	-1.19488e+03	61
Th106.09	Th074.13	0.99655	-1.16706e+03	61
Th106.09	Th166.12	0.00000	-1.01657e+04	5826
Th106.11	Th117.11	0.98849	-1.13908e+03	112
Th106.11	Th132.11	0.87898	-1.34605e+03	158
Th106.11	Th134.11	0.99378	-1.21778e+03	117
Th106.11	Th196.12	0.87717	-1.27313e+03	168
Th106.11	Th230.12	0.90947	-1.26661e+03	152
Th106.11	Th074.13	0.87031	-1.23928e+03	157
Th106.11	Th166.12	0.00000	-1.01782e+04	5868
Th117.11	Th132.11	0.89300	-1.36478e+03	160
Th117.11	Th134.11	0.96685	-1.23925e+03	119
Th117.11	Th196.12	0.85893	-1.29938e+03	171
Th117.11	Th230.12	0.86563	-1.28642e+03	156
Th117.11	Th074.13	0.85973	-1.27248e+03	160
Th117.11	Th166.12	0.00000	-1.02030e+04	5859
Th132.11	Th134.11	0.83962	-1.42159e+03	159
Th132.11	Th196.12	0.94356	-1.27186e+03	76
Th132.11	Th230.12	0.97987	-1.24262e+03	59
Th132.11	Th074.13	0.98296	-1.25310e+03	66
Th132.11	Th166.12	0.00000	-1.02311e+04	5819
Th134.11	Th196.12	0.82462	-1.34643e+03	170
Th134.11	Th230.12	0.85315	-1.30788e+03	158
Th134.11	Th074.13	0.86770	-1.31213e+03	157
Th134.11	Th166.12	0.00000	-1.02384e+04	5852
Th196.12	Th230.12	0.99548	-1.16788e+03	70
Th196.12	Th074.13	0.93215	-1.15524e+03	75
Th196.12	Th166.12	0.00000	-1.01467e+04	5853
Th230.12	Th074.13	0.98117	-1.18422e+03	66
Th230.12	Th166.12	0.00000	-1.01836e+04	5833
Th074.13	Th166.12	0.00000	-1.01582e+04	5834
