sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
Th086.07	Th106.09	595	0.9445	-1.06527e+03	5	7.083	0	0.00000	0.00063
Th086.07	Th106.11	513	0.6472	-1.18752e+03	5	14.265	20	0.11094	0.27357
Th086.07	Th117.11	505	0.6455	-1.15937e+03	5	12.914	15	0.12541	0.26783
Th086.07	Th132.11	606	0.9554	-1.06787e+03	4	0.075	0	0.00000	0.00000
Th086.07	Th134.11	511	0.6458	-1.16921e+03	5	12.365	15	0.12541	0.26228
Th086.07	Th162.12	611	0.9493	-1.09417e+03	4	0.179	0	0.00000	0.00000
Th086.07	Th196.12	616	0.9545	-1.08625e+03	4	0.194	0	0.00000	0.00000
Th086.07	Th230.12	607	0.9506	-1.06637e+03	3	0.364	0	0.00000	0.00000
Th086.07	Th074.13	608	0.9556	-1.08677e+03	4	0.098	0	0.00000	0.00000
Th086.07	Th166.12	636	0.9434	-1.28811e+03	5	21.258	2	0.00243	0.02052
Th086.07	Th092.13	623	0.9390	-1.27178e+03	5	20.263	2	0.00243	0.02091
Th086.07	Th211.13	618	0.9337	-1.26722e+03	5	20.291	2	0.00243	0.02107
Th086.07	Th245.13	612	0.9346	-1.29831e+03	4	0.013	0	0.00000	0.00000
Th086.07	Th246.13	601	0.9351	-1.25073e+03	5	21.028	2	0.00243	0.02178
Th086.07	Th068.12	636	0.9167	-1.50550e+03	5	0.029	0	0.00000	0.00000
Th086.07	Th061.13	673	0.9227	-1.56507e+03	3	0.020	0	0.00000	0.00000
Th086.07	Th095.13	687	0.9229	-1.58542e+03	4	0.053	0	0.00000	0.00000
Th086.07		503	0.6859	-1.49776e+03	5	25.756	63	0.26792	0.35095
Th106.09	Th106.11	464	0.7112	-9.99996e+02	5	15.423	34	0.41960	0.46418
Th106.09	Th117.11	456	0.7105	-9.80916e+02	5	16.215	36	0.42220	0.46749
Th106.09	Th132.11	316	0.2247	-8.62113e+02	5	22.788	36	0.89380	0.82031
Th106.09	Th134.11	462	0.7100	-1.00797e+03	5	18.691	46	0.50119	0.46371
Th106.09	Th162.12	326	0.2485	-8.90375e+02	5	28.104	54	0.90486	0.80256
Th106.09	Th196.12	322	0.2205	-8.66282e+02	5	18.705	31	0.87326	0.81435
Th106.09	Th230.12	314	0.2038	-8.28334e+02	5	23.223	37	0.89696	0.84155
Th106.09	Th074.13	314	0.1975	-8.46988e+02	5	19.782	31	0.88571	0.81768
Th106.09	Th166.12	649	1.0000	-9.67292e+02	2	0.002	0	0.00000	0.00000
Th106.09	Th092.13	638	1.0000	-9.48042e+02	3	0.000	0	0.00000	0.00000
Th106.09	Th211.13	635	1.0000	-9.39991e+02	3	0.000	0	0.00000	0.00000
Th106.09	Th245.13	628	1.0000	-9.71937e+02	2	0.002	0	0.00000	0.00000
Th106.09	Th246.13	617	1.0000	-9.25580e+02	3	0.000	0	0.00000	0.00000
Th106.09	Th068.12	660	0.9848	-1.17150e+03	2	0.005	0	0.00000	0.00000
Th106.09	Th061.13	697	0.9871	-1.23107e+03	3	0.001	0	0.00000	0.00000
Th106.09	Th095.13	712	0.9874	-1.25004e+03	3	0.001	0	0.00000	0.00000
Th106.09		584	0.9846	-1.10077e+03	3	0.007	0	0.00000	0.00000
Th106.11	Th117.11	349	0.1261	-8.70331e+02	5	32.119	29	0.97183	0.90548
Th106.11	Th132.11	474	0.7321	-1.00929e+03	5	17.197	42	0.42834	0.46129
Th106.11	Th134.11	354	0.1328	-8.87375e+02	5	27.099	35	0.95597	0.86813
Th106.11	Th162.12	489	0.7485	-1.04003e+03	5	14.885	32	0.37898	0.39340
Th106.11	Th196.12	484	0.7335	-1.02693e+03	5	13.369	30	0.41534	0.42504
Th106.11	Th230.12	476	0.7311	-9.92763e+02	5	12.948	34	0.46634	0.46523
Th106.11	Th074.13	476	0.7206	-1.01686e+03	5	13.857	30	0.44740	0.45719
Th106.11	Th166.12	675	0.9896	-1.05740e+03	2	0.002	0	0.00000	0.00000
Th106.11	Th092.13	662	0.9864	-1.04092e+03	2	0.003	0	0.00000	0.00000
Th106.11	Th211.13	659	0.9848	-1.03356e+03	2	0.003	0	0.00000	0.00000
Th106.11	Th245.13	652	0.9862	-1.06482e+03	2	0.002	0	0.00000	0.00000
Th106.11	Th246.13	641	0.9860	-1.01846e+03	2	0.003	0	0.00000	0.00000
Th106.11	Th068.12	680	0.9691	-1.26854e+03	2	0.003	0	0.00000	0.00000
Th106.11	Th061.13	717	0.9721	-1.32811e+03	3	0.001	0	0.00000	0.00000
Th106.11	Th095.13	732	0.9727	-1.34708e+03	3	0.001	0	0.00000	0.00000
Th106.11		608	0.9671	-1.19504e+03	3	0.003	0	0.00000	0.00000
Th117.11	Th132.11	467	0.7323	-9.97919e+02	5	16.154	37	0.38637	0.43977
Th117.11	Th134.11	347	0.1210	-8.48028e+02	5	28.727	26	0.97297	0.89303
Th117.11	Th162.12	481	0.7484	-1.02168e+03	5	16.199	35	0.38673	0.39945
Th117.11	Th196.12	477	0.7338	-1.01322e+03	5	14.537	34	0.39927	0.42221
Th117.11	Th230.12	470	0.7319	-9.81390e+02	5	14.131	38	0.48693	0.46491
Th117.11	Th074.13	468	0.7265	-9.93461e+02	5	11.860	26	0.42164	0.44724
Th117.11	Th166.12	663	0.9864	-1.04446e+03	2	0.003	0	0.00000	0.00000
Th117.11	Th092.13	650	0.9831	-1.02798e+03	3	0.001	0	0.00000	0.00000
Th117.11	Th211.13	647	0.9830	-1.01993e+03	3	0.001	0	0.00000	0.00000
Th117.11	Th245.13	640	0.9828	-1.05188e+03	2	0.003	0	0.00000	0.00000
Th117.11	Th246.13	629	0.9825	-1.00552e+03	3	0.001	0	0.00000	0.00000
Th117.11	Th068.12	671	0.9702	-1.25144e+03	2	0.002	0	0.00000	0.00000
Th117.11	Th061.13	709	0.9718	-1.31101e+03	3	0.001	0	0.00000	0.00000
Th117.11	Th095.13	724	0.9724	-1.32998e+03	3	0.001	0	0.00000	0.00000
Th117.11		601	0.9734	-1.17447e+03	3	0.000	0	0.00000	0.00000
Th132.11	Th134.11	475	0.7389	-1.01348e+03	5	15.492	34	0.42012	0.41758
Th132.11	Th162.12	328	0.2317	-8.95814e+02	5	24.587	42	0.86561	0.79313
