pair	fraction_shared	log_p	N_informative_site
Th086.07_Th106.09	0.00000	-4.36174e+02	276
Th086.07_Th106.11	0.04889	-4.95841e+02	277
Th086.07_Th117.11	0.05995	-4.88963e+02	280
Th086.07_Th132.11	0.00000	-4.49256e+02	281
Th086.07_Th134.11	0.05572	-5.04262e+02	273
Th086.07_Th196.12	0.00000	-4.45225e+02	292
Th086.07_Th230.12	0.01434	-4.45853e+02	277
Th086.07_Th074.13	0.00000	-4.38925e+02	283
Th106.09_Th106.11	0.13662	-2.54464e+02	155
Th106.09_Th117.11	0.16134	-2.50717e+02	154
Th106.09_Th132.11	0.44929	-2.57568e+02	28
Th106.09_Th134.11	0.13445	-2.69507e+02	149
Th106.09_Th196.12	0.28564	-2.60800e+02	40
Th106.09_Th230.12	0.48160	-2.63728e+02	32
Th106.09_Th074.13	0.50259	-2.38722e+02	28
Th106.11_Th117.11	0.69793	-2.61706e+02	146
Th106.11_Th132.11	0.21628	-2.70558e+02	160
Th106.11_Th134.11	0.59687	-2.97055e+02	148
Th106.11_Th196.12	0.00000	-2.69496e+02	169
Th106.11_Th230.12	0.19186	-2.62052e+02	153
Th106.11_Th074.13	0.31787	-2.55577e+02	157
Th117.11_Th132.11	0.05560	-2.70703e+02	162
Th117.11_Th134.11	0.66518	-2.95695e+02	150
Th117.11_Th196.12	0.08804	-2.71224e+02	172
Th117.11_Th230.12	0.17203	-2.67706e+02	157
Th117.11_Th074.13	0.22353	-2.52492e+02	160
Th132.11_Th134.11	0.12494	-2.86197e+02	161
Th132.11_Th196.12	0.22929	-2.88332e+02	44
Th132.11_Th230.12	0.52767	-2.70304e+02	30
Th132.11_Th074.13	0.39175	-2.68200e+02	34
Th134.11_Th196.12	0.02145	-2.91632e+02	171
Th134.11_Th230.12	0.19186	-2.71996e+02	159
Th134.11_Th074.13	0.22398	-2.75743e+02	157
Th196.12_Th230.12	0.35052	-2.80652e+02	40
Th196.12_Th074.13	0.34891	-2.57359e+02	42
Th230.12_Th074.13	0.45117	-2.68452e+02	36
