SM-7LV8O_1	SM-7LV8O_2	SM-7LV8P_1	SM-7LV8P_2	SM-7LV8Q_1	SM-7LV8Q_2	SM-7LV8R_1	SM-7LV8R_2	SM-7LV8S_1	SM-7LV8S_2	SM-7LV8T_1	SM-7LV8T_2	SM-7LV8U_1	SM-7LV8U_2	SM-7LV8V_1	SM-7LV8V_2
SM-7LV8O_1	0	0	632	632	679	679	655	655	22125	22125	22119	22119	22135	22135	22096	22096
SM-7LV8O_2		0	632	632	679	679	655	655	22125	22125	22119	22119	22135	22135	22096	22096
SM-7LV8P_1			0	0	659	659	573	573	22099	22099	22099	22099	22109	22109	22070	22070
SM-7LV8P_2				0	659	659	573	573	22099	22099	22099	22099	22109	22109	22070	22070
SM-7LV8Q_1					0	0	692	692	22166	22166	22170	22170	22174	22174	22137	22137
SM-7LV8Q_2						0	692	692	22166	22166	22170	22170	22174	22174	22137	22137
SM-7LV8R_1							0	0	22106	22106	22110	22110	22114	22114	22077	22077
SM-7LV8R_2								0	22106	22106	22110	22110	22114	22114	22077	22077
SM-7LV8S_1									0	0	26	26	32	32	39	39
SM-7LV8S_2										0	26	26	32	32	39	39
SM-7LV8T_1											0	0	36	36	39	39
SM-7LV8T_2												0	36	36	39	39
SM-7LV8U_1													0	0	49	49
SM-7LV8U_2														0	49	49
SM-7LV8V_1															0	0
SM-7LV8V_2																0
