SM-7LV8O_1	SM-7LV8O_2	SM-7LV8P_1	SM-7LV8P_2	SM-7LV8Q_1	SM-7LV8Q_2	SM-7LV8R_1	SM-7LV8R_2	SM-7LV8S_1	SM-7LV8S_2	SM-7LV8T_1	SM-7LV8T_2	SM-7LV8U_1	SM-7LV8U_2	SM-7LV8V_1	SM-7LV8V_2
SM-7LV8O_1	NA	NA	0.49	0.49	0.47	0.47	0.47	0.47	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
SM-7LV8O_2	NA	NA	0.49	0.49	0.47	0.47	0.47	0.47	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
SM-7LV8P_1	0.49	0.49	NA	NA	0.43	0.43	0.46	0.46	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
SM-7LV8P_2	0.49	0.49	NA	NA	0.43	0.43	0.46	0.46	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
SM-7LV8Q_1	0.47	0.47	0.43	0.43	NA	NA	0.41	0.41	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
SM-7LV8Q_2	0.47	0.47	0.43	0.43	NA	NA	0.41	0.41	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
SM-7LV8R_1	0.47	0.47	0.46	0.46	0.41	0.41	NA	NA	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
SM-7LV8R_2	0.47	0.47	0.46	0.46	0.41	0.41	NA	NA	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29
SM-7LV8S_1	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	NA	NA	0.52	0.52	0.45	0.45	0.4	0.4
SM-7LV8S_2	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	NA	NA	0.52	0.52	0.45	0.45	0.4	0.4
SM-7LV8T_1	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.52	0.52	NA	NA	0.44	0.44	0.52	0.52
SM-7LV8T_2	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.52	0.52	NA	NA	0.44	0.44	0.52	0.52
SM-7LV8U_1	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.45	0.45	0.44	0.44	NA	NA	0.38	0.38
SM-7LV8U_2	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.45	0.45	0.44	0.44	NA	NA	0.38	0.38
SM-7LV8V_1	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.4	0.4	0.52	0.52	0.38	0.38	NA	NA
SM-7LV8V_2	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.29	0.4	0.4	0.52	0.52	0.38	0.38	NA	NA
