SM-7LV8O_1	SM-7LV8O_2	SM-7LV8P_1	SM-7LV8P_2	SM-7LV8Q_1	SM-7LV8Q_2	SM-7LV8R_1	SM-7LV8R_2	SM-7LV8S_1	SM-7LV8S_2	SM-7LV8T_1	SM-7LV8T_2	SM-7LV8U_1	SM-7LV8U_2	SM-7LV8V_1	SM-7LV8V_2
SM-7LV8O_1	NA	NA	1.99	1.99	1.81	1.81	2.01	2.01	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
SM-7LV8O_2	NA	NA	1.99	1.99	1.81	1.81	2.01	2.01	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
SM-7LV8P_1	1.99	1.99	NA	NA	1.54	1.54	1.79	1.79	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09
SM-7LV8P_2	1.99	1.99	NA	NA	1.54	1.54	1.79	1.79	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09
SM-7LV8Q_1	1.81	1.81	1.54	1.54	NA	NA	1.54	1.54	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09
SM-7LV8Q_2	1.81	1.81	1.54	1.54	NA	NA	1.54	1.54	1.09	1.09	1.09	1.09	1.09	1.09	1.09	1.09
SM-7LV8R_1	2.01	2.01	1.79	1.79	1.54	1.54	NA	NA	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
SM-7LV8R_2	2.01	2.01	1.79	1.79	1.54	1.54	NA	NA	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1
SM-7LV8S_1	1.1	1.1	1.09	1.09	1.09	1.09	1.1	1.1	NA	NA	2.57	2.57	3.83	3.83	1	1
SM-7LV8S_2	1.1	1.1	1.09	1.09	1.09	1.09	1.1	1.1	NA	NA	2.57	2.57	3.83	3.83	1	1
SM-7LV8T_1	1.1	1.1	1.09	1.09	1.09	1.09	1.1	1.1	2.57	2.57	NA	NA	3.57	3.57	2	2
SM-7LV8T_2	1.1	1.1	1.09	1.09	1.09	1.09	1.1	1.1	2.57	2.57	NA	NA	3.57	3.57	2	2
SM-7LV8U_1	1.1	1.1	1.09	1.09	1.09	1.09	1.1	1.1	3.83	3.83	3.57	3.57	NA	NA	1.9	1.9
SM-7LV8U_2	1.1	1.1	1.09	1.09	1.09	1.09	1.1	1.1	3.83	3.83	3.57	3.57	NA	NA	1.9	1.9
SM-7LV8V_1	1.1	1.1	1.09	1.09	1.09	1.09	1.1	1.1	1	1	2	2	1.9	1.9	NA	NA
SM-7LV8V_2	1.1	1.1	1.09	1.09	1.09	1.09	1.1	1.1	1	1	2	2	1.9	1.9	NA	NA
