Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	1.07	1.06	1.06	1.06	1.09	1.08	1.08
Th106.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.06	1.08	1.08	1.07
Th106.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.06	1.08	1.08	1.08
Th117.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	1.07	1.07	1.07	1.06	1.08	1.08	1.07
Th132.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.06	1.08	1.08	1.07
Th134.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.06	1.08	1.08	1.07
Th162.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	1.07	1.06	1.06	1.06	1.08	1.08	1.07
Th196.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	1.06	1.06	1.06	1.06	1.07	1.07	1.07
Th230.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.06	1.08	1.08	1.07
Th074.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.07	1.07	1.06	1.06	1.06	1.08	1.08	1.08
Th166.12	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	NA	NA	NA	NA	NA	1.02	1.03	1.02
Th092.13	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	NA	NA	NA	NA	NA	1.03	1.03	1.03
Th211.13	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	NA	NA	NA	NA	NA	1.03	1.03	1.03
Th245.13	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	0.94	NA	NA	NA	NA	NA	1.03	1.03	1.03
Th246.13	0.94	0.94	0.94	0.94	0.94	0.95	0.94	0.94	0.94	0.94	NA	NA	NA	NA	NA	1.03	1.03	1.03
Th068.12	0.92	0.93	0.92	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.98	0.97	0.97	0.97	0.97	NA	NA	NA
Th061.13	0.92	0.93	0.92	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.97	0.97	0.97	0.97	0.97	NA	NA	NA
Th095.13	0.92	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.93	0.98	0.97	0.97	0.97	0.98	NA	NA	NA
