T	C
1	-9722022087
2	1038450644
3	11006131503
4	20144132715
5	28415566502
6	35783545087
7	42211180693
8	47684442782
9	52286623788
10	56126820399
11	59314129301
12	61957647180
13	64166470722
14	65461034548
15	65472938353
16	64478026430
17	62752143076
18	60571132587
19	58210839256
20	55947107380
21	52690229183
22	47729084770
23	41907400255
24	36068901753
25	31057315377
26	27716367243
27	26153954752
28	25674177568
29	25915065199
30	26514647149
31	27110952928
32	27342012040
33	26845853993
34	25654461346
35	24139083588
36	22446650618
37	20724092334
38	19118338634
39	17776319418
40	16702696981
41	15777881383
42	14962424173
43	14216876900
44	13501791111
45	12777718356
46	11988390780
47	11133933894
48	10259489297
49	9410198588
50	8631203363
51	7967645222
52	7472641802
53	7138449491
54	6918918004
55	6767897061
56	6639236378
57	6486785674
58	6264394666
59	6013644389
60	5796104100
61	5595605848
62	5395981686
63	5181063662
64	4934683828
65	4624945374
66	4253672647
67	3855279435
68	3464179527
69	3114786709
70	2841514771
71	2643404749
72	2488321277
73	2363913535
74	2257830705
75	2157721968
76	2051236503
77	1952518378
78	1879327946
79	1824738819
80	1781824605
81	1743658915
82	1703315360
83	1653867549
84	1607488814
85	1576651026
86	1554875607
87	1535683978
88	1512597560
89	1479137775
90	1436826240
91	1392339790
92	1346932678
93	1301859155
94	1258373473
95	1217729884
96	1178810874
97	1139971078
98	1101672962
99	1064378995
100	1028551643
101	994653374
102	964079750
103	937065435
104	912331549
105	888599210
106	864589540
107	839023657
108	810622682
109	778902903
110	745059614
111	710332448
112	675961035
113	643185007
114	613243995
115	584097652
116	553621065
117	522927016
118	493128285
119	465337656
120	440667909
121	419600037
122	401307671
123	384942552
124	369656422
125	354601020
126	338928087
127	323411520
128	309267839
129	296312717
130	284361826
131	273230839
132	262735430
133	252691272
134	242499852
135	231989819
136	221617588
137	211839575
138	203112195
139	195891863
140	191166795
141	189011541
142	188512018
143	188754142
144	188823828
145	187806994
146	187372519
147	189058557
148	191754940
149	194351499
150	195738066
151	194804470
152	191654211
153	187331149
154	182135658
155	176368116
156	170328897
157	164318377
158	158636932
159	152608661
160	145679291
161	138331641
162	131048528
163	124312772
164	118607190
165	113280787
166	107557304
167	101731662
168	96098785
169	90953595
170	86591013
171	83398312
172	81289538
173	79849778
174	78664119
175	77317646
176	75395447
177	73133565
178	71020467
179	69019874
180	67095508
181	65211090
182	63330341
183	61416983
184	59214588
185	56644367
186	53936503
187	51321177
188	49028570
189	47288863
190	46177968
191	45524373
192	45187125
193	45025272
194	44897861
195	44663941
196	44473112
197	44516872
198	44717110
199	44995715
200	45274578
201	45475588
202	45734556
203	46186874
204	46753803
205	47356604
206	47916538
207	48354866
208	48592849
209	48876247
210	49392203
211	49974054
212	50455135
213	50668782
214	50448331
215	49743169
216	48689860
217	47402514
218	45995239
219	44582141
220	43277331
221	41840369
222	40060415
223	38095971
224	36105539
225	34247619
226	32680715
227	31311145
228	29948557
229	28606446
230	27298308
231	26037639
232	24837934
233	23712689
234	22684436
235	21751178
236	20889620
237	20076463
238	19288412
239	18502170
240	17693440
241	16870575
242	16059249
243	15285139
244	14573921
245	13951271
246	13446996
247	13050520
248	12726936
249	12441340
250	12158826
251	11844490
252	11520860
253	11231371
254	10972478
255	10740637
256	10532302
257	10343930
258	10171976
259	9992403
260	9797838
261	9609726
262	9449515
263	9338653
264	9298587
265	9360064
266	9515500
267	9728844
268	9964045
269	10185052
270	10355815
271	10524714
272	10747815
273	11000589
274	11258509
275	11497049
276	11691682
277	11842887
278	11972285
279	12087065
280	12194418
281	12301531
282	12415594
283	12543796
284	12716075
285	12937275
286	13176941
287	13404617
288	13589850
289	13702183
290	13804259
291	13952135
292	14105482
293	14223972
294	14267275
295	14195063
296	13983546
297	13660497
298	13262928
299	12827853
300	12392283
301	11993230
302	11559778
303	11023700
304	10426047
305	9807869
306	9210217
307	8674142
308	8240693
309	7878052
310	7529730
311	7199772
312	6892225
313	6611135
314	6360549
315	6153539
316	5992839
317	5866982
318	5764501
319	5673931
320	5583804
321	5497198
322	5425702
323	5370617
324	5333245
325	5314888
326	5316848
327	5359455
328	5451138
329	5575342
330	5715513
331	5855095
332	5977535
333	6066278
334	6164387
335	6307808
336	6469306
337	6621648
338	6737598
339	6789925
340	6791098
341	6771497
342	6730753
343	6668496
344	6584358
345	6477968
346	6315398
347	6082849
348	5810152
349	5527134
350	5263624
351	5049452
352	4853604
353	4633995
354	4403844
355	4176373
356	3964802
357	3782352
358	3642243
359	3534864
360	3442018
361	3364050
362	3301304
363	3254125
364	3222855
365	3235017
366	3302189
367	3400803
368	3507291
369	3598083
370	3649612
371	3681907
372	3725527
373	3772705
374	3815671
375	3846656
376	3857891
377	3850192
378	3831082
379	3802850
380	3767786
381	3728179
382	3686319
383	3644494
384	3593118
385	3525619
386	3448809
387	3369502
388	3294512
389	3230652
390	3171579
391	3108517
392	3044629
393	2983079
394	2927029
395	2879642
396	2831688
397	2776079
398	2719192
399	2667404
400	2627092
401	2604633
402	2598707
403	2603040
404	2616573
405	2638252
406	2667019
407	2701819
408	2741595
409	2806582
410	2906054
411	3022513
412	3138459
413	3236393
414	3298818
415	3345411
416	3401201
417	3456713
418	3502471
419	3529000
420	3526826
421	3487560
422	3416751
423	3325833
424	3226239
425	3129402
426	3046754
427	2958662
428	2844838
429	2715736
430	2581810
431	2453515
432	2341304
433	2255633
434	2194867
435	2147720
436	2110167
437	2078181
438	2047737
439	2014809
440	1986077
441	1968124
442	1956775
443	1947855
444	1937189
445	1920604
446	1897260
447	1870720
448	1843416
449	1817777
450	1796231
451	1781209
452	1772998
453	1769536
454	1769725
455	1772465
456	1776660
457	1781211
458	1785020
459	1797637
460	1824136
461	1856701
462	1887519
463	1908776
464	1912658
465	1905609
466	1897824
467	1887115
468	1871292
469	1848168
470	1815555
471	1766356
472	1699641
473	1622466
474	1541888
475	1464963
476	1398748
477	1333682
478	1258618
479	1178230
480	1097193
481	1020180
482	951867
483	896929
484	854319
485	818808
486	788790
487	762661
488	738818
489	715656
490	696927
491	685713
492	679408
493	675403
494	671091
495	663865
496	655772
497	650122
498	646198
499	643283
500	640661
501	637615
502	634463
503	632014
504	630286
505	629299
506	629072
507	629623
508	630973
509	633003
510	635648
511	639002
512	643159
513	648214
514	654263
515	661377
516	669498
517	678524
518	688352
519	698878
520	710000
521	722695
522	737467
523	753506
524	770001
525	786141
526	801114
527	817426
528	837035
529	858313
530	879633
531	899365
532	915883
533	927558
534	937397
535	948343
536	958670
537	966652
538	970565
539	968682
540	960336
541	946898
542	929708
543	910105
544	889426
545	869010
546	844352
547	812275
548	776114
549	739205
550	704883
551	676483
552	650882
553	623521
554	595580
555	568239
556	542676
557	520073
558	501610
559	487698
560	477291
561	469380
562	462955
563	457007
564	450527
565	445314
566	443074
567	442657
568	442915
569	442696
570	440852
571	438479
572	437121
573	436297
574	435526
575	434328
576	432221
577	429496
578	426733
579	423883
580	420897
581	417726
582	414322
583	410636
584	406597
585	402228
586	397619
587	392862
588	388046
589	383263
590	378352
591	373162
592	367793
593	362347
594	356924
595	351625
596	346339
597	340921
598	335428
599	329917
600	324443
601	319064
602	313738
603	308396
604	303048
605	297704
606	292375
607	287070
608	281801
609	276556
610	271322
611	266101
612	260896
613	255710
614	250545
615	245388
616	240229
617	235081
618	229953
619	224858
620	219806
621	214770
622	209727
623	204697
624	199699
625	194754
626	189881
627	185049
628	180224
629	175424
630	170666
631	165965
632	161339
633	156805
634	152332
635	147889
636	143495
637	139166
638	134921
639	130775
640	126710
641	122700
642	118756
643	114888
644	111106
645	107420
646	103822
647	100300
648	96855
649	93491
650	90211
651	87017
652	83912
653	80894
654	77962
655	75111
656	72339
657	69642
658	67017
659	64476
660	62029
661	59666
662	57378
663	55154
664	52987
665	50895
666	48893
667	46969
668	45112
669	43311
670	41552
671	39856
672	38244
673	36701
674	35216
675	33777
676	32369
677	31012
678	29725
679	28500
680	27328
681	26198
682	25102
683	24030
684	23000
685	22031
686	21110
687	20228
688	19373
689	18535
690	17730
691	16973
692	16257
693	15571
694	14907
695	14256
696	13629
697	13043
698	12489
699	11959
700	11446
701	10941
702	10456
703	10001
704	9572
705	9164
706	8773
707	8393
708	8021
709	7663
710	7330
711	7016
712	6717
713	6426
714	6141
715	5867
716	5611
717	5371
718	5141
719	4919
720	4700
721	4490
722	4294
723	4110
724	3935
725	3765
726	3597
727	3436
728	3286
729	3145
730	3010
731	2882
732	2757
733	2634
734	2517
735	2408
736	2305
737	2207
738	2112
739	2019
740	1929
741	1845
742	1767
743	1692
744	1619
745	1548
746	1479
747	1415
748	1355
749	1298
750	1243
751	1188
752	1136
753	1086
754	1040
755	997
756	955
757	914
758	874
759	836
760	800
761	766
762	734
763	703
764	673
765	643
766	616
767	590
768	566
769	542
770	519
771	496
772	475
773	455
774	437
775	419
776	401
777	383
778	367
779	352
780	338
781	324
782	311
783	297
784	284
785	272
786	261
787	250
788	239
789	229
790	219
791	210
792	201
793	193
794	185
795	178
796	171
797	165
798	159
799	154
800	149
801	145
802	NA
