Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	576	408	399	622	347	652	677	620	652	566	551	558	571	514	513	609	555
Th106.09		0	358	359	121	343	125	140	107	88	613	593	630	632	560	591	659	627
Th106.11			0	111	403	105	453	418	391	385	678	673	701	692	605	653	739	691
Th117.11				0	410	111	427	419	386	404	665	655	692	686	627	637	732	670
Th132.11					0	398	164	139	106	144	666	666	677	696	637	647	745	675
Th134.11						0	408	420	390	384	635	637	625	668	600	622	686	652
Th162.12							0	176	160	188	699	695	691	731	632	639	766	669
Th196.12								0	124	155	701	682	679	707	662	660	734	678
Th230.12									0	129	649	656	655	656	615	605	686	654
Th074.13										0	656	654	681	728	662	653	737	679
Th166.12											0	175	219	223	197	493	595	533
Th092.13												0	214	262	203	494	580	545
Th211.13													0	280	234	483	591	540
Th245.13														0	281	524	615	559
Th246.13															0	448	564	507
Th068.12																0	356	297
Th061.13																	0	282
Th095.13																		0
