Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	300	167	165	321	135	324	345	314	351	243	238	237	228	223	212	243	229
Th106.09		0	195	201	23	200	24	26	18	9	322	311	327	317	306	304	315	319
Th106.11			0	28	201	18	219	208	200	200	366	359	367	355	345	354	375	366
Th117.11				0	220	21	219	218	202	210	353	344	358	343	339	346	369	353
Th132.11					0	200	33	16	21	32	340	337	336	333	326	321	345	335
Th134.11						0	211	203	206	208	319	314	303	306	299	314	326	327
Th162.12							0	29	22	54	353	343	342	342	325	321	352	332
Th196.12								0	24	31	350	345	345	344	328	332	340	335
Th230.12									0	24	335	323	329	315	319	305	316	327
Th074.13										0	351	339	357	361	352	347	349	353
Th166.12											0	28	38	40	41	225	248	234
Th092.13												0	45	44	45	223	247	234
Th211.13													0	61	51	222	241	229
Th245.13														0	76	217	259	232
Th246.13															0	208	247	221
Th068.12																0	114	92
Th061.13																	0	74
Th095.13																		0
