PA0137-C	PA0153-C	PA0169-C	PA0200-C	PA0214-C	PA0239-C	PA0255-C	PD0490-C	PD0535-C	PD0540-C	PD0541-C	PD0589-C	PD0590-C	PD0592-C	PF0041-C	PF0048-C	PF0069-C	PF0089-C	PF0100-C	PF0107-C	PF0136-C	PF0206-C	PF0221-C	PF0223-C	PF0310-C	PF0347-C	PF0349-C	PF0357-C	PF0370-C	PF0383-C	PF0427-C	PF0433-C	PF0454-C	PF0488-C	PF0510-C	PF0511-C	PF0557-Cx	PF0599-C	PF0615-C	PF0693-C	PF0753-C	PF0794-C	PH0247-C	PH0356-C	PH0469-CW	PH0470-C	PH0523-C	PH0539-C	PH0644-C	PH0686-C	PH0703-C	PH0770-C	PH0776-C	PH0782-C	PH0813-C	PH0821-C	PH0838-C	PH0844-C	PH0851-C	PH0919-C	PH0986-C	PH0991-C	PH1000-C	PH1136-C	PM0071-C	PR0117-C	PR0123-C	PR0155-C	PT0042-C	PT0067-C	PT0087-C	PT0102-C	PT0111-C	PT0129-C	PT0178-C	PT0187-Cx	PT0190-Cx	PT0193-C	PT0204-C	PT0205-Cx	PT0222-Cx	PT0228-Cx	PT0258-C	PT0279-Cx	PT0303-Cx	PV0262-C	PV0320-C	PV0322-C	PV0331-Cx	QC0194-C	QE0423-C	QE0426-C	QE0440-C	QG0194-C	QG0207-C	QG0239-C	QG0284-C	SenT033.08	SenT114.09	SenT137.09
PA0137-C	NA	13.6	9	14.33	5.83	9.67	10.17	11	7.91	9.67	8.09	12.86	9.1	10.38	16.2	12.6	13	9.67	12.5	14.5	9.78	6.77	8	16.25	8.22	12.67	9.14	16	6.5	7.88	9.3	10.17	12.43	12	17.25	16.75	14.2	11.43	Inf	35.5	11.6	13.75	7.15	10.22	11.62	6.21	12.38	7.62	10.38	8.25	11.6	8.8	9.2	12.83	7.83	10.44	7.54	7.82	7.69	11.86	9.55	8.36	8	10.22	6.15	13.57	26	11.43	9.56	16.75	8.78	14.33	12	10	17.8	14.33	10.5	10.67	12.86	16.25	10	10.83	14.83	24.67	18.4	10.44	11.11	12.25	8.36	9.22	10.11	7.31	9.5	12.6	11.14	9.12	16.5	31	22	10.14
PA0153-C	13.6	NA	8.33	32.5	5.78	7.2	6.6	9.56	7.6	9.38	7.7	9.71	11.43	9.86	13.6	6.33	9.5	5.67	11	9.29	8.88	5.33	6	7.6	5.5	10.4	9.75	11	3.69	5	8.88	6.8	19.67	9.25	16	11.33	10.25	5.2	Inf	18.67	7.4	32	8.11	9.5	8.56	6.38	11.29	6.36	7.89	7.31	11	12	6.73	8.57	7	9.25	6.43	6.42	6.64	9	9	8	8.78	10	4.54	16	15	13.6	9	8.75	7.62	9.17	9.5	6.25	24	13.6	7.2	7.4	11.6	11.33	7	11.67	11.43	39	16.5	8.1	8.5	9.33	8.22	8.75	9.38	8.44	9.22	7.8	8.67	10.8	8	25	17.67	6.88
PA0169-C	9	8.33	NA	8.12	5.3	5.86	7.5	8.89	9.38	10	7.8	9.71	10.71	12.6	6.67	6.29	8	5.86	7.91	9.43	15.6	5.82	8.25	6.43	9.5	9.5	5.38	6.43	7.22	6.11	9.71	4.33	6.75	5.89	6.57	5.43	6.57	8.86	Inf	8.71	7.67	21.5	7.56	11.14	10.71	6.25	13.67	6.58	8.22	7.27	11.44	9.25	8.3	8.43	7.5	15	6.58	7.6	6.67	11.33	8.3	7.6	9.62	11.43	4.62	20	34	10.5	6.5	6	4.54	6.7	8.8	7.71	9.38	8	7.33	5.86	19.25	6.86	7.1	5.62	10.5	7.83	8.22	10.12	10.38	11.57	8.5	8.38	12.5	7.8	11.86	10.6	6.38	6.22	6.71	18.33	12.25	7.12
PA0200-C	14.33	32.5	8.12	NA	6.91	9.67	9.83	10.1	8.73	9.78	7.83	10.38	10.22	10.88	13.67	14.5	12.4	8.57	16.83	10.88	9.3	7.25	13.33	10.83	6.18	11.33	9.43	16.25	5.58	7.78	10.25	14.5	14	15.75	15	15.25	13.8	8	Inf	21.5	9.14	26.5	10.11	10	9.1	8.17	12.62	8	10.38	8.67	10.82	10.62	9.4	9.25	7.33	10.11	8.15	8.09	8.23	9.56	11.22	7.58	9.5	10.56	6.42	13	25.67	21.5	12.86	10.83	11.57	11.29	12.8	9.25	31	17.2	11.17	11	14.33	15.75	9.89	16.5	10	34	16.2	9	9.45	10.1	12.5	8.89	10	9.5	10.3	15.25	10.43	10.29	10.5	32.5	25.33	9.71
PA0214-C	5.83	5.78	5.3	6.91	NA	3.38	4	6.92	5.71	6.17	5.07	7.09	6.08	5.08	6.18	3.91	4.25	4	4.93	5.77	4.24	3.86	4.92	3.92	3.62	4.62	4.27	4.9	4.12	4.75	5.07	3.67	6.08	4.38	4.45	4.64	4.91	4.27	Inf	6	4.89	6.71	5.36	5.5	5.2	4.76	8	5.06	6.08	5.53	6.79	6.55	5.67	4.31	7.6	5.58	5.06	5.2	5.31	5.5	5.31	5.69	8.1	7.5	3.3	7.9	10.57	8.33	5	4.55	4.71	5.5	5.1	4.27	7.25	6.17	4.33	3.77	6.73	5.78	4.87	5.56	5.31	6	6.08	6.07	5.5	5.8	7.18	5.67	6.42	5.5	7.58	4.64	4.92	5.64	3.92	15.25	7.12	3.73
PA0239-C	9.67	7.2	5.86	9.67	3.38	NA	16	12.33	6.78	8.29	6.2	9.33	12.4	13	8.33	4.4	16	8.33	8.88	9.5	10.5	5.25	5.75	7	5.11	8	6	8	4.67	8.2	7.88	7	7.29	7.75	10	12	7.67	6.33	NA	10.25	12	30	6.56	9.29	8.12	5.5	14.4	6.82	8.38	7.5	11.12	12.4	8.38	10.75	5.45	8.29	6.73	7	7	11	10.29	5.73	8.62	8.5	4.7	14	19.33	12.6	10.8	5	6.88	5.38	7	6.25	12.4	11.6	9	8	8.83	4.5	5.27	8	14	6.75	8.71	9.43	10	11.33	8.38	10.4	11.8	7.56	11.67	7	10.33	7.17	9.5	Inf	20.5	6.57
PA0255-C	10.17	6.6	7.5	9.83	4	16	NA	14.6	8.25	9	7	10.17	18	13.5	11	4.2	17	12	10.57	12	11.8	5.55	5	6.5	5.22	10	7.5	8.5	4.55	6.6	8.86	5.67	6.86	9	9	8.5	13.5	5.78	NA	10.25	5	26	8.62	11.67	10.43	6.25	19.75	8.3	9.12	9.33	14.14	13.4	9.71	17	6.8	10.83	8.3	8.38	8.6	12.2	11.14	7	10.86	10.71	6.38	18.75	28	12	13.5	7.33	6.86	6.17	8.67	7	13.4	13	10	8	9.8	4.5	5.5	7.25	17.5	6.75	8.43	10.43	12.83	14.8	9.25	11.4	17.25	7.1	12.83	8	11.33	8.33	11.5	41	21	5.71
PD0490-C	11	9.56	8.89	10.1	6.92	12.33	14.6	NA	9.71	10.83	9.33	12.83	12.83	9.83	8.8	10.57	14.8	11	11.7	10.78	10.4	6.62	9.3	15.2	9.1	8.8	10.71	11.67	7.69	9	8.92	9.12	8.73	10.25	13.33	12.5	10.86	8.08	Inf	13	14.4	36	8	10.25	7.56	9	16.4	9.22	11.57	12	14	12.17	8.78	14.2	9.33	12	10.62	6.5	10.5	12.33	9.44	7.5	11	9.62	6.79	17	18.5	8.88	11.22	11	7.92	7.5	11	10.11	11.56	14.14	12.5	12.17	10.8	9.62	8.42	9.38	13.88	9.88	10.7	8.75	11	10.57	7.6	14	10.86	7.2	14.33	11.71	13.43	8.09	14.4	Inf	42	9
PD0535-C	7.91	7.6	9.38	8.73	5.71	6.78	8.25	9.71	NA	7.62	8.75	13.6	9	9.6	7.45	8	8.25	7.44	8.31	10.11	8.45	6.53	6.62	7.33	8.9	7.91	6.8	7.11	7.46	6.5	11	6	9	6.91	7.67	7.44	7.56	6.85	Inf	9.89	13.6	20	7.75	7	8.86	6.82	13	6.9	7.67	8.11	11.29	7.22	5	8.14	6.5	11	7.1	5.8	7.4	8.12	7.7	10.33	8.44	12.8	5.93	18.5	11	7.78	9.6	7.44	6.57	8.7	8.25	9.11	9.8	11.12	7.44	7.11	10.78	7.33	7.42	6.73	9	8.11	8.08	9.38	11.14	11	4.92	7.88	11.33	7.5	23	8.88	8.2	6.83	7.11	38	18.25	6.92
PD0540-C	9.67	9.38	10	9.78	6.17	8.29	9	10.83	7.62	NA	20.67	9.86	15	10.4	8.5	7.75	10.83	9.86	8.31	12.71	11.11	6.27	10.25	13	10.38	6.82	8.38	9.57	8.27	8.22	8.45	6.78	9.11	8.33	9.71	9.71	8.25	10.11	Inf	11.71	16.25	15.75	9	19.5	12.2	8.71	23	8	13.6	9.86	14	12.8	11.29	11.2	14	12.6	8.38	9.5	8.12	30	8	8	15.2	10	6.5	16.75	14.4	11.17	8.6	9.71	7.82	7.82	8.25	12	9.1	12.43	9.86	9.43	14	8.11	8.4	10.29	12.88	12.33	11.88	11.83	12.67	14.6	11.5	8.83	11.5	7.89	15	10	9.75	8.67	13.6	38	15	10.88
