# BEAST v1.8.3
# Generated Mon Apr 25 19:05:58 EDT 2016 [seed=1461625546558]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-41684.251490198934	-33.04423732119988	-41651.207252877735	8.038350452842318	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-41651.207252877735	0.0	-6.806906131748724
1000	-15478.857946064902	-8.541876604286712	-15470.316069460614	1.0065814702503368	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.1502285255567548	0.1502285255567548	-15470.316069460614	0.0	-4.606711826218796
2000	-14071.169598337045	-6.847880314963541	-14064.321718022082	1.0032135392620731	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.007250430369364815	0.007250430369364814	-14064.321718022082	0.0	-4.616082058706269
3000	-14009.039739311094	-5.7407982534211826	-14003.298941057674	1.0260300855184457	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0012314965249734095	0.0012314965249734095	-14003.298941057674	0.0	-4.7107944090083596
4000	-13998.240319334212	-4.639275320697061	-13993.601044013516	2.987405931916787	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.5978751433870475E-4	2.5978751433870475E-4	-13993.601044013516	0.0	-4.929624199103582
5000	-13996.601519038699	-4.29651121611714	-13992.305007822582	12.335284381447467	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	6.640799366873368E-5	6.640799366873368E-5	-13992.305007822582	0.0	-5.981425524190797
6000	-13995.656437658236	-4.153378886406629	-13991.503058771828	5.981581169992078	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.1019204015515977E-4	1.1019204015515977E-4	-13991.503058771828	0.0	-5.210881324208825
7000	-13996.33344914189	-4.579810290685094	-13991.753638851205	19.123187566046173	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.159771503202509E-5	3.1597715032025094E-5	-13991.753638851205	0.0	-6.863601268959298
8000	-13996.516093600603	-4.546404487239931	-13991.969689113363	18.058961597739412	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.265286443950593E-5	4.2652864439505936E-5	-13991.969689113363	0.0	-6.64504539227131
9000	-13996.135130520668	-4.237430846193953	-13991.897699674475	5.276104152279254	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2963128308763678E-4	1.2963128308763675E-4	-13991.897699674475	0.0	-5.154413844705086
10000	-13995.975344981265	-4.207678212417643	-13991.767666768848	16.259577540693282	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.8848087751169723E-5	2.8848087751169716E-5	-13991.767666768848	0.0	-6.4506437825916985
11000	-13995.716872433115	-4.077504734348954	-13991.639367698766	12.654557351176214	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.045803510986977E-5	4.045803510986977E-5	-13991.639367698766	0.0	-6.024298249852766
12000	-13996.856463776949	-4.123220080203964	-13992.733243696744	19.574065923122962	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.698821181384607E-5	1.698821181384607E-5	-13992.733243696744	0.0	-6.717180387947511
13000	-13997.666815056855	-4.6905000059472375	-13992.976315050908	26.511953833283545	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2350151740800852E-5	1.2350151740800853E-5	-13992.976315050908	0.0	-7.601834997538572
14000	-13998.082411827929	-6.1951295787250755	-13991.887282249203	37.859027654811904	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.8888904186707192E-5	1.8888904186707192E-5	-13991.887282249203	0.0	-9.07746488371279
15000	-13997.004445283397	-3.701056645301395	-13993.303388638096	13.180330325439511	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.2366017215914376E-5	2.2366017215914376E-5	-13993.303388638096	0.0	-5.9528806435229775
16000	-14000.799388761032	-6.814275647325008	-13993.985113113707	34.41524512281951	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.2577023860075484E-5	1.2577023860075486E-5	-13993.985113113707	0.0	-9.893573370434648
17000	-13997.086917644805	-5.332066876672198	-13991.754850768133	39.383123006058526	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	9.281935578234393E-6	9.281935578234394E-6	-13991.754850768133	0.0	-8.56878962646979
18000	-13997.1048893252	-6.246126816046145	-13990.858762509153	49.519503583593455	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	9.313808352445673E-6	9.313808352445673E-6	-13990.858762509153	0.0	-9.595626711170812
19000	-13997.892485169756	-5.309137053869543	-13992.583348115886	39.46963521603984	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	7.97860818306447E-6	7.97860818306447E-6	-13992.583348115886	0.0	-8.624183609068467
20000	-13996.204963194214	-5.567196057439691	-13990.637767136774	39.38203763662501	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.3656918414787164E-5	1.3656918414787163E-5	-13990.637767136774	0.0	-8.611834552415178
21000	-13996.023632107048	-4.315304467144132	-13991.708327639904	17.715726044713957	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.7336068572452282E-5	2.7336068572452282E-5	-13991.708327639904	0.0	-6.628927641497695
22000	-13999.082223263555	-5.669790990048335	-13993.412432273506	34.42111607194754	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.1038845438459424E-5	3.1038845438459424E-5	-13993.412432273506	0.0	-8.240319880400651
23000	-13995.532274081024	-4.375960402474452	-13991.15631367855	18.35663104088841	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	4.062365917319484E-5	4.0623659173194836E-5	-13991.15631367855	0.0	-6.494969816768246
24000	-13995.600740651813	-4.014540810387712	-13991.586199841426	8.361750812474027	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	6.543463599694048E-5	6.543463599694048E-5	-13991.586199841426	0.0	-5.508723618809956
25000	-13996.377314607771	-4.1083990369552374	-13992.268915570816	14.737013594249293	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.8340373862380754E-5	2.8340373862380754E-5	-13992.268915570816	0.0	-6.3141555112536425
26000	-13995.350235236043	-4.666397174091578	-13990.683838061952	26.63303982084658	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.055925984282366E-5	2.055925984282366E-5	-13990.683838061952	0.0	-7.310715724520333
27000	-13996.272817750143	-4.248536725185691	-13992.024281024957	20.077703203766223	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.9445182591582632E-5	1.9445182591582632E-5	-13992.024281024957	0.0	-6.788580019563411
28000	-13996.480885703622	-4.759072426707474	-13991.721813276914	23.421751579386452	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	3.6038244546892356E-5	3.6038244546892356E-5	-13991.721813276914	0.0	-7.062006867416476
29000	-13997.854024014572	-5.029572815508401	-13992.824451199063	22.267714847513382	10.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	2.1401495194043472E-5	2.140149519404347E-5	-13992.824451199063	0.0	-7.603955288564891
