#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:ThiesDiscoINDELs" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:ThiesDiscoINDELs" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoINDELs">
#                    <trait id="dateTrait.t:ThiesDiscoINDELs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoINDELs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoINDELs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoINDELs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoINDELs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ePopSizePrior.t:ThiesDiscoINDELs" name="distribution" x="@ePopSize.t:ThiesDiscoINDELs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:ThiesDiscoINDELs" name="distribution" x="@growthRate.t:ThiesDiscoINDELs">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mu">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="scale">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoINDELs" id="treeLikelihood.ThiesDiscoINDELs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoINDELs">
#            <siteModel id="SiteModel.s:ThiesDiscoINDELs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoINDELs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoINDELs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoINDELs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoINDELs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoINDELs" id="StrictClock.c:ThiesDiscoINDELs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	clockRate	CoalescentExponential	ePopSize	growthRate.
0	-23656.606389455716	-23632.954470168042	-23.651919287671955	-23632.954470168042	6.044025376091048	1.0	1.0	-20.73842248638417	0.3	3.0E-4
1000	-9988.680454633148	-9974.884050612276	-13.796404020871815	-9974.884050612276	7.048256974146341	1.0	0.072594723325326	-10.541725910412547	0.4178395212942048	-0.30260800109980246
2000	-9320.129450677152	-9285.910082168342	-34.21936850880902	-9285.910082168342	10.993762371807401	1.0	0.01481865636429842	-29.893247691092775	1.2189201250652768	-0.3277689121018863
3000	-9213.987205383266	-9144.965741334283	-69.02146404898217	-9144.965741334283	28.283405907720642	1.0	0.0039045178056671117	-63.493696676675775	4.083590976023872	-0.10165921203879513
4000	-9196.759490287888	-9128.99089887079	-67.7685914170971	-9128.99089887079	59.48715138993939	1.0	0.0016918668100295796	-60.5715928051636	21.721423680834047	-0.03746136456684179
5000	-9193.550964814784	-9125.77818036359	-67.7727844511944	-9125.77818036359	52.985240552637045	1.0	0.002062025581337931	-60.86459631896173	16.259323691529254	-0.06269924330047583
6000	-9198.570100646244	-9127.825930354258	-70.74417029198526	-9127.825930354258	67.1915300026183	1.0	0.0015352359404257865	-62.831919120591486	44.37736530526307	-0.06269924330047583
7000	-9190.477738108595	-9129.148354442497	-61.329383666097	-9129.148354442497	44.061016865618775	1.0	0.0023351856256279206	-53.88542820796658	27.783264298415503	-0.06269924330047583
8000	-9195.494802460062	-9122.333996968939	-73.16080549112388	-9122.333996968939	78.24583223082622	1.0	0.001279581217015048	-65.00611182738655	56.5710990110315	-0.05268467897998241
9000	-9191.208722862355	-9122.432392366649	-68.77633049570547	-9122.432392366649	66.874721110006	1.0	0.0015998182644032413	-60.84104553153825	45.42622298316568	-0.05268467897998241
10000	-9187.585557264547	-9122.753143795693	-64.83241346885306	-9122.753143795693	86.1383157226147	1.0	0.0011950065520671747	-55.81836160754396	133.78580295184787	-0.010206546084662538
11000	-9187.739345728196	-9120.494907754939	-67.24443797325704	-9120.494907754939	103.13609856513366	1.0	9.842188469041013E-4	-58.02425989101104	164.41048476197355	-0.010206546084662538
12000	-9193.505787164017	-9123.587495919757	-69.91829124425865	-9123.587495919757	173.7280342122017	1.0	5.338349493749192E-4	-60.122468279076074	292.43251700728234	0.005366655006266763
13000	-9191.043150503847	-9122.417015631236	-68.62613487261154	-9122.417015631236	167.3275555040472	1.0	6.431854557433445E-4	-58.54770433379259	387.9364364437668	0.005366655006266763
14000	-9189.989692832743	-9117.36502532607	-72.62466750667471	-9117.36502532607	243.6390936637997	1.0	4.044578162066488E-4	-61.86431992766332	767.2084539978271	0.005366655006266763
15000	-9189.848076666944	-9114.608627484713	-75.23944918223067	-9114.608627484713	303.16358305221576	1.0	3.209736910264162E-4	-64.40828689582128	823.5079884638427	0.005366655006266763
16000	-9192.629376133102	-9121.047493645576	-71.58188248752558	-9121.047493645576	209.08480938454647	1.0	4.3141193299013294E-4	-61.06854689027863	599.290563237618	0.005366655006266763
17000	-9192.699265866211	-9118.811996838202	-73.88726902800951	-9118.811996838202	290.2985390357869	1.0	3.5836492444679034E-4	-63.0980918247124	789.6487032111946	0.005366655006266763
18000	-9189.838157757313	-9116.526958485585	-73.31119927172789	-9116.526958485585	232.27748683063902	1.0	4.057433720347465E-4	-61.57011242749105	2045.2846282376422	0.011677786562811932
