#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:ThiesDiscoSNPs" name="popSize">0.3</parameter>
#                <parameter id="growthRate.t:ThiesDiscoSNPs" name="growthRate">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoSNPs">
#                    <trait id="dateTrait.t:ThiesDiscoSNPs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoSNPs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoSNPs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoSNPs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoSNPs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ePopSizePrior.t:ThiesDiscoSNPs" name="distribution" x="@ePopSize.t:ThiesDiscoSNPs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:ThiesDiscoSNPs" name="distribution" x="@growthRate.t:ThiesDiscoSNPs">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mu">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.01" name="scale">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoSNPs" id="treeLikelihood.ThiesDiscoSNPs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoSNPs">
#            <siteModel id="SiteModel.s:ThiesDiscoSNPs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoSNPs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoSNPs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoSNPs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoSNPs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoSNPs" id="StrictClock.c:ThiesDiscoSNPs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	CoalescentExponential	ePopSize	growthRate.
0	-24759.766250857603	-24732.18448331613	-27.58176754147163	-24732.18448331613	6.433740458453134	1.0	1.0	-24.668270740183846	0.3	3.0E-4
1000	-12229.059266750588	-12212.914101551522	-16.14516519906655	-12212.914101551522	7.467268958715088	0.10949351702128447	1.0	-12.289748490405218	0.7676161475083914	-0.07376899829627503
2000	-11190.436436379317	-11141.670660787819	-48.765775591498645	-11141.670660787819	21.726410242510354	0.01089959792707002	1.0	-41.84757863778134	16.415077025268047	-0.07728498532172723
3000	-11133.851611381535	-11071.828178440785	-62.02343294075045	-11071.828178440785	45.24153345063166	0.003402730918275598	1.0	-54.116309129084044	44.22743942185981	0.011180761837164654
4000	-11127.16085358535	-11052.556539566765	-74.60431401858492	-11052.556539566765	215.6038183703771	6.74098756710374E-4	1.0	-64.38771967015619	445.47503084684087	0.0011948114942548216
5000	-11129.879735547876	-11047.736418050292	-82.14331749758479	-11047.736418050292	453.42879303009994	3.4298374157212667E-4	1.0	-71.52681981385835	664.5064157802773	0.0011948114942548216
6000	-11135.991794845384	-11052.975650623635	-83.0161442217485	-11052.975650623635	496.69841250215455	2.970387486880791E-4	1.0	-71.31176122173362	1972.2491074964494	0.0011948114942548216
7000	-11134.960596368855	-11052.787728634818	-82.17286773403823	-11052.787728634818	451.802751361831	2.916019830966842E-4	1.0	-70.7543689396713	1481.848603561412	0.0011948114942548216
8000	-11130.13954063396	-11050.060068827133	-80.0794718068261	-11050.060068827133	340.03619296209155	4.102897161786129E-4	1.0	-68.95117135398687	1108.5934207923733	0.0011948114942548216
9000	-11132.891688116237	-11046.999705414193	-85.89198270204439	-11046.999705414193	689.5810113042686	2.1375562314961783E-4	1.0	-74.59319116691302	1314.6666108019117	0.0011948114942548216
10000	-11134.550972688676	-11048.739333537029	-85.81163915164768	-11048.739333537029	745.1280556450777	1.9684748346080648E-4	1.0	-74.12296274511928	1941.5137978745486	0.0011948114942548216
11000	-11135.888402180117	-11048.664838630279	-87.22356354983738	-11048.664838630279	796.8376320418909	1.75227452634118E-4	1.0	-75.43036991585696	2155.419147036188	0.0011948114942548216
12000	-11136.536648821797	-11045.381517093845	-91.15513172795248	-11045.381517093845	1356.9702668614227	9.916133519147314E-5	1.0	-78.47954914427007	5208.928404697633	0.0011948114942548216
13000	-11146.964840712622	-11052.552885963847	-94.4119547487751	-11052.552885963847	2234.489588976096	6.168739656978686E-5	1.0	-80.84092486917997	12753.700311935572	0.0011948114942548216
14000	-11139.41756018884	-11044.574797454186	-94.84276273465422	-11044.574797454186	2567.2802536158288	5.675714629209769E-5	1.0	-81.18097751944829	13965.315420630277	0.0011948114942548216
15000	-11140.737813475002	-11046.963016904852	-93.77479657014955	-11046.963016904852	2048.365921679483	6.937850185523697E-5	1.0	-80.76274959316258	7292.442569416121	0.0011948114942548216
16000	-11144.552182049842	-11050.64165721043	-93.91052483941219	-11050.64165721043	2177.412266044557	6.800325881656508E-5	1.0	-80.5968552951355	9859.752971735023	0.0011948114942548216
17000	-11142.858619136357	-11049.332415948202	-93.52620318815597	-11049.332415948202	1872.2951329993466	7.275117395032786E-5	1.0	-80.2918566327649	9107.863177345582	0.0011948114942548216
18000	-11145.193094654856	-11051.344244957616	-93.84884969724038	-11051.344244957616	1996.3454006137977	6.821046460836597E-5	1.0	-80.53846925453117	9827.376516693206	0.0011948114942548216
