#/seq/plasmodium/sredmond//refs/Pf3D7_v3.fasta
#/seq/plasmodium/sredmond//pfdisco//disco_halfmeg_fakeNGS/fakev3D7_all.PfDD2v3D7.vcf.gz
block 	N.PfDD2_v1	AS.PfDD2_v1	NM.PfDD2_v1	XS.PfDD2_v1 	N.Pf3D7_v3	AS.Pf3D7_v3	NM.Pf3D7_v3	XS.Pf3D7_v3 
1 	1	9364	300	67 	1	9999	0	71 
2 	5	9570	623	243 	1	9999	0	51 
3 	1	9592	65	56 	3	9940	142	58 
4 	1	10011	0	73 	1	9533	189	79 
5 	1	10086	0	60 	2	9649	1502	134 
6 	1	10079	1	1465 	2	9853	147	1469 
7 	11	3552	832	2580 	1	9840	29	2012 
8 	4	7174	811	4169 	1	9999	0	4523 
9 	10	3114	1000	2313 	1	9999	0	1282 
10 	15	3863	942	2407 	1	9999	0	1184 
11 	12	3424	747	2733 	1	9982	4	748 
12 	8	6963	441	3415 	1	9700	84	1841 
13 	12	5525	678	4274 	1	9999	0	3501 
14 	10	3958	521	2716 	1	9680	75	1354 
15 	16	4316	603	1420 	1	9760	66	934 
16 	1	9801	51	374 	1	8648	348	1010 
17 	1	9980	0	76 	1	9344	196	76 
18 	1	9883	45	81 	1	9592	118	104 
19 	1	10004	0	64 	1	9541	140	55 
20 	1	10013	0	60 	1	9529	138	64 
21 	2	9971	0	157 	2	9674	82	106 
22 	2	10224	20	162 	1	9417	197	60 
23 	1	9998	6	79 	1	9386	190	79 
24 	1	9946	0	80 	1	8724	257	69 
25 	1	9886	12	64 	2	13440	271	125 
26 	1	9905	0	72 	2	9437	243	164 
27 	2	9944	30	113 	1	9354	196	69 
28 	1	9609	76	72 	4	11324	195	236 
29 	2	9618	74	59 	2	9412	140	180 
30 	2	10064	72	247 	2	11897	374	110 
