Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	453	242	237	472	207	480	499	466	506	366	355	359	340	342	328	380	363
Th106.09		0	305	312	32	307	38	34	26	19	500	480	503	483	478	474	505	504
Th106.11			0	34	306	23	333	317	309	309	545	532	545	524	520	517	560	547
Th117.11				0	331	28	333	328	312	320	529	515	534	508	511	507	551	530
Th132.11					0	305	43	20	27	43	515	503	509	495	495	488	533	519
Th134.11						0	320	310	315	315	494	485	478	473	471	475	507	504
Th162.12							0	36	31	73	535	516	522	512	500	495	544	517
Th196.12								0	26	43	536	520	528	516	506	506	536	524
Th230.12									0	36	508	488	500	474	490	471	503	509
Th074.13										0	529	508	534	526	524	513	537	536
Th166.12											0	45	57	71	66	341	382	364
Th092.13												0	64	79	77	335	378	359
Th211.13													0	92	81	340	378	361
Th245.13														0	115	329	388	361
Th246.13															0	322	379	349
Th068.12																0	171	153
Th061.13																	0	117
Th095.13																		0
