Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	177	108	99	177	91	177	184	178	179	3883	3872	3880	3886	3886	4105	4130	4132
Th106.09		0	126	123	20	117	26	26	23	24	3934	3924	3932	3938	3937	4167	4183	4187
Th106.11			0	26	127	22	137	135	131	131	3937	3926	3937	3940	3938	4161	4177	4188
Th117.11				0	127	20	124	132	123	125	3935	3925	3933	3937	3934	4157	4174	4180
Th132.11					0	114	23	26	19	27	3910	3898	3908	3912	3910	4150	4174	4171
Th134.11						0	120	125	121	119	3927	3921	3926	3936	3930	4155	4173	4180
Th162.12							0	29	27	32	3940	3927	3937	3943	3939	4175	4186	4186
Th196.12								0	23	37	3945	3936	3947	3948	3948	4174	4198	4196
Th230.12									0	28	3928	3924	3928	3933	3934	4153	4183	4187
Th074.13										0	3921	3910	3920	3923	3921	4153	4180	4179
Th166.12											0	45	43	71	50	4697	4721	4716
Th092.13												0	47	69	52	4681	4712	4707
Th211.13													0	65	55	4700	4726	4720
Th245.13														0	68	4709	4737	4735
Th246.13															0	4695	4726	4717
Th068.12																0	100	99
Th061.13																	0	82
Th095.13																		0
