	Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13 
Th086.07	0	0	7	1	7	0	7	0	0	0	0	0	0	0	1	1	0	0 
Th106.09	0	0	1	2	2	0	1	0	4	7	0	0	0	0	0	0	0	0 
Th106.11	7	1	0	3	15	0	0	0	0	30	0	0	0	0	0	0	0	0 
Th117.11	1	2	3	0	0	5	3	0	8	0	0	0	0	0	0	2	0	0 
Th132.11	7	2	15	0	0	0	1	2	0	3	1	0	0	0	0	0	0	0 
Th134.11	0	0	0	5	0	0	2	0	1	3	0	0	0	0	0	0	6	0 
Th162.12	7	1	0	3	1	2	0	45	2	0	0	0	0	0	0	0	0	0 
Th196.12	0	0	0	0	2	0	45	0	1	4	0	0	0	2	0	0	0	1 
Th230.12	0	4	0	8	0	1	2	1	0	2	0	0	0	0	0	0	0	0 
Th074.13	0	7	30	0	3	3	0	4	2	0	0	0	0	0	0	0	12	0 
Th166.12	0	0	0	0	1	0	0	0	0	0	0	14	16	31	14	1	5	0 
Th092.13	0	0	0	0	0	0	0	0	0	0	14	0	18	9	4	0	0	0 
Th211.13	0	0	0	0	0	0	0	0	0	0	16	18	0	19	18	0	1	1 
Th245.13	0	0	0	0	0	0	0	2	0	0	31	9	19	0	3	0	0	0 
Th246.13	1	0	0	0	0	0	0	0	0	0	14	4	18	3	0	0	1	1 
Th068.12	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	192	232 
Th061.13	0	0	0	0	0	6	0	0	0	12	5	0	1	0	1	192	0	272 
Th095.13	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	232	272	0 
