Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	0	0	0	0	0	0	0	0	0	11283	11228	11289	11284	11262	11830	11868	11837
Th106.09		0	0	0	0	0	0	0	0	0	11347	11292	11349	11348	11321	11898	11902	11904
Th106.11			0	0	0	0	0	0	0	0	11323	11263	11325	11324	11296	11911	11915	11918
Th117.11				0	0	0	0	0	0	0	11304	11245	11309	11307	11286	11903	11907	11917
Th132.11					0	0	0	0	0	0	11298	11234	11295	11293	11270	11854	11892	11868
Th134.11						0	0	0	0	0	11328	11275	11330	11328	11301	11926	11929	11933
Th162.12							0	0	0	0	11356	11294	11355	11355	11327	11966	11968	11976
Th196.12								0	0	0	11375	11315	11377	11376	11350	11907	11948	11917
Th230.12									0	0	11342	11288	11342	11342	11315	11934	11940	11943
Th074.13										0	11335	11273	11334	11334	11306	11927	11940	11938
Th166.12											0	0	0	0	0	13231	13228	13246
Th092.13												0	0	0	0	13138	13171	13155
Th211.13													0	0	0	13289	13285	13300
Th245.13														0	0	13252	13285	13268
Th246.13															0	13197	13227	13215
Th068.12																0	0	0
Th061.13																	0	0
Th095.13																		0
