Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.05	1.05	1.05	1.05
Th106.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.05	1.06	1.06	1.05	1.05	1.05	1.06
Th106.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.05	1.05	1.05	1.06
Th117.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.05	1.05	1.05	1.05
Th132.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
Th134.11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.06	1.06	1.05	1.06
Th162.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05
Th196.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.05	1.05	1.05	1.05	1.05	1.05	1.05
Th230.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.06	1.05	1.05	1.06
Th074.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.06	1.06	1.06	1.06	1.05	1.05	1.05	1.06
Th166.12	1.06	1.06	1.06	1.06	1.05	1.06	1.05	1.06	1.06	1.06	NA	NA	NA	NA	NA	1.06	1.05	1.06
Th092.13	1.06	1.05	1.06	1.06	1.05	1.06	1.05	1.05	1.06	1.06	NA	NA	NA	NA	NA	1.05	1.05	1.06
Th211.13	1.06	1.06	1.06	1.06	1.05	1.06	1.05	1.05	1.06	1.06	NA	NA	NA	NA	NA	1.06	1.06	1.06
Th245.13	1.06	1.06	1.06	1.06	1.05	1.06	1.05	1.05	1.06	1.06	NA	NA	NA	NA	NA	1.06	1.06	1.06
Th246.13	1.05	1.05	1.05	1.05	1.05	1.06	1.05	1.05	1.06	1.05	NA	NA	NA	NA	NA	1.05	1.05	1.05
Th068.12	1.05	1.05	1.05	1.05	1.05	1.06	1.05	1.05	1.05	1.05	1.06	1.05	1.06	1.06	1.05	NA	NA	NA
Th061.13	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.05	1.06	1.06	1.05	NA	NA	NA
Th095.13	1.05	1.06	1.06	1.05	1.05	1.06	1.05	1.05	1.06	1.06	1.06	1.06	1.06	1.06	1.05	NA	NA	NA
