Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	576	408	399	622	347	652	677	620	652	630	603	612	635	594	592	677	665
Th106.09		0	358	359	121	343	125	140	107	88	651	619	658	670	614	644	702	708
Th106.11			0	111	403	105	453	418	391	385	716	700	730	731	660	708	783	776
Th117.11				0	410	111	427	419	386	404	703	680	720	723	681	691	774	753
Th132.11					0	398	164	139	106	144	707	695	708	737	694	703	791	760
Th134.11						0	408	420	390	384	669	660	650	703	647	671	726	730
Th162.12							0	176	160	188	735	720	718	768	685	691	808	750
Th196.12								0	124	155	741	710	709	747	718	714	779	763
Th230.12									0	129	688	683	683	693	666	655	731	739
Th074.13										0	693	678	708	765	715	705	779	763
Th166.12											0	175	219	223	197	560	658	635
Th092.13												0	214	262	203	551	632	635
Th211.13													0	280	234	537	640	628
Th245.13														0	281	593	680	662
Th246.13															0	532	643	626
Th068.12																0	356	297
Th061.13																	0	282
Th095.13																		0
