Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	2.25	2.78	3.03	2.51	2.81	2.68	2.68	2.48	2.64	2.73	2.87	2.83	2.9	2.69	2.57	2.56	2.52
Th106.09	2.25	NA	1.84	1.92	5.05	1.93	3.81	4.38	3.65	2.67	2.14	2.17	2.31	2.32	2.09	2.05	2.05	2.12
Th106.11	2.78	1.84	NA	3.27	2.17	3.77	2.31	2.1	1.98	1.94	2.31	2.45	2.48	2.48	2.19	2.37	2.43	2.34
Th117.11	3.03	1.92	3.27	NA	2.23	4.55	2.44	2.17	2.14	2.23	2.32	2.4	2.53	2.53	2.39	2.37	2.44	2.36
Th132.11	2.51	5.05	2.17	2.23	NA	2.49	6.13	4.35	4.58	4.33	2.5	2.7	2.63	2.76	2.61	2.4	2.45	2.41
Th134.11	2.81	1.93	3.77	4.55	2.49	NA	2.4	2.36	2.22	2.23	2.31	2.4	2.33	2.48	2.32	2.37	2.32	2.35
Th162.12	2.68	3.81	2.31	2.44	6.13	2.4	NA	5.07	4.93	4.88	2.43	2.62	2.49	2.67	2.36	2.18	2.48	2.33
Th196.12	2.68	4.38	2.1	2.17	4.35	2.36	5.07	NA	4.39	3.19	2.37	2.41	2.28	2.49	2.37	2.2	2.21	2.21
Th230.12	2.48	3.65	1.98	2.14	4.58	2.22	4.93	4.39	NA	3.61	2.39	2.48	2.47	2.48	2.35	2.26	2.16	2.24
Th074.13	2.64	2.67	1.94	2.23	4.33	2.23	4.88	3.19	3.61	NA	2.3	2.44	2.45	2.73	2.54	2.39	2.33	2.33
Th166.12	2.73	2.14	2.31	2.32	2.5	2.31	2.43	2.37	2.39	2.3	NA	2.89	4.09	2.14	2.94	2.37	2.58	2.49
Th092.13	2.87	2.17	2.45	2.4	2.7	2.4	2.62	2.41	2.48	2.44	2.89	NA	3.55	2.8	2.9	2.53	2.61	2.63
Th211.13	2.83	2.31	2.48	2.53	2.63	2.33	2.49	2.28	2.47	2.45	4.09	3.55	NA	3.31	3.25	2.25	2.5	2.47
Th245.13	2.9	2.32	2.48	2.53	2.76	2.48	2.67	2.49	2.48	2.73	2.14	2.8	3.31	NA	3.13	2.51	2.7	2.48
Th246.13	2.69	2.09	2.19	2.39	2.61	2.32	2.36	2.37	2.35	2.54	2.94	2.9	3.25	3.13	NA	2.35	2.57	2.52
Th068.12	2.57	2.05	2.37	2.37	2.4	2.37	2.18	2.2	2.26	2.39	2.37	2.53	2.25	2.51	2.35	NA	2.56	2
Th061.13	2.56	2.05	2.43	2.44	2.45	2.32	2.48	2.21	2.16	2.33	2.58	2.61	2.5	2.7	2.57	2.56	NA	2.44
Th095.13	2.52	2.12	2.34	2.36	2.41	2.35	2.33	2.21	2.24	2.33	2.49	2.63	2.47	2.48	2.52	2	2.44	NA
