Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	0.4	0.47	0.51	0.41	0.52	0.45	0.44	0.43	0.4	0.45	0.46	0.45	0.49	0.46	0.46	0.46	0.46
Th106.09	0.4	NA	0.36	0.37	0.5	0.36	0.62	0.63	0.51	0.44	0.42	0.4	0.41	0.44	0.41	0.43	0.44	0.43
Th106.11	0.47	0.36	NA	0.59	0.38	0.63	0.45	0.42	0.41	0.36	0.42	0.43	0.43	0.45	0.42	0.44	0.45	0.45
Th117.11	0.51	0.37	0.59	NA	0.39	0.7	0.45	0.44	0.4	0.39	0.45	0.46	0.46	0.48	0.46	0.49	0.5	0.49
Th132.11	0.41	0.5	0.38	0.39	NA	0.4	0.6	0.68	0.53	0.44	0.42	0.43	0.43	0.46	0.43	0.44	0.45	0.45
Th134.11	0.52	0.36	0.63	0.7	0.4	NA	0.44	0.46	0.43	0.37	0.45	0.47	0.46	0.5	0.46	0.49	0.47	0.49
Th162.12	0.45	0.62	0.45	0.45	0.6	0.44	NA	0.67	0.59	0.52	0.43	0.44	0.43	0.46	0.45	0.47	0.46	0.48
Th196.12	0.44	0.63	0.42	0.44	0.68	0.46	0.67	NA	0.61	0.55	0.46	0.45	0.44	0.48	0.48	0.47	0.48	0.48
Th230.12	0.43	0.51	0.41	0.4	0.53	0.43	0.59	0.61	NA	0.46	0.44	0.44	0.44	0.47	0.45	0.46	0.46	0.46
Th074.13	0.4	0.44	0.36	0.39	0.44	0.37	0.52	0.55	0.46	NA	0.4	0.41	0.4	0.44	0.42	0.42	0.43	0.43
Th166.12	0.45	0.42	0.42	0.45	0.42	0.45	0.43	0.46	0.44	0.4	NA	0.53	0.53	0.51	0.53	0.48	0.5	0.48
Th092.13	0.46	0.4	0.43	0.46	0.43	0.47	0.44	0.45	0.44	0.41	0.53	NA	0.49	0.57	0.62	0.49	0.53	0.5
Th211.13	0.45	0.41	0.43	0.46	0.43	0.46	0.43	0.44	0.44	0.4	0.53	0.49	NA	0.54	0.62	0.48	0.52	0.49
Th245.13	0.49	0.44	0.45	0.48	0.46	0.5	0.46	0.48	0.47	0.44	0.51	0.57	0.54	NA	0.54	0.51	0.52	0.51
Th246.13	0.46	0.41	0.42	0.46	0.43	0.46	0.45	0.48	0.45	0.42	0.53	0.62	0.62	0.54	NA	0.49	0.52	0.48
Th068.12	0.46	0.43	0.44	0.49	0.44	0.49	0.47	0.47	0.46	0.42	0.48	0.49	0.48	0.51	0.49	NA	0.51	0.47
Th061.13	0.46	0.44	0.45	0.5	0.45	0.47	0.46	0.48	0.46	0.43	0.5	0.53	0.52	0.52	0.52	0.51	NA	0.54
Th095.13	0.46	0.43	0.45	0.49	0.45	0.49	0.48	0.48	0.46	0.43	0.48	0.5	0.49	0.51	0.48	0.47	0.54	NA
