Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	2.25	2.78	3.03	2.51	2.81	2.68	2.68	2.48	2.64	2.07	2.06	2.07	2.07	2.05	2.03	2.04	2.03
Th106.09	2.25	NA	1.84	1.92	5.05	1.93	3.81	4.38	3.65	2.67	2.05	2.04	2.05	2.05	2.03	2.01	2.01	2.01
Th106.11	2.78	1.84	NA	3.27	2.17	3.77	2.31	2.1	1.98	1.94	2.06	2.05	2.06	2.06	2.04	2.03	2.04	2.03
Th117.11	3.03	1.92	3.27	NA	2.23	4.55	2.44	2.17	2.14	2.23	2.05	2.04	2.06	2.06	2.04	2.03	2.04	2.03
Th132.11	2.51	5.05	2.17	2.23	NA	2.49	6.13	4.35	4.58	4.33	2.07	2.06	2.07	2.08	2.06	2.03	2.04	2.03
Th134.11	2.81	1.93	3.77	4.55	2.49	NA	2.4	2.36	2.22	2.23	2.06	2.04	2.05	2.06	2.04	2.03	2.03	2.03
Th162.12	2.68	3.81	2.31	2.44	6.13	2.4	NA	5.07	4.93	4.88	2.07	2.06	2.07	2.07	2.05	2.03	2.05	2.04
Th196.12	2.68	4.38	2.1	2.17	4.35	2.36	5.07	NA	4.39	3.19	2.07	2.06	2.06	2.07	2.06	2.02	2.03	2.02
Th230.12	2.48	3.65	1.98	2.14	4.58	2.22	4.93	4.39	NA	3.61	2.06	2.05	2.06	2.06	2.05	2.03	2.03	2.03
Th074.13	2.64	2.67	1.94	2.23	4.33	2.23	4.88	3.19	3.61	NA	2.07	2.06	2.07	2.08	2.07	2.04	2.04	2.04
Th166.12	2.07	2.05	2.06	2.05	2.07	2.06	2.07	2.07	2.06	2.07	NA	2.89	4.09	2.14	2.94	1.94	1.94	1.94
Th092.13	2.06	2.04	2.05	2.04	2.06	2.04	2.06	2.06	2.05	2.06	2.89	NA	3.55	2.8	2.9	1.92	1.93	1.93
Th211.13	2.07	2.05	2.06	2.06	2.07	2.05	2.07	2.06	2.06	2.07	4.09	3.55	NA	3.31	3.25	1.94	1.95	1.95
Th245.13	2.07	2.05	2.06	2.06	2.08	2.06	2.07	2.07	2.06	2.08	2.14	2.8	3.31	NA	3.13	1.94	1.95	1.94
Th246.13	2.05	2.03	2.04	2.04	2.06	2.04	2.05	2.06	2.05	2.07	2.94	2.9	3.25	3.13	NA	1.92	1.93	1.93
Th068.12	2.03	2.01	2.03	2.03	2.03	2.03	2.03	2.02	2.03	2.04	1.94	1.92	1.94	1.94	1.92	NA	2.56	2
Th061.13	2.04	2.01	2.04	2.04	2.04	2.03	2.05	2.03	2.03	2.04	1.94	1.93	1.95	1.95	1.93	2.56	NA	2.44
Th095.13	2.03	2.01	2.03	2.03	2.03	2.03	2.04	2.02	2.03	2.04	1.94	1.93	1.95	1.94	1.93	2	2.44	NA
