Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	1.29	1.61	1.68	1.37	1.88	1.47	1.45	1.4	1.27	1.08	1.08	1.08	1.09	1.07	1.07	1.08	1.08
Th106.09	1.29	NA	1.25	1.25	2.74	1.17	3.12	3.96	3.42	1.78	1.08	1.07	1.07	1.08	1.07	1.08	1.08	1.08
Th106.11	1.61	1.25	NA	3.47	1.36	2.95	1.61	1.57	1.41	1.27	1.08	1.07	1.08	1.08	1.07	1.08	1.08	1.09
Th117.11	1.68	1.25	3.47	NA	1.42	4.35	1.5	1.59	1.39	1.32	1.08	1.08	1.08	1.09	1.08	1.08	1.09	1.09
Th132.11	1.37	2.74	1.36	1.42	NA	1.41	3.03	4.38	2.78	2.16	1.08	1.08	1.08	1.09	1.07	1.08	1.08	1.08
Th134.11	1.88	1.17	2.95	4.35	1.41	NA	1.46	1.63	1.45	1.25	1.09	1.08	1.08	1.09	1.08	1.09	1.08	1.09
Th162.12	1.47	3.12	1.61	1.5	3.03	1.46	NA	3.45	3.03	2.55	1.08	1.07	1.07	1.08	1.07	1.08	1.08	1.09
Th196.12	1.45	3.96	1.57	1.59	4.38	1.63	3.45	NA	4.05	2.69	1.08	1.08	1.07	1.09	1.08	1.08	1.08	1.08
Th230.12	1.4	3.42	1.41	1.39	2.78	1.45	3.03	4.05	NA	2.06	1.08	1.08	1.08	1.09	1.08	1.08	1.08	1.09
Th074.13	1.27	1.78	1.27	1.32	2.16	1.25	2.55	2.69	2.06	NA	1.08	1.07	1.07	1.09	1.07	1.08	1.08	1.08
Th166.12	1.08	1.08	1.08	1.08	1.08	1.09	1.08	1.08	1.08	1.08	NA	2.1	2.2	1.87	2.34	1.08	1.09	1.09
Th092.13	1.08	1.07	1.07	1.08	1.08	1.08	1.07	1.08	1.08	1.07	2.1	NA	1.57	2.45	2.77	1.08	1.09	1.09
Th211.13	1.08	1.07	1.08	1.08	1.08	1.08	1.07	1.07	1.08	1.07	2.2	1.57	NA	2.03	2.81	1.08	1.09	1.1
Th245.13	1.09	1.08	1.08	1.09	1.09	1.09	1.08	1.09	1.09	1.09	1.87	2.45	2.03	NA	2.23	1.09	1.09	1.1
Th246.13	1.07	1.07	1.07	1.08	1.07	1.08	1.07	1.08	1.08	1.07	2.34	2.77	2.81	2.23	NA	1.07	1.08	1.08
Th068.12	1.07	1.08	1.08	1.08	1.08	1.09	1.08	1.08	1.08	1.08	1.08	1.08	1.08	1.09	1.07	NA	1.98	2
Th061.13	1.08	1.08	1.08	1.09	1.08	1.08	1.08	1.08	1.08	1.08	1.09	1.09	1.09	1.09	1.08	1.98	NA	2.92
Th095.13	1.08	1.08	1.09	1.09	1.08	1.09	1.09	1.08	1.09	1.08	1.09	1.09	1.1	1.1	1.08	2	2.92	NA
