Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	NA	1.29	1.61	1.68	1.37	1.88	1.47	1.45	1.4	1.27	1.62	1.54	1.53	1.73	1.53	1.71	1.72	1.75
Th106.09	1.29	NA	1.25	1.25	2.74	1.17	3.12	3.96	3.42	1.78	1.54	1.36	1.43	1.59	1.39	1.61	1.61	1.64
Th106.11	1.61	1.25	NA	3.47	1.36	2.95	1.61	1.57	1.41	1.27	1.46	1.38	1.41	1.52	1.32	1.55	1.58	1.63
Th117.11	1.68	1.25	3.47	NA	1.42	4.35	1.5	1.59	1.39	1.32	1.6	1.57	1.55	1.76	1.53	1.75	1.82	1.81
Th132.11	1.37	2.74	1.36	1.42	NA	1.41	3.03	4.38	2.78	2.16	1.59	1.56	1.54	1.69	1.5	1.68	1.71	1.77
Th134.11	1.88	1.17	2.95	4.35	1.41	NA	1.46	1.63	1.45	1.25	1.61	1.57	1.47	1.77	1.54	1.78	1.67	1.86
Th162.12	1.47	3.12	1.61	1.5	3.03	1.46	NA	3.45	3.03	2.55	1.53	1.52	1.46	1.67	1.49	1.74	1.73	1.81
Th196.12	1.45	3.96	1.57	1.59	4.38	1.63	3.45	NA	4.05	2.69	1.63	1.54	1.43	1.66	1.59	1.74	1.73	1.76
Th230.12	1.4	3.42	1.41	1.39	2.78	1.45	3.03	4.05	NA	2.06	1.53	1.51	1.47	1.66	1.47	1.8	1.67	1.78
Th074.13	1.27	1.78	1.27	1.32	2.16	1.25	2.55	2.69	2.06	NA	1.36	1.35	1.34	1.55	1.4	1.49	1.52	1.56
Th166.12	1.62	1.54	1.46	1.6	1.59	1.61	1.53	1.63	1.53	1.36	NA	2.1	2.2	1.87	2.34	1.88	2	2.02
Th092.13	1.54	1.36	1.38	1.57	1.56	1.57	1.52	1.54	1.51	1.35	2.1	NA	1.57	2.45	2.77	1.84	1.97	2.03
Th211.13	1.53	1.43	1.41	1.55	1.54	1.47	1.46	1.43	1.47	1.34	2.2	1.57	NA	2.03	2.81	1.78	1.97	1.98
Th245.13	1.73	1.59	1.52	1.76	1.69	1.77	1.67	1.66	1.66	1.55	1.87	2.45	2.03	NA	2.23	2.07	2.08	2.13
Th246.13	1.53	1.39	1.32	1.53	1.5	1.54	1.49	1.59	1.47	1.4	2.34	2.77	2.81	2.23	NA	1.8	2.01	1.93
Th068.12	1.71	1.61	1.55	1.75	1.68	1.78	1.74	1.74	1.8	1.49	1.88	1.84	1.78	2.07	1.8	NA	1.98	2
Th061.13	1.72	1.61	1.58	1.82	1.71	1.67	1.73	1.73	1.67	1.52	2	1.97	1.97	2.08	2.01	1.98	NA	2.92
Th095.13	1.75	1.64	1.63	1.81	1.77	1.86	1.81	1.76	1.78	1.56	2.02	2.03	1.98	2.13	1.93	2	2.92	NA
