PA0137-C	PA0153-C	PA0169-C	PA0200-C	PA0214-C	PA0239-C	PA0255-C	PD0490-C	PD0535-C	PD0540-C	PD0541-C	PD0589-C	PD0590-C	PD0592-C	PF0041-C	PF0048-C	PF0069-C	PF0089-C	PF0100-C	PF0107-C	PF0136-C	PF0206-C	PF0221-C	PF0223-C	PF0310-C	PF0347-C	PF0349-C	PF0357-C	PF0370-C	PF0383-C	PF0427-C	PF0433-C	PF0454-C	PF0488-C	PF0510-C	PF0511-C	PF0557-Cx	PF0599-C	PF0615-C	PF0693-C	PF0753-C	PF0794-C	PH0247-C	PH0356-C	PH0469-CW	PH0470-C	PH0523-C	PH0539-C	PH0644-C	PH0686-C	PH0703-C	PH0770-C	PH0776-C	PH0782-C	PH0813-C	PH0821-C	PH0838-C	PH0844-C	PH0851-C	PH0919-C	PH0986-C	PH0991-C	PH1000-C	PH1136-C	PM0071-C	PR0117-C	PR0123-C	PR0155-C	PT0042-C	PT0067-C	PT0087-C	PT0102-C	PT0111-C	PT0129-C	PT0178-C	PT0187-Cx	PT0190-Cx	PT0193-C	PT0204-C	PT0205-Cx	PT0222-Cx	PT0228-Cx	PT0258-C	PT0279-Cx	PT0303-Cx	PV0262-C	PV0320-C	PV0322-C	PV0331-Cx	QC0194-C	QE0423-C	QE0426-C	QE0440-C	QG0194-C	QG0207-C	QG0239-C	QG0284-C	SenT033.08	SenT114.09	SenT137.09
PA0137-C	NA	0.25	0.26	0.27	0.3	0.29	0.31	0.26	0.23	0.2	0.27	0.24	0.24	0.24	0.26	0.25	0.25	0.28	0.24	0.2	0.27	0.28	0.26	0.31	0.24	0.25	0.28	0.28	0.22	0.27	0.3	0.33	0.26	0.22	0.32	0.31	0.27	0.28	0	0.25	0.26	0.27	0.26	0.29	0.23	0.22	0.25	0.26	0.27	0.27	0.24	0.23	0.21	0.25	0.23	0.22	0.27	0.21	0.26	0.22	0.23	0.27	0.23	0.29	0.28	0.24	0.26	0.2	0.29	0.27	0.29	0.26	0.33	0.22	0.25	0.33	0.25	0.3	0.28	0.29	0.29	0.29	0.24	0.27	0.27	0.24	0.24	0.24	0.32	0.24	0.29	0.25	0.28	0.27	0.31	0.23	0.3	0.21	0.21	0.3
PA0153-C	0.25	NA	0.18	0.23	0.21	0.14	0.15	0.21	0.14	0.09	0.22	0.19	0.18	0.14	0.18	0.11	0.11	0.21	0.17	0.17	0.21	0.27	0.17	0.16	0.15	0.17	0.13	0.09	0.17	0.28	0.23	0.15	0.22	0.08	0.19	0.21	0.15	0.19	0	0.18	0.11	0.16	0.18	0.21	0.17	0.14	0.24	0.2	0.18	0.21	0.24	0.19	0.16	0.12	0.16	0.15	0.2	0.16	0.19	0.17	0.16	0.19	0.15	0.24	0.2	0.2	0.2	0.15	0.21	0.11	0.18	0.2	0.24	0.2	0.22	0.26	0.11	0.19	0.19	0.15	0.25	0.2	0.25	0.15	0.2	0.15	0.16	0.15	0.24	0.16	0.24	0.24	0.22	0.15	0.19	0.11	0.15	0.12	0.21	0.22
PA0169-C	0.26	0.18	NA	0.25	0.25	0.22	0.24	0.26	0.17	0.16	0.23	0.19	0.21	0.17	0.2	0.2	0.23	0.12	0.14	0.15	0.18	0.14	0.17	0.2	0.12	0.19	0.23	0.18	0.17	0.22	0.19	0.26	0.28	0.13	0.22	0.16	0.2	0.15	0	0.2	0.22	0.19	0.19	0.23	0.21	0.16	0.26	0.22	0.19	0.21	0.23	0.22	0.18	0.2	0.2	0.2	0.22	0.16	0.2	0.24	0.2	0.25	0.16	0.26	0.18	0.2	0.16	0.22	0.26	0.17	0.15	0.19	0.16	0.17	0.2	0.2	0.2	0.17	0.21	0.19	0.2	0.22	0.23	0.15	0.2	0.19	0.19	0.17	0.24	0.18	0.24	0.24	0.24	0.17	0.22	0.12	0.23	0.18	0.24	0.21
PA0200-C	0.27	0.23	0.25	NA	0.24	0.24	0.27	0.27	0.19	0.18	0.27	0.25	0.23	0.22	0.21	0.21	0.24	0.2	0.22	0.21	0.24	0.25	0.24	0.23	0.24	0.21	0.23	0.23	0.22	0.27	0.21	0.26	0.25	0.21	0.25	0.21	0.23	0.2	0	0.24	0.27	0.21	0.22	0.26	0.22	0.19	0.26	0.23	0.25	0.24	0.26	0.28	0.21	0.19	0.24	0.21	0.23	0.21	0.22	0.24	0.23	0.25	0.2	0.27	0.25	0.24	0.23	0.23	0.27	0.2	0.25	0.24	0.25	0.27	0.25	0.24	0.22	0.23	0.22	0.22	0.26	0.21	0.21	0.16	0.3	0.2	0.2	0.2	0.26	0.21	0.28	0.28	0.25	0.21	0.21	0.19	0.24	0.2	0.25	0.28
PA0214-C	0.3	0.21	0.25	0.24	NA	0.18	0.25	0.24	0.18	0.15	0.24	0.22	0.18	0.21	0.15	0.16	0.18	0.21	0.2	0.16	0.22	0.23	0.2	0.18	0.24	0.2	0.19	0.18	0.2	0.28	0.21	0.25	0.25	0.16	0.27	0.27	0.19	0.2	0	0.24	0.16	0.21	0.2	0.22	0.18	0.15	0.24	0.23	0.21	0.24	0.25	0.21	0.16	0.16	0.17	0.18	0.23	0.15	0.24	0.19	0.19	0.2	0.15	0.23	0.21	0.23	0.22	0.19	0.23	0.18	0.23	0.17	0.25	0.23	0.23	0.28	0.21	0.22	0.23	0.23	0.25	0.26	0.24	0.2	0.21	0.19	0.19	0.18	0.23	0.19	0.23	0.27	0.24	0.18	0.25	0.19	0.2	0.18	0.16	0.2
PA0239-C	0.29	0.14	0.22	0.24	0.18	NA	0.25	0.23	0.13	0.07	0.23	0.2	0.18	0.17	0.16	0.18	0.31	0.16	0.14	0.18	0.22	0.24	0.2	0.36	0.17	0.12	0.28	0.06	0.16	0.24	0.21	0.33	0.27	0.1	0.4	0.33	0.17	0.16	NA	0.22	0.21	0.23	0.19	0.2	0.15	0.14	0.22	0.2	0.16	0.21	0.24	0.19	0.13	0.14	0.15	0.14	0.2	0.14	0.19	0.2	0.15	0.19	0.13	0.24	0.21	0.2	0.22	0.14	0.22	0.15	0.18	0.21	0.33	0.2	0.27	0.26	0.28	0.38	0.21	0.33	0.24	0.25	0.24	0.19	0.2	0.15	0.16	0.15	0.24	0.17	0.25	0.25	0.23	0.11	0.29	0.14	0.37	0.22	0.22	0.24
PA0255-C	0.31	0.15	0.24	0.27	0.25	0.25	NA	0.26	0.18	0.13	0.26	0.21	0.21	0.17	0.22	0.29	0.29	0.29	0.16	0.2	0.27	0.28	0.18	0.38	0.17	0.2	0.2	0.18	0.22	0.27	0.27	0.29	0.29	0.11	0.33	0.47	0.22	0.21	NA	0.22	0.33	0.19	0.22	0.24	0.16	0.17	0.23	0.23	0.21	0.24	0.25	0.24	0.19	0.16	0.19	0.18	0.23	0.19	0.22	0.21	0.17	0.2	0.17	0.24	0.27	0.24	0.21	0.18	0.3	0.23	0.25	0.3	0.35	0.24	0.28	0.33	0.25	0.38	0.22	0.33	0.29	0.28	0.29	0.26	0.24	0.18	0.19	0.18	0.27	0.23	0.28	0.27	0.23	0.22	0.26	0.16	0.22	0.22	0.31	0.28
PD0490-C	0.26	0.21	0.26	0.27	0.24	0.23	0.26	NA	0.19	0.26	0.3	0.23	0.23	0.27	0.25	0.23	0.22	0.19	0.19	0.2	0.22	0.24	0.22	0.21	0.19	0.22	0.24	0.23	0.24	0.23	0.23	0.25	0.23	0.2	0.25	0.25	0.22	0.21	0	0.2	0.22	0.25	0.31	0.27	0.24	0.22	0.28	0.27	0.22	0.27	0.23	0.27	0.23	0.27	0.26	0.22	0.27	0.29	0.26	0.3	0.27	0.28	0.27	0.3	0.26	0.28	0.26	0.2	0.27	0.21	0.22	0.2	0.23	0.22	0.23	0.28	0.24	0.22	0.22	0.22	0.25	0.23	0.22	0.2	0.23	0.24	0.25	0.24	0.28	0.26	0.29	0.28	0.22	0.2	0.23	0.17	0.25	0.19	0.25	0.24
PD0535-C	0.23	0.14	0.17	0.19	0.18	0.13	0.18	0.19	NA	0.18	0.24	0.15	0.14	0.21	0.16	0.12	0.14	0.09	0.13	0.12	0.17	0.16	0.16	0.14	0.11	0.13	0.16	0.14	0.14	0.17	0.16	0.15	0.21	0.12	0.16	0.16	0.13	0.13	0	0.13	0.13	0.17	0.18	0.21	0.13	0.15	0.19	0.19	0.13	0.19	0.22	0.18	0.12	0.18	0.2	0.16	0.18	0.19	0.18	0.18	0.16	0.19	0.17	0.23	0.18	0.23	0.2	0.19	0.18	0.13	0.14	0.15	0.14	0.13	0.16	0.22	0.15	0.12	0.18	0.14	0.22	0.16	0.17	0.12	0.18	0.15	0.17	0.16	0.23	0.14	0.21	0.21	0.16	0.1	0.18	0.1	0.16	0.17	0.15	0.18
PD0540-C	0.2	0.09	0.16	0.18	0.15	0.07	0.13	0.26	0.18	NA	0.24	0.19	0.2	0.17	0.12	0.1	0.12	0.1	0.12	0.12	0.17	0.16	0.1	0.11	0.12	0.07	0.1	0.09	0.11	0.16	0.15	0.15	0.17	0.07	0.15	0.12	0.14	0.13	0	0.12	0.09	0.14	0.19	0.19	0.21	0.16	0.25	0.23	0.16	0.26	0.24	0.19	0.16	0.14	0.17	0.17	0.21	0.18	0.23	0.18	0.2	0.21	0.14	0.23	0.15	0.19	0.21	0.13	0.16	0.09	0.14	0.12	0.11	0.14	0.16	0.22	0.12	0.11	0.14	0.12	0.17	0.15	0.16	0.11	0.15	0.17	0.2	0.19	0.26	0.15	0.22	0.23	0.24	0.07	0.17	0.1	0.15	0.13	0.16	0.16
