SM-7LV8O_1	SM-7LV8O_2	SM-7LV8P_1	SM-7LV8P_2	SM-7LV8Q_1	SM-7LV8Q_2	SM-7LV8R_1	SM-7LV8R_2	SM-7LV8S_1	SM-7LV8S_2	SM-7LV8T_1	SM-7LV8T_2	SM-7LV8U_1	SM-7LV8U_2	SM-7LV8V_1	SM-7LV8V_2
SM-7LV8O_1	NA	NA	1.13	1.13	1.18	1.18	0.97	0.97	1.41	1.41	1.41	1.41	1.42	1.42	1.42	1.42
SM-7LV8O_2	NA	NA	1.13	1.13	1.18	1.18	0.97	0.97	1.41	1.41	1.41	1.41	1.42	1.42	1.42	1.42
SM-7LV8P_1	0.89	0.89	NA	NA	1.05	1.05	0.86	0.86	1.41	1.41	1.41	1.41	1.41	1.41	1.41	1.41
SM-7LV8P_2	0.89	0.89	NA	NA	1.05	1.05	0.86	0.86	1.41	1.41	1.41	1.41	1.41	1.41	1.41	1.41
SM-7LV8Q_1	0.85	0.85	0.95	0.95	NA	NA	0.85	0.85	1.41	1.41	1.41	1.41	1.41	1.41	1.41	1.41
SM-7LV8Q_2	0.85	0.85	0.95	0.95	NA	NA	0.85	0.85	1.41	1.41	1.41	1.41	1.41	1.41	1.41	1.41
SM-7LV8R_1	1.03	1.03	1.16	1.16	1.18	1.18	NA	NA	1.42	1.42	1.42	1.42	1.42	1.42	1.42	1.42
SM-7LV8R_2	1.03	1.03	1.16	1.16	1.18	1.18	NA	NA	1.42	1.42	1.42	1.42	1.42	1.42	1.42	1.42
SM-7LV8S_1	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	NA	NA	0	0	Inf	Inf	1.11	1.11
SM-7LV8S_2	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	NA	NA	0	0	Inf	Inf	1.11	1.11
SM-7LV8T_1	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	Inf	Inf	NA	NA	Inf	Inf	1.25	1.25
SM-7LV8T_2	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	Inf	Inf	NA	NA	Inf	Inf	1.25	1.25
SM-7LV8U_1	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0	0	0	0	NA	NA	0.82	0.82
SM-7LV8U_2	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0	0	0	0	NA	NA	0.82	0.82
SM-7LV8V_1	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.9	0.9	0.8	0.8	1.22	1.22	NA	NA
SM-7LV8V_2	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.71	0.9	0.9	0.8	0.8	1.22	1.22	NA	NA
