SM-7LV8O_1	SM-7LV8O_2	SM-7LV8P_1	SM-7LV8P_2	SM-7LV8Q_1	SM-7LV8Q_2	SM-7LV8R_1	SM-7LV8R_2	SM-7LV8S_1	SM-7LV8S_2	SM-7LV8T_1	SM-7LV8T_2	SM-7LV8U_1	SM-7LV8U_2	SM-7LV8V_1	SM-7LV8V_2
SM-7LV8O_1	NA	NA	1.54	1.54	1.5	1.5	1.32	1.32	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
SM-7LV8O_2	NA	NA	1.54	1.54	1.5	1.5	1.32	1.32	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
SM-7LV8P_1	1.54	1.54	NA	NA	1.26	1.26	1.2	1.2	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
SM-7LV8P_2	1.54	1.54	NA	NA	1.26	1.26	1.2	1.2	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
SM-7LV8Q_1	1.5	1.5	1.26	1.26	NA	NA	1.18	1.18	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
SM-7LV8Q_2	1.5	1.5	1.26	1.26	NA	NA	1.18	1.18	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
SM-7LV8R_1	1.32	1.32	1.2	1.2	1.18	1.18	NA	NA	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
SM-7LV8R_2	1.32	1.32	1.2	1.2	1.18	1.18	NA	NA	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03
SM-7LV8S_1	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	NA	NA	25	25	9.67	9.67	1.05	1.05
SM-7LV8S_2	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	NA	NA	25	25	9.67	9.67	1.05	1.05
SM-7LV8T_1	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	25	25	NA	NA	8	8	1.17	1.17
SM-7LV8T_2	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	25	25	NA	NA	8	8	1.17	1.17
SM-7LV8U_1	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	9.67	9.67	8	8	NA	NA	1.45	1.45
SM-7LV8U_2	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	9.67	9.67	8	8	NA	NA	1.45	1.45
SM-7LV8V_1	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.05	1.05	1.17	1.17	1.45	1.45	NA	NA
SM-7LV8V_2	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.03	1.05	1.05	1.17	1.17	1.45	1.45	NA	NA
