name	haplotype number	year	culture_adapted	DISCO	ADCL_35	ADCL_40	ADCL_45	ADCL_35_lab	ADCL_40_lab	ADCL_45_lab	SET_35_v1	SET_40_v1	SET_45_v1
SenG001.2007	182	2007	0	0	0	0	0				000	000	000
SenG004.2007	183	2007	0	0	0	0	0				000	000	000
SenG006.2007	184	2007	0	0	0	0	0				000	000	000
Th001.07	36	2007	0	0	0	0	0				000	000	000
Th001.08	45	2008	0	0	0	0	0				000	000	000
Th001.09	5	2009	0	0	0	0	0				000	000	000
Th001.10	59	2010	0	0	0	0	0				000	000	000
Th001.11	442	2011	0	0	0	0	0				000	000	000
Th001.12	489	2012	0	0	0	0	0				000	000	000
Th001.13	570	2013	0	0	0	0	0				000	000	000
Th002.07	185	2007	0	0	0	0	0				000	000	000
Th002.08	287	2008	0	0	0	0	0				000	000	000
Th002.09	346	2009	1	0	0	0	0				100	100	100
Th002.10	59	2010	0	0	0	0	0				000	000	000
Th002.13	571	2013	0	0	0	0	0				000	000	000
Th003.06	100	2006	0	0	0	0	0				000	000	000
Th003.07	186	2007	0	0	0	0	0				000	000	000
Th003.08	45	2008	0	0	0	0	0				000	000	000
Th003.10	402	2010	0	0	0	0	0				000	000	000
Th003.11	443	2011	0	0	0	0	0				000	000	000
Th004.06	101	2006	0	0	0	0	0				000	000	000
Th004.08	4	2008	0	0	0	0	0				000	000	000
Th004.10	5	2010	0	0	0	0	0				000	000	000
Th004.13	572	2013	1	0	1	0	0	Th004.13			101	100	100
Th005.06	102	2006	0	0	0	0	0				000	000	000
Th005.10	403	2010	0	0	0	0	0				000	000	000
Th005.11	29	2011	0	0	0	0	0				000	000	000
Th005.13	573	2013	0	0	0	0	0				000	000	000
Th006.06	103	2006	0	0	0	0	0				000	000	000
Th006.10	61	2010	0	0	0	0	0				000	000	000
Th006.11	444	2011	0	0	0	0	0				000	000	000
Th006.13	95	2013	0	0	0	0	0				000	000	000
Th007.09	347	2009	0	0	0	0	0				000	000	000
Th007.10	65	2010	0	0	0	0	0				000	000	000
Th007.11	12	2011	0	0	0	0	0				000	000	000
Th008.10	404	2010	0	0	0	0	0				000	000	000
Th008.12	17	2012	0	0	0	0	0				000	000	000
Th008.13	574	2013	0	0	0	0	0				000	000	000
Th009.06	2	2006	0	0	0	0	0				000	000	000
Th009.07	187	2007	0	0	0	0	0				000	000	000
Th009.10	405	2010	0	0	0	0	0				000	000	000
Th009.12	17	2012	0	0	0	0	0				000	000	000
Th009.13	575	2013	0	0	0	0	0				000	000	000
Th010.06	104	2006	0	0	0	0	0				000	000	000
Th010.09	348	2009	0	0	0	0	0				000	000	000
Th010.10	29	2010	0	0	0	0	0				000	000	000
Th010.11	12	2011	0	0	0	0	0				000	000	000
Th010.13	27	2013	0	0	0	1	1		Th010.13	Th010.13	000	001	001
Th011.07	36	2007	0	0	0	0	0				000	000	000
Th011.09	349	2009	0	0	0	0	0				000	000	000
Th011.11	8	2011	0	0	0	0	0				000	000	000
Th011.13	576	2013	0	0	0	0	0				000	000	000
Th012.07	188	2007	0	0	0	0	0				000	000	000
Th012.10	29	2010	0	0	0	0	0				000	000	000
Th012.11	445	2011	0	0	0	0	0				000	000	000
Th013.07	189	2007	0	0	0	0	0				000	000	000
Th013.09	350	2009	0	0	0	0	0				000	000	000
Th013.11	446	2011	0	0	0	0	0				000	000	000
Th013.13	88	2013	0	0	0	0	0				000	000	000
Th014.07	190	2007	0	0	0	0	0				000	000	000
Th014.08	4	2008	0	0	0	0	0				000	000	000
Th014.11	29	2011	0	0	0	0	0				000	000	000
Th014.13	88	2013	0	0	0	0	0				000	000	000
Th015.06	105	2006	0	0	0	0	0				000	000	000
Th015.07	2	2007	0	0	0	0	0				000	000	000
Th015.08	288	2008	0	0	0	0	0				000	000	000
Th015.09	351	2009	1	0	0	0	0				100	100	100
Th015.10	65	2010	0	0	0	0	0				000	000	000
Th015.11	447	2011	0	0	0	0	0				000	000	000
Th016.06	106	2006	0	0	0	0	0				000	000	000
Th016.07	191	2007	0	0	0	0	0				000	000	000
Th016.10	406	2010	0	0	0	0	0				000	000	000
Th016.11	448	2011	0	0	0	0	0				000	000	000
Th016.12	490	2012	0	0	0	0	0				000	000	000
Th016.13	577	2013	0	0	0	0	0				000	000	000
Th017.07	192	2007	0	0	0	0	0				000	000	000
Th017.13	21	2013	0	0	1	1	1	Th017.13	Th017.13	Th017.13	001	001	001
Th018.06	107	2006	0	0	0	0	0				000	000	000
Th018.07	193	2007	0	0	0	0	0				000	000	000
Th018.09	352	2009	0	0	0	0	0				000	000	000
Th018.11	29	2011	0	0	0	0	0				000	000	000
Th018.12	22	2012	0	0	0	0	0				000	000	000
Th018.13	578	2013	0	0	0	0	0				000	000	000
Th019.07	194	2007	0	0	0	0	0				000	000	000
Th019.11	29	2011	0	0	0	0	0				000	000	000
Th019.13	579	2013	0	0	0	0	0				000	000	000
Th020.06	108	2006	0	0	0	0	0				000	000	000
Th020.07	195	2007	0	0	0	0	0				000	000	000
Th020.11	449	2011	0	0	0	0	0				000	000	000
Th020.12	491	2012	0	0	0	0	0				000	000	000
Th020.13	99	2013	0	0	0	0	0				000	000	000
Th021.07	196	2007	0	0	0	0	0				000	000	000
Th021.09	353	2009	1	0	0	0	0				100	100	100
Th021.10	407	2010	0	0	0	0	0				000	000	000
Th021.11	17	2011	0	0	0	0	0				000	000	000
Th021.12	28	2012	0	0	0	0	0				000	000	000
Th021.13	580	2013	0	0	0	0	0				000	000	000
Th022.06	109	2006	0	0	0	0	0				000	000	000
Th022.08	289	2008	0	0	0	0	0				000	000	000
Th022.09	354	2009	0	0	0	0	0				000	000	000
Th022.10	408	2010	0	0	0	0	0				000	000	000
Th022.11	450	2011	0	0	0	0	0				000	000	000
Th022.12	74	2012	0	0	0	0	0				000	000	000
