Pathogen	Group	Genome size (bp)	Evolutionary rate (site-1 year-1)	Evolutionary rate (genome-1 year-1)	Host scale	Date range (yrs)	Source
Clostridium difficile	Bacteria	4300000	3.20E-07	1.38	within	1	[S1]
Clostridium difficile	Bacteria	430000	1.15E-10	5.00E-04	among	"1,100,000"	[S2]
Helicobacter pylori	Bacteria	1600000	2.60E-07	0.42	among	"70,000"	[S3]
Helicobacter pylori	Bacteria	1600000	1.90E-05	40	among	3	[S4]
Helicobacter pylori	Bacteria	1600000	1.38E-05	22	among	15	[S5]
Mycobacterium bovis	Bacteria	4300000	3.40E-08	0.15	among	12	[S6]
Mycobacterium leprae	Bacteria	3200000	6.10E-09	0.02	among	"1,000"	[S7]
Mycobacterium tuberculosis	Bacteria	4400000	1.00E-07	0.44	within	1	[S8]
Mycobacterium tuberculosis	Bacteria	4400000	6.80E-08	0.3	among	10	[S9]
Mycobacterium tuberculosis	Bacteria	4400000	1.10E-07	0.48	within	1	[S10]
Mycobacterium tuberculosis	Bacteria	4400000	2.58E-09	0.01	among	"70,000"	[S11]
Salmonella enterica Agona	Bacteria	4200000	9.30E-08	0.39	among	60	[S12]
Staphylococcus aureus (ST239)	Bacteria	2900000	3.30E-06	9.57	among	25	[S13]
Staphylococcus aureus (ST239)	Bacteria	2900001	2.70E-06	7.83	within	1	[S14]
Streptococcus pneumoniae (PMEN1)	Bacteria	2200000	1.60E-06	3.52	among	25	[S15]
Vibrio cholerae	Bacteria	4000000	8.30E-07	3.32	among	60	[S16]
Yersinia pestis	Bacteria	4500000	8.60E-09	0.04	among	70	[S17]
Human polyomavirus (BK)	dsDNA virus	5000	3.00E-05	0.15	among	30	[S18]
Myxoma virus	dsDNA virus	162000	9.60E-06	1.56	among	46	[S19]
Smallpox virus	dsDNA virus	200000	9.00E-06	1.8	among	31	[S18]
Hep C virus (1b)	RNA virus	9000	1.00E-03	9	among	35	[S20]
HIV-M	RNA virus	10000	3.30E-03	33	among	50	[S21]
"Influenza A virus (H1N1, 2009)"	RNA virus	13600	3.60E-03	48.96	among	1	[S22]
"Influenza A virus (H1N1, seasonal)"	RNA virus	13600	2.00E-03	27.2	among	60	[S23]
Rabies virus	RNA virus	12000	2.00E-04	2.4	among	22	"[S24], Biek, unpubl."
West Nile virus	RNA virus	11000	5.60E-04	6.16	among	13	[S25]
Feline panleukopenia virus/Canine parvovirus	ssDNA virus	5000	1.00E-04	0.5	among	42	[26]
P.f_haplo	eukaryote	15180000	1.00E-07				ours
P.f_disco	eukaryote	18446000	1.00E-06				ours
