#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:ThiesDiscoINDELs" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoINDELs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoINDELs">
#                    <trait id="dateTrait.t:ThiesDiscoINDELs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoINDELs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoINDELs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoINDELs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoINDELs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:ThiesDiscoINDELs" name="distribution" x="@popSize.t:ThiesDiscoINDELs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoINDELs" id="treeLikelihood.ThiesDiscoINDELs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoINDELs">
#            <siteModel id="SiteModel.s:ThiesDiscoINDELs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoINDELs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoINDELs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoINDELs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoINDELs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoINDELs" id="StrictClock.c:ThiesDiscoINDELs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	clockRate	popSize	CoalescentConstant.
0	-27723.90364135615	-27690.438974269517	-33.46466708663546	-27690.438974269517	6.411508499023984	1.0	1.0	0.3	-34.668639890961394
1000	-10012.197126873943	-10002.087764564967	-10.109362308975824	-10002.087764564967	7.045646786902533	1.0	0.06915090972257312	0.5729690870210342	-10.66628582205101
2000	-9211.508424933136	-9163.490466663576	-48.01795826956087	-9163.490466663576	23.17868300206116	1.0	0.005331883372767501	10.398156135671607	-45.67632977377906
3000	-9182.254388452748	-9123.629176453907	-58.62521199884103	-9123.629176453907	77.4719365307775	1.0	0.0013431866687073407	185.21578555898182	-53.40369044506158
4000	-9187.693241247134	-9120.950574867686	-66.74266637944783	-9120.950574867686	188.0804119625772	1.0	5.381300379021875E-4	276.938166203053	-61.11887212488306
5000	-9201.877516887049	-9121.774658432136	-80.10285845491329	-9121.774658432136	678.8442928341251	1.0	1.4922801744235686E-4	881.1457979345074	-73.32163535125669
6000	-9206.118028161007	-9124.575022589777	-81.54300557122873	-9124.575022589777	728.8639525656635	1.0	1.4488812021782162E-4	676.3733285746493	-75.02626038642076
7000	-9197.441235073282	-9118.876420720802	-78.56481435248014	-9118.876420720802	584.3573206178232	1.0	1.6841235181143578E-4	862.3828892787145	-71.80511499334006
8000	-9193.33106320828	-9119.537947673107	-73.7931155351718	-9119.537947673107	364.7461016372697	1.0	2.727574373891746E-4	665.5650072634947	-67.29247922026873
9000	-9188.15923752914	-9117.93099587411	-70.22824165502946	-9117.93099587411	233.57346355342028	1.0	4.1752736796295893E-4	510.28470235021797	-63.99327284516663
10000	-9188.97167582336	-9117.591220877928	-71.38045494543225	-9117.591220877928	238.80400012089385	1.0	3.999159265799861E-4	724.3544631248569	-64.79517408290513
11000	-9193.332942826186	-9120.273997482645	-73.0589453435399	-9120.273997482645	316.8165372599525	1.0	3.0236468134814783E-4	552.353940079957	-66.74475630694398
12000	-9202.181245755039	-9123.051380973306	-79.12986478173327	-9123.051380973306	483.8628148803775	1.0	2.0327580201501844E-4	1708.923719945764	-71.68624573393461
13000	-9192.056975913423	-9125.292536990471	-66.76443892295129	-9125.292536990471	194.57549893660462	1.0	5.561055117418711E-4	249.73506858573415	-61.244038292652355
14000	-9193.276162161099	-9125.137771668973	-68.13839049212666	-9125.137771668973	224.87220744754816	1.0	4.6921938890239433E-4	394.21837577523326	-62.16148548313368
15000	-9189.608057389154	-9119.216235096164	-70.39182229299003	-9119.216235096164	242.1742910879289	1.0	4.2359155381211186E-4	256.49343934361144	-64.84471920631407
16000	-9190.39037702448	-9120.082972445689	-70.30740457879061	-9120.082972445689	226.63733820977467	1.0	4.465919581991133E-4	571.5415899717889	-63.959067324849634
17000	-9193.605664270812	-9115.481946892623	-78.12371737818744	-9115.481946892623	542.4436331361344	1.0	1.7719415487162048E-4	784.77137067293	-71.45832495037624
18000	-9192.105571147482	-9114.068975706046	-78.03659544143576	-9114.068975706046	535.2862648590933	1.0	1.7876921787067244E-4	905.7680418990548	-71.2278121925666
19000	-9190.463946669195	-9114.111948461437	-76.3519982077587	-9114.111948461437	439.3726970751156	1.0	2.2459790328460403E-4	1057.2407879339878	-69.38858044467746
20000	-9195.523815746255	-9117.0658075047	-78.45800824155609	-9117.0658075047	589.9278307735532	1.0	1.690245734491496E-4	1015.7786540946493	-71.53459749729569
