#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:ThiesDiscoSNPs" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ThiesDiscoSNPs" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ThiesDiscoSNPs">
#                    <trait id="dateTrait.t:ThiesDiscoSNPs" spec="beast.evolution.tree.TraitSet" traitname="date">
#                Th086.07=7.0,
#Th106.09=9.0,
#Th230.12=12.0,
#Th074.13=13.0,
#Th132.11=11.0,
#Th162.12=12.0,
#Th196.12=12.0,
#Th106.11=11.0,
#Th117.11=11.0,
#Th134.11=11.0                
#                                    <taxa id="TaxonSet.ThiesDiscoSNPs" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ThiesDiscoSNPs"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:ThiesDiscoSNPs" name="distribution">
#            <parameter id="clockRate.c:ThiesDiscoSNPs" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:ThiesDiscoSNPs" name="distribution" x="@popSize.t:ThiesDiscoSNPs">
#            <OneOnX id="OneOnX.0" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ThiesDiscoSNPs" id="treeLikelihood.ThiesDiscoSNPs" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ThiesDiscoSNPs">
#            <siteModel id="SiteModel.s:ThiesDiscoSNPs" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:ThiesDiscoSNPs" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ThiesDiscoSNPs" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ThiesDiscoSNPs" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:ThiesDiscoSNPs" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ThiesDiscoSNPs" id="StrictClock.c:ThiesDiscoSNPs" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	popSize	CoalescentConstant.
0	-25485.48155644517	-25452.17887691049	-33.30267953468041	-25452.17887691049	6.303514283910273	1.0	1.0	0.3	-34.506652339006344
1000	-11377.317360078692	-11304.198564201686	-73.1187958770056	-11304.198564201686	12.870639146706136	0.023753939014228623	1.0	0.9626106924801466	-73.1569020912642
2000	-11170.032182947185	-11103.277048872962	-66.755134074223	-11103.277048872962	26.369676388868935	0.007647737344477669	1.0	7.4010100624201245	-64.75351758840581
3000	-11126.165712632894	-11066.419666236106	-59.74604639678774	-11066.419666236106	78.70249793978876	0.0021863542917019995	1.0	191.83172373061964	-54.489427847960116
4000	-11134.240277787525	-11051.327789798735	-82.91248798878952	-11051.327789798735	657.5573360879598	2.17559721488059E-4	1.0	1314.6162931626504	-75.73118787902905
5000	-11129.881139549605	-11048.603384227907	-81.2777553216985	-11048.603384227907	567.6829375796258	2.6714267448128647E-4	1.0	1619.8411271194445	-73.88767196796057
6000	-11133.544462226637	-11051.5954000419	-81.94906218473686	-11051.5954000419	631.2400244157842	2.3340069518005998E-4	1.0	961.5151142046617	-75.08055190042995
7000	-11128.776772340254	-11047.078856379689	-81.6979159605645	-11047.078856379689	590.8310635496182	2.415345964911455E-4	1.0	1535.3515657178577	-74.36140129372632
8000	-11138.78744322582	-11053.750999993608	-85.03644323221125	-11053.750999993608	763.6205609071422	1.8638684950858888E-4	1.0	2464.0094833382805	-77.22689805880783
9000	-11137.554155700089	-11047.883405730909	-89.67074996917948	-11047.883405730909	1347.5313391640116	1.1353837511783742E-4	1.0	3932.1776803406187	-81.39380130064737
10000	-11145.419200816752	-11052.90576766918	-92.51343314757233	-11052.90576766918	1765.1090597488405	8.459327435606473E-5	1.0	4176.938875995847	-84.17609921665222
11000	-11129.91905119763	-11050.282591488347	-79.63645970928293	-11050.282591488347	344.31276909482233	4.3839265769394077E-4	1.0	2055.0224070526488	-72.00841767873679
12000	-11128.866661226397	-11047.961130527267	-80.90553069912954	-11047.961130527267	530.763065871414	2.6396858811718874E-4	1.0	1524.7993602267416	-73.57591258580817
13000	-11131.76721872551	-11049.510619231247	-82.25659949426388	-11049.510619231247	578.9341666390092	2.3855363006064845E-4	1.0	1886.3491523076739	-74.71420091972762
14000	-11146.719859196797	-11051.84156913552	-94.87829006127681	-11051.84156913552	1963.7013783596683	6.805965103075392E-5	1.0	4637.107715131607	-86.43644394766807
15000	-11135.683323398536	-11046.782268035717	-88.90105536282043	-11046.782268035717	1202.6851879186142	1.205597096358188E-4	1.0	2683.754048607403	-81.00608350506504
16000	-11134.589201885288	-11048.873569449395	-85.71563243589362	-11048.873569449395	830.4843232992404	1.8278712768950213E-4	1.0	2792.1255741665686	-77.78107399660207
17000	-11140.368252776398	-11050.701636618625	-89.66661615777244	-11050.701636618625	1088.4786745218312	1.2965056245488514E-4	1.0	1611.1801824268023	-82.28189393576784
