step	post	like	prior	mu1	mu2	gamma	pi	spa1	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11
1	-37738.658058585220715	-37739.783830331136414	1.125771745916988	0.000345542501728	0.000345542501728	1.000000000000000	0.877430930374385	0.000000000000000	59	-13	11	35	35	35	35	47	47	47	-1	3	0	11	11	11	3	11	3	3	3	2	9	1	9	9	9	9	9	9	9	9	9
500	-35825.023959983795066	-35818.277451646550617	-6.746508337247647	0.000347807002720	0.000347807002720	1.000000000000000	0.365878186195215	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	9	1	7	6	1	9	1	8	5	9	7
1000	-35750.821411003744288	-35739.302900421484082	-11.518510582261550	0.000353547414824	0.000353547414824	1.000000000000000	0.215309813029490	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	8	1	6	4	1	8	1	5	9	9	8
1500	-35633.182298504572827	-35623.563696654899104	-9.618601849675040	0.000362805253369	0.000362805253369	1.000000000000000	0.265915596494817	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	7	1	6	4	1	9	1	9	7	8	9
2000	-35423.170217270933790	-35416.337226941104745	-6.832990329831343	0.000380751711664	0.000380751711664	1.000000000000000	0.362379260058733	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	6	1	6	7	1	9	1	9	6	6	8
2500	-35022.277971605893981	-35015.641023681455408	-6.636947924436814	0.000416469203411	0.000416469203411	1.000000000000000	0.370359380396047	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	8	1	6	5	1	7	1	9	8	9	8
3000	-34456.290933113101346	-34448.392831065917562	-7.898102047180432	0.000473237229573	0.000473237229573	1.000000000000000	0.321933691313483	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	6	1	6	4	1	7	1	6	7	8	7
3500	-33427.343616674028453	-33423.651183922054770	-3.692432751971086	0.000597833617647	0.000597833617647	1.000000000000000	0.513701411456337	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	6	1	6	4	1	7	1	5	8	4	7
4000	-31839.386219639374758	-31830.587446350757091	-8.798773288617612	0.000854140557208	0.000854140557208	1.000000000000000	0.291275925164450	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	7	1	6	4	1	9	1	9	7	9	8
4500	-29646.813134490275843	-29638.559037028713647	-8.254097461562340	0.001408267827882	0.001408267827882	1.000000000000000	0.309448150272091	0.000000000000000	59	-13	11	34	35	35	35	47	47	47	-1	3	0	11	11	4	3	4	3	3	3	2	7	1	6	4	1	7	1	6	7	8	8
