Pathogen	Label	Group	Genome size (bp)	Evolutionary rate (site/yr)	Evolutionary rate (genome/yr)	Host scale	Date range (yrs)	Source
H. pylori	H. pylori	Bacteria	1600000	1.38E-05	22	among	15	[S5]
M. tuberculosis	M. tuberculosis	Bacteria	4400000	6.80E-08	0.3	among	10	[S9]
S. aureus	S. aureus (MRSA)	Bacteria	2900000	3.30E-06	9.57	among	25	[S13]
S. pneumoniae	S. pneumoniae	Bacteria	2200000	1.60E-06	3.52	among	25	[S15]
V. cholerae	V. cholerae	Bacteria	4000000	8.30E-07	3.32	among	60	[S16]
HCV	HCV (Hep C)	RNA virus	9000	1.00E-03	9	among	35	[S20]
EBOV	EBOV (Ebola)	RNA virus	19000	2.00E-03	9	among	35	[S20]
HIV-M	HIV-M	RNA virus	10000	3.30E-03	33	among	50	[S21]
HFLUV	HFLUV (H1N1 2009)	RNA virus	13600	3.60E-03	48.96	among	1	[S22]
HFLUV	HFLUV (H1N1)	RNA virus	13600	2.00E-03	27.2	among	60	[S23]
RABV	RABV	RNA virus	12000	2.00E-04	2.4	among	22	"[S24], Biek, unpubl."
FMDV	FMDV	RNA virus	8100	1.30E-03	9	among	35	[S20]
