sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD
Th086.07	Th106.09	593	0.9444	-8.28298e+02	3	0.233	0	0.00000	0.00000
Th086.07	Th106.11	511	0.6458	-9.53725e+02	5	7.756	18	0.08054	0.35097
Th086.07	Th117.11	504	0.6448	-9.27376e+02	5	7.048	19	0.09394	0.35132
Th086.07	Th132.11	603	0.9552	-8.30063e+02	3	0.002	0	0.00000	0.00000
Th086.07	Th134.11	509	0.6444	-9.38080e+02	5	7.014	19	0.09394	0.35172
Th086.07	Th162.12	609	0.9491	-8.56846e+02	3	0.280	0	0.00000	0.00000
Th086.07	Th196.12	615	0.9545	-8.49318e+02	3	0.004	0	0.00000	0.00000
Th086.07	Th230.12	605	0.9504	-8.28635e+02	3	0.005	0	0.00000	0.00000
Th086.07	Th074.13	607	0.9555	-8.49840e+02	3	0.010	0	0.00000	0.00000
Th086.07	Th166.12	406	0.9089	-8.93224e+02	5	9.515	2	0.00252	0.04785
Th086.07	Th092.13	406	0.9039	-8.96618e+02	5	9.515	2	0.00252	0.04785
Th086.07	Th211.13	407	0.8968	-9.00678e+02	5	9.459	2	0.00252	0.04782
Th086.07	Th245.13	406	0.8990	-8.98280e+02	5	9.864	2	0.00252	0.04823
Th086.07	Th246.13	406	0.9015	-8.96477e+02	5	9.523	2	0.00252	0.04786
Th086.07	Th068.12	416	0.8702	-9.99318e+02	3	0.404	0	0.00000	0.00000
Th086.07	Th061.13	417	0.8777	-9.98118e+02	3	0.429	0	0.00000	0.00000
Th086.07	Th095.13	415	0.8699	-9.97797e+02	3	0.441	0	0.00000	0.00000
Th086.07		419	0.6253	-1.15436e+03	5	23.820	55	0.23143	0.32903
Th106.09	Th106.11	462	0.7100	-7.89774e+02	5	12.034	15	0.15467	0.24801
Th106.09	Th117.11	455	0.7099	-7.72797e+02	5	11.624	17	0.15984	0.25327
Th106.09	Th132.11	313	0.2173	-6.97313e+02	5	20.338	42	0.80362	0.80252
Th106.09	Th134.11	461	0.7115	-7.95731e+02	5	15.351	20	0.15392	0.25004
Th106.09	Th162.12	324	0.2438	-7.20696e+02	5	21.186	45	0.75069	0.76227
Th106.09	Th196.12	321	0.2181	-7.07108e+02	5	15.400	35	0.74516	0.78938
Th106.09	Th230.12	312	0.1987	-6.67880e+02	5	20.636	40	0.83617	0.82663
Th106.09	Th074.13	313	0.1949	-6.87518e+02	5	16.565	34	0.79227	0.80408
Th106.09	Th166.12	419	1.0000	-5.72163e+02	2	0.002	0	0.00000	0.00000
Th106.09	Th092.13	421	1.0000	-5.72785e+02	2	0.002	0	0.00000	0.00000
Th106.09	Th211.13	424	1.0000	-5.73386e+02	2	0.001	0	0.00000	0.00000
Th106.09	Th245.13	422	1.0000	-5.72334e+02	2	0.002	0	0.00000	0.00000
Th106.09	Th246.13	422	1.0000	-5.71257e+02	2	0.002	0	0.00000	0.00000
Th106.09	Th068.12	440	0.9795	-6.65732e+02	3	0.000	0	0.00000	0.00000
Th106.09	Th061.13	440	0.9795	-6.67305e+02	3	0.000	0	0.00000	0.00000
Th106.09	Th095.13	440	0.9795	-6.63518e+02	3	0.000	0	0.00000	0.00000
Th106.09		500	0.9840	-7.97488e+02	3	0.000	0	0.00000	0.00000
Th106.11	Th117.11	348	0.1236	-7.27272e+02	5	25.610	33	0.94753	0.87454
Th106.11	Th132.11	471	0.7304	-8.00344e+02	5	13.955	16	0.15304	0.25615
Th106.11	Th134.11	352	0.1278	-7.30923e+02	5	21.428	35	0.91832	0.85356
Th106.11	Th162.12	487	0.7474	-8.20052e+02	5	12.139	10	0.09718	0.17913
Th106.11	Th196.12	483	0.7329	-8.13352e+02	5	9.091	8	0.13265	0.20199
Th106.11	Th230.12	474	0.7300	-7.86315e+02	5	8.586	10	0.16275	0.23483
Th106.11	Th074.13	475	0.7200	-8.12282e+02	5	10.951	15	0.20163	0.25680
Th106.11	Th166.12	445	0.9843	-6.62151e+02	2	0.001	0	0.00000	0.00000
Th106.11	Th092.13	445	0.9798	-6.65545e+02	2	0.001	0	0.00000	0.00000
Th106.11	Th211.13	448	0.9799	-6.66146e+02	2	0.001	0	0.00000	0.00000
Th106.11	Th245.13	446	0.9798	-6.65095e+02	2	0.001	0	0.00000	0.00000
Th106.11	Th246.13	446	0.9798	-6.64017e+02	2	0.001	0	0.00000	0.00000
Th106.11	Th068.12	460	0.9565	-7.62651e+02	3	0.000	0	0.00000	0.00000
Th106.11	Th061.13	460	0.9565	-7.64224e+02	3	0.000	0	0.00000	0.00000
Th106.11	Th095.13	460	0.9565	-7.60437e+02	3	0.000	0	0.00000	0.00000
Th106.11		524	0.9637	-8.91635e+02	3	0.000	0	0.00000	0.00000
Th117.11	Th132.11	465	0.7312	-7.80717e+02	5	11.976	12	0.11827	0.21917
Th117.11	Th134.11	346	0.1185	-7.03017e+02	5	22.599	32	0.94992	0.87252
Th117.11	Th162.12	480	0.7479	-7.95396e+02	5	12.307	10	0.09366	0.17244
Th117.11	Th196.12	477	0.7338	-7.94952e+02	5	9.452	8	0.13455	0.19781
Th117.11	Th230.12	469	0.7313	-7.73615e+02	5	11.158	13	0.15681	0.22414
Th117.11	Th074.13	468	0.7265	-7.88189e+02	5	7.729	10	0.21940	0.24747
Th117.11	Th166.12	433	0.9792	-6.50021e+02	3	0.000	0	0.00000	0.00000
Th117.11	Th092.13	433	0.9746	-6.53415e+02	3	0.000	0	0.00000	0.00000
Th117.11	Th211.13	436	0.9748	-6.54016e+02	3	0.000	0	0.00000	0.00000
Th117.11	Th245.13	434	0.9747	-6.52965e+02	3	0.000	0	0.00000	0.00000
Th117.11	Th246.13	434	0.9747	-6.51887e+02	3	0.000	0	0.00000	0.00000
Th117.11	Th068.12	451	0.9557	-7.47055e+02	3	0.000	0	0.00000	0.00000
Th117.11	Th061.13	452	0.9558	-7.47935e+02	3	0.000	0	0.00000	0.00000
Th117.11	Th095.13	452	0.9558	-7.44148e+02	3	0.000	0	0.00000	0.00000
Th117.11		517	0.9691	-8.72573e+02	2	0.001	0	0.00000	0.00000
Th132.11	Th134.11	472	0.7373	-7.93270e+02	5	12.358	9	0.10377	0.22448
Th132.11	Th162.12	325	0.2246	-7.25217e+02	5	18.908	44	0.81083	0.76518
Th132.11	Th196.12	321	0.1869	-7.11752e+02	5	18.482	42	0.88119	0.81513
Th132.11	Th230.12	314	0.1815	-6.77484e+02	5	22.356	42	0.90914	0.84111
Th132.11	Th074.13	326	0.2638	-7.29929e+02	5	13.323	32	0.65758	0.75557
Th132.11	Th166.12	418	0.9928	-5.87791e+02	2	0.002	0	0.00000	0.00000
Th132.11	Th092.13	420	0.9952	-5.87719e+02	2	0.002	0	0.00000	0.00000
Th132.11	Th211.13	423	0.9953	-5.88320e+02	2	0.002	0	0.00000	0.00000
Th132.11	Th245.13	421	0.9952	-5.87269e+02	2	0.002	0	0.00000	0.00000
Th132.11	Th246.13	421	0.9952	-5.86192e+02	2	0.002	0	0.00000	0.00000
Th132.11	Th068.12	445	0.9775	-6.75814e+02	3	0.000	0	0.00000	0.00000
Th132.11	Th061.13	445	0.9775	-6.77387e+02	3	0.000	0	0.00000	0.00000
Th132.11	Th095.13	445	0.9753	-6.74293e+02	3	0.000	0	0.00000	0.00000
Th132.11		501	0.9701	-8.14502e+02	3	0.000	0	0.00000	0.00000
Th134.11	Th162.12	485	0.7485	-8.16348e+02	5	11.915	9	0.07955	0.19243
Th134.11	Th196.12	483	0.7371	-8.10913e+02	5	9.882	12	0.16462	0.22472
Th134.11	Th230.12	474	0.7321	-7.89647e+02	5	11.914	22	0.21503	0.26189
Th134.11	Th074.13	474	0.7278	-8.19378e+02	5	14.723	12	0.10784	0.21206
Th134.11	Th166.12	439	0.9818	-6.57936e+02	2	0.002	0	0.00000	0.00000
Th134.11	Th092.13	439	0.9772	-6.61330e+02	2	0.002	0	0.00000	0.00000
Th134.11	Th211.13	442	0.9774	-6.61931e+02	2	0.001	0	0.00000	0.00000
Th134.11	Th245.13	440	0.9773	-6.60880e+02	2	0.002	0	0.00000	0.00000
Th134.11	Th246.13	440	0.9773	-6.59802e+02	2	0.002	0	0.00000	0.00000
Th134.11	Th068.12	454	0.9537	-7.58436e+02	3	0.000	0	0.00000	0.00000
Th134.11	Th061.13	453	0.9514	-7.61395e+02	3	0.000	0	0.00000	0.00000
Th134.11	Th095.13	454	0.9537	-7.56222e+02	3	0.000	0	0.00000	0.00000
Th134.11		521	0.9674	-8.83261e+02	2	0.001	0	0.00000	0.00000
Th162.12	Th196.12	329	0.2036	-7.26097e+02	5	21.607	40	0.85398	0.80629
Th162.12	Th230.12	319	0.1818	-6.88954e+02	5	29.289	43	0.90030	0.83529
Th162.12	Th074.13	336	0.2798	-7.53781e+02	5	17.167	42	0.64023	0.71860
Th162.12	Th166.12	434	0.9977	-6.03484e+02	2	0.003	0	0.00000	0.00000
Th162.12	Th092.13	436	0.9977	-6.04105e+02	2	0.003	0	0.00000	0.00000
