Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	177	108	99	177	91	177	184	178	179	3883	3872	3880	3886	3886	4105	4130	4132
Th106.09	177	0	126	123	20	117	26	26	23	24	3934	3924	3932	3938	3937	4167	4183	4187
Th106.11	108	126	0	26	127	22	137	135	131	131	3937	3926	3937	3940	3938	4161	4177	4188
Th117.11	99	123	26	0	127	20	124	132	123	125	3935	3925	3933	3937	3934	4157	4174	4180
Th132.11	177	20	127	127	0	114	23	26	19	27	3910	3898	3908	3912	3910	4150	4174	4171
Th134.11	91	117	22	20	114	0	120	125	121	119	3927	3921	3926	3936	3930	4155	4173	4180
Th162.12	177	26	137	124	23	120	0	29	27	32	3940	3927	3937	3943	3939	4175	4186	4186
Th196.12	184	26	135	132	26	125	29	0	23	37	3945	3936	3947	3948	3948	4174	4198	4196
Th230.12	178	23	131	123	19	121	27	23	0	28	3928	3924	3928	3933	3934	4153	4183	4187
Th074.13	179	24	131	125	27	119	32	37	28	0	3921	3910	3920	3923	3921	4153	4180	4179
Th166.12	3883	3934	3937	3935	3910	3927	3940	3945	3928	3921	0	45	43	71	50	4697	4721	4716
Th092.13	3872	3924	3926	3925	3898	3921	3927	3936	3924	3910	45	0	47	69	52	4681	4712	4707
Th211.13	3880	3932	3937	3933	3908	3926	3937	3947	3928	3920	43	47	0	65	55	4700	4726	4720
Th245.13	3886	3938	3940	3937	3912	3936	3943	3948	3933	3923	71	69	65	0	68	4709	4737	4735
Th246.13	3886	3937	3938	3934	3910	3930	3939	3948	3934	3921	50	52	55	68	0	4695	4726	4717
Th068.12	4105	4167	4161	4157	4150	4155	4175	4174	4153	4153	4697	4681	4700	4709	4695	0	100	99
Th061.13	4130	4183	4177	4174	4174	4173	4186	4198	4183	4180	4721	4712	4726	4737	4726	100	0	82
Th095.13	4132	4187	4188	4180	4171	4180	4186	4196	4187	4179	4716	4707	4720	4735	4717	99	82	0
