Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	104	70	59	106	57	106	110	105	104	2430	2426	2432	2437	2434	2571	2589	2593
Th106.09	104	0	71	68	14	66	16	17	15	11	2465	2456	2463	2469	2467	2601	2619	2624
Th106.11	70	71	0	16	75	17	83	79	76	75	2465	2458	2465	2471	2468	2603	2621	2627
Th117.11	59	68	16	0	74	11	71	77	69	70	2464	2458	2466	2471	2468	2598	2619	2623
Th132.11	106	14	75	74	0	67	15	14	15	16	2452	2443	2450	2455	2455	2597	2618	2622
Th134.11	57	66	17	11	67	0	69	71	71	67	2463	2457	2462	2470	2465	2596	2617	2621
Th162.12	106	16	83	71	15	69	0	18	17	13	2463	2453	2460	2466	2466	2600	2615	2618
Th196.12	110	17	79	77	14	71	18	0	15	19	2464	2456	2464	2469	2468	2605	2627	2629
Th230.12	105	15	76	69	15	71	17	15	0	15	2456	2449	2454	2459	2461	2589	2617	2618
Th074.13	104	11	75	70	16	67	13	19	15	0	2455	2447	2452	2457	2456	2594	2617	2617
Th166.12	2430	2465	2465	2464	2452	2463	2463	2464	2456	2455	0	23	25	44	25	2979	3004	2999
Th092.13	2426	2456	2458	2458	2443	2457	2453	2456	2449	2447	23	0	23	45	27	2975	2999	2994
Th211.13	2432	2463	2465	2466	2450	2462	2460	2464	2454	2452	25	23	0	41	30	2984	3010	3005
Th245.13	2437	2469	2471	2471	2455	2470	2466	2469	2459	2457	44	45	41	0	43	2994	3017	3018
Th246.13	2434	2467	2468	2468	2455	2465	2466	2468	2461	2456	25	27	30	43	0	2987	3013	3005
Th068.12	2571	2601	2603	2598	2597	2596	2600	2605	2589	2594	2979	2975	2984	2994	2987	0	63	61
Th061.13	2589	2619	2621	2619	2618	2617	2615	2627	2617	2617	3004	2999	3010	3017	3013	63	0	47
Th095.13	2593	2624	2627	2623	2622	2621	2618	2629	2618	2617	2999	2994	3005	3018	3005	61	47	0
