Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	235	171	159	246	162	270	268	226	264	4556	4490	4547	4534	4526	4669	4768	4752
Th106.09	235	0	135	134	59	121	79	71	39	37	4581	4526	4587	4576	4559	4708	4777	4785
Th106.11	171	135	0	54	160	54	206	159	142	152	4607	4547	4614	4608	4567	4738	4823	4816
Th117.11	159	134	54	0	148	56	183	155	113	145	4568	4505	4579	4563	4565	4699	4795	4791
Th132.11	246	59	160	148	0	146	83	69	42	63	4603	4532	4593	4585	4584	4728	4819	4803
Th134.11	162	121	54	56	146	0	163	156	131	141	4581	4531	4570	4580	4572	4725	4785	4798
Th162.12	270	79	206	183	83	163	0	95	70	93	4624	4577	4611	4617	4611	4755	4856	4837
Th196.12	268	71	159	155	69	156	95	0	52	53	4636	4561	4609	4631	4626	4763	4828	4831
Th230.12	226	39	142	113	42	131	70	52	0	35	4587	4535	4570	4568	4564	4700	4771	4783
Th074.13	264	37	152	145	63	141	93	53	35	0	4591	4527	4597	4614	4602	4732	4806	4805
Th166.12	4556	4581	4607	4568	4603	4581	4624	4636	4587	4591	0	50	101	72	82	5328	5378	5402
Th092.13	4490	4526	4547	4505	4532	4531	4577	4561	4535	4527	50	0	63	75	67	5292	5334	5349
Th211.13	4547	4587	4614	4579	4593	4570	4611	4609	4570	4597	101	63	0	101	103	5340	5389	5407
Th245.13	4534	4576	4608	4563	4585	4580	4617	4631	4568	4614	72	75	101	0	105	5338	5382	5398
Th246.13	4526	4559	4567	4565	4584	4572	4611	4626	4564	4602	82	67	103	105	0	5330	5387	5395
Th068.12	4669	4708	4738	4699	4728	4725	4755	4763	4700	4732	5328	5292	5340	5338	5330	0	128	104
Th061.13	4768	4777	4823	4795	4819	4785	4856	4828	4771	4806	5378	5334	5389	5382	5387	128	0	122
Th095.13	4752	4785	4816	4791	4803	4798	4837	4831	4783	4805	5402	5349	5407	5398	5395	104	122	0
