SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	1262	1104	1090	1291	1113	1101	1259	1289	1281	10497	10513	10539	5345	10569	10419	10475	10443
SM-7LV7W	1262	0	582	561	354	586	498	343	355	332	11607	11623	11643	5913	11679	11411	11454	11418
SM-7LV7X	1104	582	0	302	580	338	730	581	593	562	11606	11631	11647	5922	11695	11434	11476	11436
SM-7LV7Y	1090	561	302	0	570	307	721	544	580	554	11590	11612	11630	5909	11672	11418	11467	11448
SM-7LV7Z	1291	354	580	570	0	601	500	375	350	347	11580	11580	11612	5902	11657	11419	11452	11428
SM-7LV81	1113	586	338	307	601	0	754	582	607	573	11589	11604	11622	5908	11662	11411	11460	11434
SM-7LV82	1101	498	730	721	500	754	0	489	512	520	11306	11327	11345	5762	11386	11161	11230	11195
SM-7LV83	1259	343	581	544	375	582	489	0	336	350	11558	11580	11602	5904	11625	11394	11447	11425
SM-7LV84	1289	355	593	580	350	607	512	336	0	355	11570	11600	11607	5904	11649	11437	11461	11444
SM-7LV85	1281	332	562	554	347	573	520	350	355	0	11593	11611	11627	5908	11672	11414	11454	11426
SM-7LV86	10497	11607	11606	11590	11580	11589	11306	11558	11570	11593	0	310	311	188	320	11426	11444	11438
SM-7LV87	10513	11623	11631	11612	11580	11604	11327	11580	11600	11611	310	0	300	198	323	11423	11432	11435
SM-7LV88	10539	11643	11647	11630	11612	11622	11345	11602	11607	11627	311	300	0	176	310	11439	11451	11452
SM-7LV89	5345	5913	5922	5909	5902	5908	5762	5904	5904	5908	188	198	176	0	156	5733	5733	5730
SM-7LV8A	10569	11679	11695	11672	11657	11662	11386	11625	11649	11672	320	323	310	156	0	11479	11498	11484
SM-7LV8B	10419	11411	11434	11418	11419	11411	11161	11394	11437	11414	11426	11423	11439	5733	11479	0	323	334
SM-7LV8C	10475	11454	11476	11467	11452	11460	11230	11447	11461	11454	11444	11432	11451	5733	11498	323	0	342
SM-7LV8D	10443	11418	11436	11448	11428	11434	11195	11425	11444	11426	11438	11435	11452	5730	11484	334	342	0
