SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	334	205	210	343	212	291	311	339	327	9405	9406	9402	5043	9425	9242	9242	9290
SM-7LV7W	334	0	197	212	57	207	124	49	56	49	9752	9753	9758	5269	9786	9545	9547	9590
SM-7LV7X	205	197	0	61	222	54	264	208	225	208	9794	9789	9784	5292	9825	9566	9568	9614
SM-7LV7Y	210	212	61	0	217	60	280	223	225	226	9802	9796	9799	5287	9835	9597	9600	9647
SM-7LV7Z	343	57	222	217	0	221	116	55	57	65	9752	9751	9761	5273	9786	9567	9570	9606
SM-7LV81	212	207	54	60	221	0	270	214	211	195	9795	9781	9790	5274	9822	9555	9565	9608
SM-7LV82	291	124	264	280	116	270	0	100	115	117	9662	9654	9658	5221	9689	9460	9468	9513
SM-7LV83	311	49	208	223	55	214	100	0	56	56	9715	9707	9719	5263	9745	9501	9501	9547
SM-7LV84	339	56	225	225	57	211	115	56	0	62	9738	9728	9743	5270	9768	9526	9526	9574
SM-7LV85	327	49	208	226	65	195	117	56	62	0	9751	9742	9752	5263	9779	9552	9556	9605
SM-7LV86	9405	9752	9794	9802	9752	9795	9662	9715	9738	9751	0	47	52	23	52	9791	9790	9848
SM-7LV87	9406	9753	9789	9796	9751	9781	9654	9707	9728	9742	47	0	54	35	62	9790	9792	9842
SM-7LV88	9402	9758	9784	9799	9761	9790	9658	9719	9743	9752	52	54	0	25	60	9801	9802	9858
SM-7LV89	5043	5269	5292	5287	5273	5274	5221	5263	5270	5263	23	35	25	0	30	5257	5248	5289
SM-7LV8A	9425	9786	9825	9835	9786	9822	9689	9745	9768	9779	52	62	60	30	0	9812	9812	9871
SM-7LV8B	9242	9545	9566	9597	9567	9555	9460	9501	9526	9552	9791	9790	9801	5257	9812	0	51	86
SM-7LV8C	9242	9547	9568	9600	9570	9565	9468	9501	9526	9556	9790	9792	9802	5248	9812	51	0	56
SM-7LV8D	9290	9590	9614	9647	9606	9608	9513	9547	9574	9605	9848	9842	9858	5289	9871	86	56	0
