SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	1596	1309	1300	1634	1325	1392	1570	1628	1608	19902	19919	19941	10388	19994	19661	19717	19733
SM-7LV7W		0	779	773	411	793	622	392	411	381	21359	21376	21401	11182	21465	20956	21001	21008
SM-7LV7X			0	363	802	392	994	789	818	770	21400	21420	21431	11214	21520	21000	21044	21050
SM-7LV7Y				0	787	367	1001	767	805	780	21392	21408	21429	11196	21507	21015	21067	21095
SM-7LV7Z					0	822	616	430	407	412	21332	21331	21373	11175	21443	20986	21022	21034
SM-7LV81						0	1024	796	818	768	21384	21385	21412	11182	21484	20966	21025	21042
SM-7LV82							0	589	627	637	20968	20981	21003	10983	21075	20621	20698	20708
SM-7LV83								0	392	406	21273	21287	21321	11167	21370	20895	20948	20972
SM-7LV84									0	417	21308	21328	21350	11174	21417	20963	20987	21018
SM-7LV85										0	21344	21353	21379	11171	21451	20966	21010	21031
SM-7LV86											0	357	363	211	372	21217	21234	21286
SM-7LV87												0	354	233	385	21213	21224	21277
SM-7LV88													0	201	370	21240	21253	21310
SM-7LV89														0	186	10990	10981	11019
SM-7LV8A															0	21291	21310	21355
SM-7LV8B																0	374	420
SM-7LV8C																	0	398
SM-7LV8D																		0
