SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	304	181	183	314	189	271	284	312	302	8626	8624	8623	4632	8634	8532	8527	8578
SM-7LV7W	304	0	191	198	52	196	108	47	51	44	8933	8929	8938	4824	8952	8817	8820	8860
SM-7LV7X	181	191	0	50	212	46	245	201	214	200	8977	8968	8967	4851	8994	8833	8834	8881
SM-7LV7Y	183	198	50	0	206	46	250	211	205	208	8973	8964	8970	4844	8992	8846	8850	8895
SM-7LV7Z	314	52	212	206	0	211	99	52	46	57	8921	8919	8931	4832	8942	8816	8820	8856
SM-7LV81	189	196	46	46	211	0	254	203	196	189	8973	8958	8969	4839	8987	8809	8812	8858
SM-7LV82	271	108	245	250	99	254	0	84	102	105	8871	8859	8868	4792	8884	8747	8747	8795
SM-7LV83	284	47	201	211	52	203	84	0	50	51	8898	8889	8903	4822	8915	8773	8774	8818
SM-7LV84	312	51	214	205	46	196	102	50	0	52	8925	8912	8930	4831	8940	8805	8804	8849
SM-7LV85	302	44	200	208	57	189	105	51	52	0	8933	8923	8935	4822	8948	8825	8822	8874
SM-7LV86	8626	8933	8977	8973	8921	8973	8871	8898	8925	8933	0	40	44	22	46	9001	8986	9051
SM-7LV87	8624	8929	8968	8964	8919	8958	8859	8889	8912	8923	40	0	51	32	58	8997	8986	9043
SM-7LV88	8623	8938	8967	8970	8931	8969	8868	8903	8930	8935	44	51	0	25	56	9007	8995	9057
SM-7LV89	4632	4824	4851	4844	4832	4839	4792	4822	4831	4822	22	32	25	0	29	4828	4816	4866
SM-7LV8A	8634	8952	8994	8992	8942	8987	8884	8915	8940	8948	46	58	56	29	0	9006	8993	9058
SM-7LV8B	8532	8817	8833	8846	8816	8809	8747	8773	8805	8825	9001	8997	9007	4828	9006	0	42	75
SM-7LV8C	8527	8820	8834	8850	8820	8812	8747	8774	8804	8822	8986	8986	8995	4816	8993	42	0	49
SM-7LV8D	8578	8860	8881	8895	8856	8858	8795	8818	8849	8874	9051	9043	9057	4866	9058	75	49	0
