Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	523	16277	21696	22359	462	22517	18892	22591	20445	17989	22287	21726	22442	15675	22448	8922	14776
Th068.12		0	16268	21666	22336	474	22525	18881	22570	20458	17967	22269	21713	22449	15634	22451	8870	14742
Th074.13			0	862	16496	16312	358	660	658	378	646	453	16481	364	15988	366	8876	15005
Th086.07				0	21785	18530	1292	644	812	1179	591	1227	21232	1300	15347	1305	8568	14379
Th092.13					0	19048	22636	19076	22710	20604	18190	22458	457	22571	304	22627	186	296
Th095.13						0	19242	18909	19306	19215	18011	19029	19022	19177	15692	19201	8923	14795
Th106.09							0	874	1024	480	812	578	22094	512	15967	515	8870	14971
Th106.11								0	389	907	396	936	19074	876	15998	851	8909	15012
Th117.11									0	953	358	1093	22137	1013	15991	1057	8881	15004
Th132.11										0	856	558	20594	512	15998	455	8892	15001
Th134.11											0	883	18172	839	16001	849	8906	15024
Th162.12												0	21901	557	15852	601	8827	14871
Th166.12													0	22028	270	22077	176	284
Th196.12														0	15958	509	8880	14984
Th211.13															0	16004	186	316
Th230.12																0	8902	15021
Th245.13																	0	167
Th246.13																		0
