Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	322	6027	8081	8573	288	8644	7085	8664	7752	6714	8466	8289	8593	5768	8601	3173	5485
Th068.12	322	0	6009	8041	8547	288	8625	7059	8619	7742	6690	8441	8265	8575	5741	8579	3145	5451
Th074.13	6027	6009	0	414	6158	6034	203	334	332	210	315	239	6149	195	5919	218	3199	5623
Th086.07	8081	8041	414	0	8133	6735	629	351	449	559	309	588	7886	628	5510	636	3001	5224
Th092.13	8573	8547	6158	8133	0	7156	8705	7208	8748	7863	6852	8579	300	8661	180	8699	106	181
Th095.13	288	288	6034	6735	7156	0	7218	7085	7226	7208	6724	7060	7157	7172	5773	7201	3175	5487
Th106.09	8644	8625	203	629	8705	7218	0	433	535	281	386	349	8473	326	5910	320	3187	5601
Th106.11	7085	7059	334	351	7208	7085	433	0	241	443	235	450	7213	418	5927	419	3223	5629
Th117.11	8664	8619	332	449	8748	7226	535	241	0	451	217	553	8492	508	5919	541	3202	5615
Th132.11	7752	7742	210	559	7863	7208	281	443	451	0	398	295	7848	280	5926	266	3216	5623
Th134.11	6714	6690	315	309	6852	6724	386	235	217	398	0	406	6841	406	5912	416	3213	5621
Th162.12	8466	8441	239	588	8579	7060	349	450	553	295	406	0	8339	316	5812	338	3157	5521
Th166.12	8289	8265	6149	7886	300	7157	8473	7213	8492	7848	6841	8339	0	8431	164	8458	111	181
Th196.12	8593	8575	195	628	8661	7172	326	418	508	280	406	316	8431	0	5894	290	3194	5595
Th211.13	5768	5741	5919	5510	180	5773	5910	5927	5919	5926	5912	5812	164	5894	0	5916	107	175
Th230.12	8601	8579	218	636	8699	7201	320	419	541	266	416	338	8458	290	5916	0	3206	5614
Th245.13	3173	3145	3199	3001	106	3175	3187	3223	3202	3216	3213	3157	111	3194	107	3206	0	104
Th246.13	5485	5451	5623	5224	181	5487	5601	5629	5615	5623	5621	5521	181	5595	175	5614	104	0
