Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	46	5562	7394	7491	53	7421	6364	7449	6782	6135	7438	7317	7402	5391	7418	3122	5074
Th068.12	46	0	5564	7402	7501	61	7436	6364	7463	6794	6140	7440	7331	7421	5390	7437	3126	5079
Th074.13	5562	5564	0	147	5608	5589	24	95	104	32	108	51	5613	35	5467	26	3179	5152
Th086.07	7394	7402	147	0	7506	6459	242	85	106	239	86	253	7349	251	5432	239	3158	5112
Th092.13	7491	7501	5608	7506	0	6493	7533	6411	7550	6875	6180	7544	27	7512	21	7528	18	27
Th095.13	53	61	5589	6459	6493	0	6488	6387	6525	6489	6153	6509	6486	6486	5408	6496	3136	5093
Th106.09	7421	7436	24	242	7533	6488	0	149	171	40	155	58	7368	38	5468	40	3178	5147
Th106.11	6364	6364	95	85	6411	6387	149	0	23	168	30	180	6405	163	5468	157	3182	5150
Th117.11	7449	7463	104	106	7550	6525	171	23	0	179	29	199	7385	187	5480	190	3179	5162
Th132.11	6782	6794	32	239	6875	6489	40	168	179	0	167	68	6868	49	5478	33	3185	5159
Th134.11	6135	6140	108	86	6180	6153	155	30	29	167	0	180	6177	170	5482	164	3184	5163
Th162.12	7438	7440	51	253	7544	6509	58	180	199	68	180	0	7382	59	5495	62	3190	5173
Th166.12	7317	7331	5613	7349	27	6486	7368	6405	7385	6868	6177	7382	0	7354	18	7370	10	18
Th196.12	7402	7421	35	251	7512	6486	38	163	187	49	170	59	7354	0	5483	46	3183	5167
Th211.13	5391	5390	5467	5432	21	5408	5468	5468	5480	5478	5482	5495	18	5483	0	5485	7	27
Th230.12	7418	7437	26	239	7528	6496	40	157	190	33	164	62	7370	46	5485	0	3188	5169
Th245.13	3122	3126	3179	3158	18	3136	3178	3182	3179	3185	3184	3190	10	3183	7	3188	0	12
Th246.13	5074	5079	5152	5112	27	5093	5147	5150	5162	5159	5163	5173	18	5167	27	5169	12	0
