Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	368	11589	15475	16064	341	16065	13449	16113	14534	12849	15904	15606	15995	11159	16019	6295	10559
Th068.12		0	11573	15443	16048	349	16061	13423	16082	14536	12830	15881	15596	15996	11131	16016	6271	10530
Th074.13			0	561	11766	11623	227	429	436	242	423	290	11762	230	11386	244	6378	10775
Th086.07				0	15639	13194	871	436	555	798	395	841	15235	879	10942	875	6159	10336
Th092.13					0	13649	16238	13619	16298	14738	13032	16123	327	16173	201	16227	124	208
Th095.13						0	13706	13472	13751	13697	12877	13569	13643	13658	11181	13697	6311	10580
Th106.09							0	582	706	321	541	407	15841	364	11378	360	6365	10748
Th106.11								0	264	611	265	630	13618	581	11395	576	6405	10779
Th117.11									0	630	246	752	15877	695	11399	731	6381	10777
Th132.11										0	565	363	14716	329	11404	299	6401	10782
Th134.11											0	586	13018	576	11394	580	6397	10784
Th162.12												0	15721	375	11307	400	6347	10694
Th166.12													0	15785	182	15828	121	199
Th196.12														0	11377	336	6377	10762
Th211.13															0	11401	114	202
Th230.12																0	6394	10783
Th245.13																	0	116
Th246.13																		0
