SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	1005	754	738	1040	756	945	1012	1038	1016	16468	16472	16473	8266	16496	16347	16396	16396
SM-7LV7W		0	509	515	216	507	323	198	218	189	17229	17230	17241	8666	17259	17010	17033	17044
SM-7LV7X			0	183	530	187	632	510	531	495	17244	17248	17254	8674	17291	17016	17039	17055
SM-7LV7Y				0	528	177	629	503	537	496	17225	17237	17248	8665	17274	17015	17047	17072
SM-7LV7Z					0	517	322	212	207	218	17209	17193	17218	8672	17248	17019	17034	17062
SM-7LV81						0	645	508	527	493	17225	17222	17234	8671	17257	16992	17018	17035
SM-7LV82							0	304	334	339	17100	17105	17109	8626	17137	16887	16935	16946
SM-7LV83								0	181	192	17185	17188	17206	8664	17214	16973	17003	17018
SM-7LV84									0	221	17186	17193	17203	8656	17227	16999	17014	17035
SM-7LV85										0	17221	17223	17239	8660	17255	17006	17040	17047
SM-7LV86											0	179	190	115	201	17196	17218	17245
SM-7LV87												0	184	110	192	17204	17208	17252
SM-7LV88													0	107	195	17215	17229	17264
SM-7LV89														0	93	8574	8578	8589
SM-7LV8A															0	17242	17261	17291
SM-7LV8B																0	198	218
SM-7LV8C																	0	210
SM-7LV8D																		0
