SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	842	708	686	871	706	788	851	869	862	8634	8639	8641	4079	8660	8563	8602	8589
SM-7LV7W	842	0	379	374	197	374	290	187	200	180	9236	9230	9242	4371	9257	9077	9091	9090
SM-7LV7X	708	379	0	166	387	177	485	378	389	364	9236	9235	9246	4377	9274	9083	9097	9099
SM-7LV7Y	686	374	166	0	383	162	473	358	388	356	9217	9222	9234	4374	9257	9079	9102	9110
SM-7LV7Z	871	197	387	383	0	379	296	205	195	200	9222	9201	9223	4373	9256	9083	9089	9105
SM-7LV81	706	374	177	162	379	0	494	375	386	365	9216	9212	9221	4372	9243	9071	9086	9091
SM-7LV82	788	290	485	473	296	494	0	281	305	312	9130	9132	9137	4334	9163	8981	9019	9016
SM-7LV83	851	187	378	358	205	375	281	0	170	183	9210	9210	9225	4366	9234	9065	9086	9089
SM-7LV84	869	200	389	388	195	386	305	170	0	206	9208	9210	9217	4357	9244	9087	9093	9100
SM-7LV85	862	180	364	356	200	365	312	183	206	0	9229	9228	9241	4369	9258	9074	9097	9091
SM-7LV86	8634	9236	9236	9217	9222	9216	9130	9210	9208	9229	0	171	181	109	191	9184	9201	9205
SM-7LV87	8639	9230	9235	9222	9201	9212	9132	9210	9210	9228	171	0	175	107	184	9186	9185	9206
SM-7LV88	8641	9242	9246	9234	9223	9221	9137	9225	9217	9241	181	175	0	103	182	9192	9201	9213
SM-7LV89	4079	4371	4377	4374	4373	4372	4334	4366	4357	4369	109	107	103	0	88	4308	4313	4305
SM-7LV8A	8660	9257	9274	9257	9256	9243	9163	9234	9244	9258	191	184	182	88	0	9219	9233	9240
SM-7LV8B	8563	9077	9083	9079	9083	9071	8981	9065	9087	9074	9184	9186	9192	4308	9219	0	181	195
SM-7LV8C	8602	9091	9097	9102	9089	9086	9019	9086	9093	9097	9201	9185	9201	4313	9233	181	0	201
SM-7LV8D	8589	9090	9099	9110	9105	9091	9016	9089	9100	9091	9205	9206	9213	4305	9240	195	201	0
