SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	163	46	52	169	50	157	161	169	154	7834	7833	7832	4187	7836	7784	7794	7807
SM-7LV7W	163	0	130	141	19	133	33	11	18	9	7993	8000	7999	4295	8002	7933	7942	7954
SM-7LV7X	46	130	0	17	143	10	147	132	142	131	8008	8013	8008	4297	8017	7933	7942	7956
SM-7LV7Y	52	141	17	0	145	15	156	145	149	140	8008	8015	8014	4291	8017	7936	7945	7962
SM-7LV7Z	169	19	143	145	0	138	26	7	12	18	7987	7992	7995	4299	7992	7936	7945	7957
SM-7LV81	50	133	10	15	138	0	151	133	141	128	8009	8010	8013	4299	8014	7921	7932	7944
SM-7LV82	157	33	147	156	26	151	0	23	29	27	7970	7973	7972	4292	7974	7906	7916	7930
SM-7LV83	161	11	132	145	7	133	23	0	11	9	7975	7978	7981	4298	7980	7908	7917	7929
SM-7LV84	169	18	142	149	12	141	29	11	0	15	7978	7983	7986	4299	7983	7912	7921	7935
SM-7LV85	154	9	131	140	18	128	27	9	15	0	7992	7995	7998	4291	7997	7932	7943	7956
SM-7LV86	7834	7993	8008	8008	7987	8009	7970	7975	7978	7992	0	8	9	6	10	8012	8017	8040
SM-7LV87	7833	8000	8013	8015	7992	8010	7973	7978	7983	7995	8	0	9	3	8	8018	8023	8046
SM-7LV88	7832	7999	8008	8014	7995	8013	7972	7981	7986	7998	9	9	0	4	13	8023	8028	8051
SM-7LV89	4187	4295	4297	4291	4299	4299	4292	4298	4299	4291	6	3	4	0	5	4266	4265	4284
SM-7LV8A	7836	8002	8017	8017	7992	8014	7974	7980	7983	7997	10	8	13	5	0	8023	8028	8051
SM-7LV8B	7784	7933	7933	7936	7936	7921	7906	7908	7912	7932	8012	8018	8023	4266	8023	0	17	23
SM-7LV8C	7794	7942	7942	7945	7945	7932	7916	7917	7921	7943	8017	8023	8028	4265	8028	17	0	9
SM-7LV8D	7807	7954	7956	7962	7957	7944	7930	7929	7935	7956	8040	8046	8051	4284	8051	23	9	0
