SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	787	660	638	807	657	728	793	808	806	7953	7960	7959	3745	7977	7905	7939	7929
SM-7LV7W	787	0	353	343	177	342	268	172	185	161	8513	8512	8520	4017	8533	8380	8394	8390
SM-7LV7X	660	353	0	153	355	161	448	349	362	337	8511	8515	8521	4024	8548	8385	8398	8400
SM-7LV7Y	638	343	153	0	350	153	428	334	358	332	8493	8501	8509	4019	8532	8380	8402	8413
SM-7LV7Z	807	177	355	350	0	345	265	181	170	178	8490	8476	8488	4018	8523	8375	8381	8394
SM-7LV81	657	342	161	153	345	0	450	348	359	338	8494	8490	8499	4017	8517	8375	8386	8393
SM-7LV82	728	268	448	428	265	450	0	256	277	280	8421	8423	8425	3980	8448	8290	8327	8324
SM-7LV83	793	172	349	334	181	348	256	0	160	173	8488	8491	8502	4012	8511	8368	8388	8392
SM-7LV84	808	185	362	358	170	359	277	160	0	190	8480	8487	8492	4005	8517	8384	8392	8397
SM-7LV85	806	161	337	332	178	338	280	173	190	0	8503	8507	8516	4018	8537	8377	8399	8392
SM-7LV86	7953	8513	8511	8493	8490	8494	8421	8488	8480	8503	0	150	169	95	176	8486	8503	8506
SM-7LV87	7960	8512	8515	8501	8476	8490	8423	8491	8487	8507	150	0	158	98	166	8489	8494	8512
SM-7LV88	7959	8520	8521	8509	8488	8499	8425	8502	8492	8516	169	158	0	96	174	8493	8503	8511
SM-7LV89	3745	4017	4024	4019	4018	4017	3980	4012	4005	4018	95	98	96	0	82	3952	3959	3949
SM-7LV8A	7977	8533	8548	8532	8523	8517	8448	8511	8517	8537	176	166	174	82	0	8520	8536	8538
SM-7LV8B	7905	8380	8385	8380	8375	8375	8290	8368	8384	8377	8486	8489	8493	3952	8520	0	165	181
SM-7LV8C	7939	8394	8398	8402	8381	8386	8327	8388	8392	8399	8503	8494	8503	3959	8536	165	0	186
SM-7LV8D	7929	8390	8400	8413	8394	8393	8324	8392	8397	8392	8506	8512	8511	3949	8538	181	186	0
