SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	155	41	43	159	44	150	153	161	147	7208	7207	7206	3859	7210	7215	7226	7238
SM-7LV7W	155	0	127	131	17	127	32	11	18	8	7356	7363	7362	3954	7365	7358	7370	7379
SM-7LV7X	41	127	0	10	138	7	143	129	139	127	7371	7376	7371	3958	7380	7355	7367	7378
SM-7LV7Y	43	131	10	0	137	9	145	135	139	129	7368	7375	7374	3956	7377	7353	7365	7379
SM-7LV7Z	159	17	138	137	0	134	23	5	10	15	7342	7347	7350	3958	7347	7347	7359	7368
SM-7LV81	44	127	7	9	134	0	146	127	135	123	7368	7369	7372	3960	7373	7333	7345	7356
SM-7LV82	150	32	143	145	23	146	0	22	28	27	7338	7341	7340	3952	7342	7335	7346	7359
SM-7LV83	153	11	129	135	5	127	22	0	11	8	7339	7342	7345	3957	7344	7333	7345	7354
SM-7LV84	161	18	139	139	10	135	28	11	0	14	7342	7347	7350	3958	7347	7338	7350	7361
SM-7LV85	147	8	127	129	15	123	27	8	14	0	7354	7357	7360	3951	7359	7355	7367	7379
SM-7LV86	7208	7356	7371	7368	7342	7368	7338	7339	7342	7354	0	8	8	5	9	7404	7407	7430
SM-7LV87	7207	7363	7376	7375	7347	7369	7341	7342	7347	7357	8	0	8	2	7	7410	7413	7436
SM-7LV88	7206	7362	7371	7374	7350	7372	7340	7345	7350	7360	8	8	0	4	13	7414	7417	7440
SM-7LV89	3859	3954	3958	3956	3958	3960	3952	3957	3958	3951	5	2	4	0	5	3944	3942	3962
SM-7LV8A	7210	7365	7380	7377	7347	7373	7342	7344	7347	7359	9	7	13	5	0	7415	7418	7441
SM-7LV8B	7215	7358	7355	7353	7347	7333	7335	7333	7338	7355	7404	7410	7414	3944	7415	0	15	22
SM-7LV8C	7226	7370	7367	7365	7359	7345	7346	7345	7350	7367	7407	7413	7417	3942	7418	15	0	7
SM-7LV8D	7238	7379	7378	7379	7368	7356	7359	7354	7361	7379	7430	7436	7440	3962	7441	22	7	0
