SM-7LV7V	SM-7LV7W	SM-7LV7X	SM-7LV7Y	SM-7LV7Z	SM-7LV81	SM-7LV82	SM-7LV83	SM-7LV84	SM-7LV85	SM-7LV86	SM-7LV87	SM-7LV88	SM-7LV89	SM-7LV8A	SM-7LV8B	SM-7LV8C	SM-7LV8D
SM-7LV7V	0	942	701	681	966	701	878	946	969	953	15161	15167	15165	7604	15187	15120	15165	15167
SM-7LV7W		0	480	474	194	469	300	183	203	169	15869	15875	15882	7971	15898	15738	15764	15769
SM-7LV7X			0	163	493	168	591	478	501	464	15882	15891	15892	7982	15928	15740	15765	15778
SM-7LV7Y				0	487	162	573	469	497	461	15861	15876	15883	7975	15909	15733	15767	15792
SM-7LV7Z					0	479	288	186	180	193	15832	15823	15838	7976	15870	15722	15740	15762
SM-7LV81						0	596	475	494	461	15862	15859	15871	7977	15890	15708	15731	15749
SM-7LV82							0	278	305	307	15759	15764	15765	7932	15790	15625	15673	15683
SM-7LV83								0	171	181	15827	15833	15847	7969	15855	15701	15733	15746
SM-7LV84									0	204	15822	15834	15842	7963	15864	15722	15742	15758
SM-7LV85										0	15857	15864	15876	7969	15896	15732	15766	15771
SM-7LV86											0	158	177	100	185	15890	15910	15936
SM-7LV87												0	166	100	173	15899	15907	15948
SM-7LV88													0	100	187	15907	15920	15951
SM-7LV89														0	87	7896	7901	7911
SM-7LV8A															0	15935	15954	15979
SM-7LV8B																0	180	203
SM-7LV8C																	0	193
SM-7LV8D																		0
