Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	25	6356	8517	8459	19	8522	7325	8539	7802	6986	8516	8254	8512	6088	8503	3542	5679
Th068.12	25	0	6354	8508	8453	21	8515	7321	8534	7795	6981	8506	8247	8506	6086	8497	3541	5674
Th074.13	6356	6354	0	145	6472	6361	6	115	119	18	120	34	6477	26	6327	22	3589	5830
Th086.07	8517	8508	145	0	8674	7435	224	47	57	214	44	226	8493	229	6312	225	3584	5820
Th092.13	8459	8453	6472	8674	0	7297	8683	7446	8695	7965	7108	8687	12	8680	14	8674	5	7
Th095.13	19	21	6361	7435	7297	0	7435	7329	7455	7409	6992	7428	7304	7424	6090	7416	3545	5676
Th106.09	8522	8515	6	224	8683	7435	0	169	191	18	173	36	8503	28	6325	23	3589	5827
Th106.11	7325	7321	115	47	7446	7329	169	0	11	183	10	190	7457	180	6332	186	3593	5835
Th117.11	8539	8534	119	57	8695	7455	191	11	0	187	11	206	8512	199	6334	206	3593	5839
Th132.11	7802	7795	18	214	7965	7409	18	183	187	0	183	39	7975	32	6329	15	3593	5832
Th134.11	6986	6981	120	44	7108	6992	173	10	11	183	0	188	7111	182	6329	183	3588	5832
Th162.12	8516	8506	34	226	8687	7428	36	190	206	39	188	0	8507	34	6350	39	3607	5853
Th166.12	8254	8247	6477	8493	12	7304	8503	7457	8512	7975	7111	8507	0	8500	11	8494	2	4
Th196.12	8512	8506	26	229	8680	7424	28	180	199	32	182	34	8500	0	6346	33	3600	5850
Th211.13	6088	6086	6327	6312	14	6090	6325	6332	6334	6329	6329	6350	11	6346	0	6337	5	11
Th230.12	8503	8497	22	225	8674	7416	23	186	206	15	183	39	8494	33	6337	0	3596	5842
Th245.13	3542	3541	3589	3584	5	3545	3589	3593	3593	3593	3588	3607	2	3600	5	3596	0	2
Th246.13	5679	5674	5830	5820	7	5676	5827	5835	5839	5832	5832	5853	4	5850	11	5842	2	0
