Research Project Name	Research Project ID	External ID	PDO	Run Instrument	Flowcell	Lane	Lane Type	Library	Barcode Name	GSSR ID	WR ID	Project	Initiative	Solexa Library	Total Reads (P)	PF Reads (P)	PF Reads % (P)	PF Noise Reads	PF Reads Aligned (P)	PF Reads Aligned % (P)	PF HQ Aligned Reads	PF HQ Aligned Bases	PF HQ Aligned Q20 Bases	PF HQ Error Rate	Mean Read Length (P)	Reads Aligned in Pairs	Reads Aligned in Pairs %	Bad Cycles	Strand Balance %	Unpaired Reads Examined	Read Pairs Examined	Unmapped Reads	Unpaired Read Duplicates	Read Pair Duplicates	Duplication %	Estimated Library Size	Adapter %	Avg Read Length	Genome Size
Malaria_DISCOVAR	RP-851	Th086.07	PDO-6091	SL-HDE	H2MGCBCXX	1	Paired	SM-7LV7V	Illumina_P5-Jofel_P7-Focok	730076	43650	G89641	Malaria Discovar	Solexa-326512	"1,024,822"	"837,398"	81.712	"2,234"	"824,614"	98.473	"763,003"	"174,563,958"	"153,794,565"	1.6988	250	"820,030"	99.444	0	0.5	"14,507"	"491,665"	"26,985"	655	"1,381"	0.342	"294,188,026"	0.61	250	0
Malaria_DISCOVAR	RP-851	Th086.07	PDO-6091	SL-HDE	H2MGCBCXX	2	Paired	SM-7LV7V	Illumina_P5-Jofel_P7-Focok	730076	43650	G89641	Malaria Discovar	Solexa-326512	"1,060,496"	"836,396"	78.868	"1,880"	"824,151"	98.536	"762,427"	"172,921,896"	"151,358,918"	2.0774	250	"819,640"	99.453	0	0.5	"19,959"	"503,061"	"34,415"	959	"2,033"	0.49	"288,211,425"	0.558	250	0
Malaria_DISCOVAR	RP-851	Th106.09	PDO-6091	SL-HDE	H2MGCBCXX	1	Paired	SM-7LV7W	Illumina_P5-Jofel_P7-Xeran	730077	43650	G89642	Malaria Discovar	Solexa-326512	"7,824,570"	"6,416,304"	82.002	"16,974"	"6,357,198"	99.079	"5,888,847"	"1,337,697,915"	"1,160,062,851"	1.8067	250	"6,317,858"	99.381	0	0.5	"118,631"	"3,772,762"	"160,415"	"23,329"	"11,812"	0.613	"1,582,220,205"	0.127	250	0
Malaria_DISCOVAR	RP-851	Th106.09	PDO-6091	SL-HDE	H2MGCBCXX	2	Paired	SM-7LV7W	Illumina_P5-Jofel_P7-Xeran	730077	43650	G89642	Malaria Discovar	Solexa-326512	"8,059,824"	"6,393,334"	79.324	"14,018"	"6,335,184"	99.091	"5,867,463"	"1,321,835,926"	"1,139,977,803"	2.1652	250	"6,297,086"	99.399	0	0.5	"153,263"	"3,847,972"	"210,617"	"30,664"	"16,934"	0.822	"1,579,354,301"	0.118	250	0
Malaria_DISCOVAR	RP-851	Th106.11	PDO-6091	SL-HDE	H2MGCBCXX	1	Paired	SM-7LV7X	Illumina_P5-Jofel_P7-Kexaz	730078	43650	G89643	Malaria Discovar	Solexa-326512	"8,076,070"	"6,641,100"	82.232	"17,289"	"6,578,293"	99.054	"6,116,050"	"1,383,591,868"	"1,212,929,182"	1.7131	250	"6,544,044"	99.479	0	0.5	"105,943"	"3,907,818"	"154,491"	"21,739"	"12,154"	0.581	"1,531,531,571"	0.274	250	0
Malaria_DISCOVAR	RP-851	Th106.11	PDO-6091	SL-HDE	H2MGCBCXX	2	Paired	SM-7LV7X	Illumina_P5-Jofel_P7-Kexaz	730078	43650	G89643	Malaria Discovar	Solexa-326512	"8,312,052"	"6,608,342"	79.503	"14,340"	"6,547,237"	99.075	"6,086,646"	"1,364,527,048"	"1,188,655,270"	2.0822	250	"6,513,328"	99.482	0	0.5	"144,960"	"3,981,394"	"204,304"	"30,046"	"17,003"	0.79	"1,486,162,111"	0.246	250	0
Malaria_DISCOVAR	RP-851	Th117.11	PDO-6091	SL-HDE	H2MGCBCXX	1	Paired	SM-7LV7Y	Illumina_P5-Jofel_P7-Nifoj	730079	43650	G89644	Malaria Discovar	Solexa-326512	"7,291,666"	"6,024,420"	82.621	"15,952"	"5,974,400"	99.17	"5,553,402"	"1,260,818,197"	"1,109,555,690"	1.6877	250	"5,945,928"	99.523	0	0.5	"89,967"	"3,537,947"	"125,805"	"16,545"	"11,067"	0.54	"1,450,754,447"	0.217	250	0
Malaria_DISCOVAR	RP-851	Th117.11	PDO-6091	SL-HDE	H2MGCBCXX	2	Paired	SM-7LV7Y	Illumina_P5-Jofel_P7-Nifoj	730079	43650	G89644	Malaria Discovar	Solexa-326512	"7,474,218"	"6,003,042"	80.317	"13,135"	"5,952,664"	99.161	"5,533,301"	"1,244,804,327"	"1,088,465,063"	2.0529	250	"5,924,084"	99.52	0	0.5	"116,779"	"3,598,400"	"160,639"	"22,025"	"15,303"	0.72	"1,500,473,701"	0.209	250	0
Malaria_DISCOVAR	RP-851	Th132.11	PDO-6091	SL-HDE	H2MGCBCXX	1	Paired	SM-7LV7Z	Illumina_P5-Jofel_P7-Fohib	730080	43650	G89645	Malaria Discovar	Solexa-326512	"7,732,382"	"6,335,656"	81.937	"16,482"	"6,274,034"	99.027	"5,799,962"	"1,309,078,173"	"1,121,727,636"	1.905	250	"6,228,168"	99.269	0	0.5	"128,076"	"3,720,996"	"162,314"	"24,818"	"11,761"	0.639	"1,491,480,293"	0.07	250	0
Malaria_DISCOVAR	RP-851	Th132.11	PDO-6091	SL-HDE	H2MGCBCXX	2	Paired	SM-7LV7Z	Illumina_P5-Jofel_P7-Fohib	730080	43650	G89645	Malaria Discovar	Solexa-326512	"7,973,144"	"6,322,386"	79.296	"13,740"	"6,261,577"	99.038	"5,788,279"	"1,295,358,408"	"1,104,221,710"	2.2613	250	"6,217,170"	99.291	0	0.5	"161,721"	"3,800,921"	"209,581"	"32,567"	"16,503"	0.845	"1,512,626,761"	0.068	250	0
