Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	339	241	218	352	219	376	378	331	368	6986	6916	6979	6971	6960	7240	7357	7345
Th106.09		0	206	202	73	187	95	88	54	48	7046	6982	7050	7045	7026	7309	7396	7409
Th106.11			0	70	235	71	289	238	218	227	7072	7005	7079	7079	7035	7341	7444	7443
Th117.11				0	222	67	254	232	182	215	7032	6963	7045	7034	7033	7297	7414	7414
Th132.11					0	213	98	83	57	79	7055	6975	7043	7040	7039	7325	7437	7425
Th134.11						0	232	227	202	208	7044	6988	7032	7050	7037	7321	7402	7419
Th162.12							0	113	87	106	7087	7030	7071	7083	7077	7355	7471	7455
Th196.12								0	67	72	7100	7017	7073	7100	7094	7368	7455	7460
Th230.12									0	50	7043	6984	7024	7027	7025	7289	7388	7401
Th074.13										0	7046	6974	7049	7071	7058	7326	7423	7422
Th166.12											0	73	126	116	107	8307	8382	8401
Th092.13												0	86	120	94	8267	8333	8343
Th211.13													0	142	133	8324	8399	8412
Th245.13														0	148	8332	8399	8416
Th246.13															0	8317	8400	8400
Th068.12																0	191	165
Th061.13																	0	169
Th095.13																		0
