chr	pos	vartype	varlen	vcomplex	alleles	call_rate	nuc_div	FdkXRefAbsent	2D4RefAbsent	FdkRefAbsent	FdkXDiscord	2D4Discord	FdkDiscord	GoldWirthIncons	2D4FDKIncons	coding	consequence	DD2FDKMAF
Pf3D7_07_v3	450424	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	450527	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	450529	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	450968	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	451514	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	synonymous_variant	0.0
Pf3D7_07_v3	451640	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	451673	INDEL	-3	0.027	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	disruptive_inframe_deletion	0.0
Pf3D7_07_v3	451677	SNP	1	0	2	1.0	0.516	0	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	452764	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	coding	missense_variant	0.0
Pf3D7_07_v3	452958	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	452968	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	452970	INDEL	8	0.22	2	1.0	0.516	0	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	452972	SNP	1	0	2	1.0	0.516	0	0	0	1	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	453349	INDEL	-32	0.027	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
Pf3D7_07_v3	453400	SNP	1	0	2	1.0	0.516	1	0	0	0	0	0	0	0	intergenic		0.0
