Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	236	11458	16554	16618	180	16792	13601	16803	14948	12837	16737	16060	16756	10905	16761	5949	10187
Th068.12		0	11458	16551	16626	212	16803	13605	16811	14964	12831	16740	16080	16774	10903	16762	5950	10184
Th074.13			0	467	11771	11470	140	343	339	152	326	171	11768	145	11351	150	6050	10561
Th086.07				0	16809	13698	810	327	434	683	296	767	16308	802	11167	804	5958	10380
Th092.13					0	13699	17071	13894	17060	15233	13148	17016	206	17030	132	17031	74	124
Th095.13						0	13929	13616	13909	13873	12861	13854	13706	13875	10913	13884	5957	10200
Th106.09							0	489	635	212	485	272	16561	237	11354	240	6055	10550
Th106.11								0	159	509	161	533	13906	502	11344	507	6055	10540
Th117.11									0	533	154	659	16560	619	11333	641	6047	10548
Th132.11										0	483	241	15250	222	11346	190	6058	10556
Th134.11											0	513	13159	474	11332	492	6048	10534
Th162.12												0	16508	256	11330	273	6051	10534
Th166.12													0	16524	124	16523	69	124
Th196.12														0	11348	226	6051	10551
Th211.13															0	11345	74	127
Th230.12																0	6052	10554
Th245.13																	0	65
Th246.13																		0
