CHR	ST	EN	comb_SM-7LV7V_PC.CNVs	comb_SM-7LV7W_PC.CNVs	comb_SM-7LV7X_PC.CNVs	comb_SM-7LV7Y_PC.CNVs	comb_SM-7LV7Z_PC.CNVs	comb_SM-7LV81_PC.CNVs	comb_SM-7LV82_PC.CNVs	comb_SM-7LV83_PC.CNVs	comb_SM-7LV84_PC.CNVs	comb_SM-7LV85_PC.CNVs	comb_SM-7LV86_PC.CNVs	comb_SM-7LV87_PC.CNVs	comb_SM-7LV88_PC.CNVs	comb_SM-7LV89_PC.CNVs	comb_SM-7LV8A_PC.CNVs	comb_SM-7LV8B_PC.CNVs	comb_SM-7LV8C_PC.CNVs	comb_SM-7LV8D_PC.CNVs
PFC10_API_IRAB	12935	30140								-	-									
Pf3D7_01_v3	10378	13990													+					
Pf3D7_01_v3	13991	21334													+		+			
Pf3D7_01_v3	21335	24448															+			
Pf3D7_01_v3	38693	39471													-					
Pf3D7_01_v3	39472	44971													-	-				
Pf3D7_01_v3	44972	47802												-	-	-				
Pf3D7_01_v3	47803	53162										-		-	-	-				
Pf3D7_01_v3	53163	56668										-		-	-	-		-		
Pf3D7_01_v3	56669	57100										-		-	-	-				
Pf3D7_01_v3	57101	59246				-					-	-		-	-	-				
Pf3D7_01_v3	59247	59623				-	-				-	-		-	-	-				
Pf3D7_01_v3	59624	60421				-	-	-		-	-	-		-	-	-				
Pf3D7_01_v3	60422	62442				-	-	-		-	-	-		-		-				
Pf3D7_01_v3	62443	67522				-	-	-		-	-	-		-						
Pf3D7_01_v3	67523	67542				-	-	-		-	-			-						
Pf3D7_01_v3	67543	67948				-	-	-		-	-									
Pf3D7_01_v3	67949	72148	-			-	-	-		-	-									
Pf3D7_01_v3	72149	72748	-			-	-	-		-	-			-	-					
Pf3D7_01_v3	72749	72848	-			-	-	-		-	-		-	-	-					
Pf3D7_01_v3	72849	73248	-			-	-	-		-	-		-	-	-		-			
Pf3D7_01_v3	73249	73504	-	-	-	-	-	-	-	-	-		-	-	-		-			
Pf3D7_01_v3	73505	73604	-	-	-		-	-	-	-	-		-	-	-		-			
Pf3D7_01_v3	73605	73858	-	-	-		-	-	-	-			-	-	-		-			
Pf3D7_01_v3	73859	75678	-				-	-		-					-					
Pf3D7_01_v3	75679	76028	-					-		-					-					
Pf3D7_01_v3	76029	76128	-					-							-					
Pf3D7_01_v3	76129	76295	-												-					
Pf3D7_01_v3	76296	76358	-												-	-				
Pf3D7_01_v3	76359	76658													-	-				
Pf3D7_01_v3	76659	78796														-				
Pf3D7_01_v3	84863	86171						-												
Pf3D7_01_v3	546909	547008													-					
Pf3D7_01_v3	547009	547720												-	-	-				
Pf3D7_01_v3	598895	599094												-						
Pf3D7_01_v3	599095	599194												-			-			
Pf3D7_01_v3	599195	602208												-	-		-			
Pf3D7_01_v3	602209	602308												-	-					
Pf3D7_02_v3	51168	51667																		-
Pf3D7_02_v3	51668	53285													-					-
Pf3D7_02_v3	53286	53385													-					
Pf3D7_02_v3	448130	448229												-						
Pf3D7_02_v3	448230	448481												-		-				
Pf3D7_02_v3	448482	449129						-						-		-				
Pf3D7_02_v3	449130	449429						-						-						
Pf3D7_02_v3	449430	449492						-												
Pf3D7_02_v3	869490	873389			-						-									
Pf3D7_02_v3	873390	874591			-					-	-									
Pf3D7_02_v3	874592	880066			-						-									
Pf3D7_02_v3	880067	880241		-	-			-		-	-		-	-		-				
Pf3D7_02_v3	880242	880254		-	-			-		-	-		-	-	-	-	-			
Pf3D7_02_v3	880255	880256		-	-			-		-	-		-	-	-	-	-		-	
Pf3D7_02_v3	880257	880291		-	-			-		-	-		-	-	-	-	-	-	-	
Pf3D7_02_v3	880292	880591		-				-		-	-		-	-	-	-	-	-	-	
Pf3D7_02_v3	880592	880676		-				-		-			-	-	-	-	-	-	-	
Pf3D7_02_v3	880677	880757		-				-		-			-		-	-	-	-	-	
Pf3D7_02_v3	880758	880776		-				-		-			-			-	-	-	-	
Pf3D7_02_v3	880777	880859															-	-	-	
Pf3D7_02_v3	880860	880860															-	-		
Pf3D7_02_v3	880861	880957															-			
Pf3D7_02_v3	881868	883197		-			-													
Pf3D7_02_v3	885285	885301															-			
Pf3D7_02_v3	885302	885899					-										-			
Pf3D7_02_v3	885900	886506					-													
Pf3D7_02_v3	893137	896274																	-	
Pf3D7_02_v3	896275	896374					-		-										-	
Pf3D7_02_v3	896375	896474					-		-		-								-	
Pf3D7_02_v3	896475	899204		-	-	-	-	-	-	-	-								-	
Pf3D7_02_v3	899205	905312		-	-	-	-	-	-	-	-									
Pf3D7_02_v3	905313	906312		-	-	-	-	-	-											
Pf3D7_02_v3	938797	939701														-				
Pf3D7_03_v3	55323	58722	-	-			-		-	-	-									
Pf3D7_03_v3	58723	68227	-	-			-	-	-	-	-									
Pf3D7_03_v3	120132	120880														-				
Pf3D7_03_v3	120881	122109					-									-				
Pf3D7_03_v3	122110	129276					-			+						-				
Pf3D7_03_v3	129277	130011					-			+										
Pf3D7_03_v3	130012	138309								+										
Pf3D7_03_v3	598519	598686																-		
Pf3D7_03_v3	598687	599926			-			-	-		-							-		
Pf3D7_03_v3	599927	600098			-			-	-		-									
Pf3D7_03_v3	1004214	1004455			-	-														
Pf3D7_03_v3	1004456	1004555			-	-					-									
Pf3D7_03_v3	1004556	1006207			-	-		-	-		-									
Pf3D7_03_v3	1006208	1007907			-	-	-	-	-	-	-									
Pf3D7_03_v3	1007908	1008007			-	-	-	-	-	-	-						-			
Pf3D7_03_v3	1008008	1009317			-	-	-	-	-	-	-		-				-			
Pf3D7_03_v3	1009318	1009386			-	-	-	-	-	-	-									
Pf3D7_03_v3	1009387	1009861		-	-	-	-	-	-	-	-									
Pf3D7_03_v3	1009862	1011161		-	-	-	-		-	-	-									
Pf3D7_03_v3	1011162	1012198		-	-	-	-			-										
Pf3D7_03_v3	1012199	1012917		-	-	-	-			-				-		-	-			
Pf3D7_03_v3	1012918	1013017		-	-	-				-				-		-	-			
Pf3D7_03_v3	1013018	1013920		-	-	-								-		-	-			
Pf3D7_03_v3	1013921	1014620		-		-								-		-	-			
Pf3D7_03_v3	1014621	1014714		-										-		-	-			
Pf3D7_03_v3	1014715	1015214		-										-		-				
Pf3D7_03_v3	1015215	1015314		-										-						
Pf3D7_03_v3	1015315	1018991		-																
Pf3D7_03_v3	1023431	1024239								-										
Pf3D7_04_v3	62807	74495											-							
Pf3D7_04_v3	554775	558140								-										
Pf3D7_04_v3	558141	559078		-			-			-										
Pf3D7_04_v3	559079	559085		-			-			-					-					
Pf3D7_04_v3	559086	562774		-			-			-					-		-			
Pf3D7_04_v3	562775	566278		-	-	-	-	-		-					-		-			
Pf3D7_04_v3	566279	571055		-	-	-		-		-					-		-			
Pf3D7_04_v3	571056	571281		-	-	-		-		-				-	-		-			
Pf3D7_04_v3	571282	583995		-	-	-	-	-		-			-	-	-		-			
Pf3D7_04_v3	583996	585261		-	-	-		-		-			-	-	-		-			
Pf3D7_04_v3	585262	585395		-	-	-		-		-			-		-		-			
Pf3D7_04_v3	585396	585495		-	-	-		-		-					-		-			
Pf3D7_04_v3	585496	593461			-	-		-		-					-		-			
Pf3D7_04_v3	593462	642175			-	-		-		-				-	-		-			
Pf3D7_04_v3	642176	643540			-	-		-	-	-				-	-		-			
Pf3D7_04_v3	643541	752869			-	-		-		-				-	-		-			
Pf3D7_04_v3	752870	757469			-	-		-						-	-		-			
Pf3D7_04_v3	757470	759179			-			-						-	-		-			
Pf3D7_04_v3	759180	768269			-			-						-			-			
Pf3D7_04_v3	768270	769369						-						-			-			
Pf3D7_04_v3	769370	772388												-			-			
Pf3D7_04_v3	772389	778352												-						
Pf3D7_04_v3	935437	942535											-							
Pf3D7_04_v3	942536	942824								-			-							
Pf3D7_04_v3	942825	943635								-										
Pf3D7_04_v3	943636	943962		-						-										
Pf3D7_04_v3	943963	944062		-						-			-		-					
Pf3D7_04_v3	944063	944262		-						-			-		-		-			
Pf3D7_04_v3	944263	947184		-						-			-	-	-		-			
Pf3D7_04_v3	947185	960261		-		-				-			-	-	-		-			
Pf3D7_04_v3	960262	961358		-		-				-				-	-		-			
Pf3D7_04_v3	961359	963910		-		-				-				-			-			
Pf3D7_04_v3	963911	963985				-				-				-			-			
Pf3D7_04_v3	963986	967210				-				-							-			
Pf3D7_04_v3	967211	969810				-				-										
Pf3D7_04_v3	969811	971710				-														
Pf3D7_04_v3	1146712	1149029			-															
Pf3D7_04_v3	1149030	1149627			-					-										
Pf3D7_04_v3	1149628	1151423		-	-					-										
Pf3D7_04_v3	1151424	1151931		-						-										
Pf3D7_04_v3	1151932	1152068		-																
Pf3D7_04_v3	1152069	1154335		-		-	-													
Pf3D7_04_v3	1154336	1155188				-	-													
Pf3D7_05_v3	1293608	1294007		-		-														
Pf3D7_05_v3	1294008	1294009				-														
Pf3D7_06_v3	25266	26170						-												
Pf3D7_06_v3	37475	39796	-																	
Pf3D7_06_v3	39797	41408	-						-											
Pf3D7_06_v3	41409	41918	-			-			-											
Pf3D7_06_v3	41919	42308	-			-			-				-	-			-			
Pf3D7_06_v3	42309	42615	-			-		-	-				-	-			-			
Pf3D7_06_v3	42616	43267	-		-	-		-	-				-	-			-			
Pf3D7_06_v3	43268	43474	-		-	-		-	-	-			-	-			-			
Pf3D7_06_v3	43475	44032	-	-	-	-	-	-	-	-			-	-			-			
