Th086.07	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th196.12	Th230.12	Th074.13	Th166.12	Th092.13	Th211.13	Th245.13	Th246.13	Th068.12	Th061.13	Th095.13
Th086.07	0	399	300	300	445	256	475	493	442	473	8030	7959	8021	8033	7970	8317	8415	8370
Th106.09		0	232	236	101	226	99	114	84	64	8064	7987	8075	8080	7998	8375	8421	8425
Th106.11			0	85	276	83	316	283	260	254	8102	8037	8118	8115	8018	8458	8521	8506
Th117.11				0	283	91	303	287	263	279	8072	8000	8096	8093	8033	8437	8507	8490
Th132.11					0	284	141	113	87	117	8095	8031	8095	8118	8054	8407	8509	8457
Th134.11						0	288	295	269	265	8070	8014	8054	8095	8018	8442	8482	8483
Th162.12							0	147	133	156	8151	8087	8136	8180	8073	8482	8590	8540
Th196.12								0	101	118	8171	8089	8139	8175	8120	8447	8529	8484
Th230.12									0	101	8102	8047	8097	8102	8047	8436	8488	8495
Th074.13										0	8107	8041	8122	8176	8100	8479	8539	8522
Th166.12											0	130	176	152	147	9094	9165	9165
Th092.13												0	167	193	151	9008	9091	9083
Th211.13													0	215	179	9126	9199	9208
Th245.13														0	213	9136	9228	9195
Th246.13															0	9034	9144	9124
Th068.12																0	256	198
Th061.13																	0	200
Th095.13																		0
