sample1	sample2	chr	start	end	different
Th086.07	Th106.09	1	98868	543847	1
Th086.07	Th106.09	2	157590	857896	1
Th086.07	Th106.09	3	80133	966232	1
Th086.07	Th106.09	4	91609	1145906	1
Th086.07	Th106.09	5	55687	1286168	1
Th086.07	Th106.09	6	96728	1271852	1
Th086.07	Th106.09	7	152649	1356197	1
Th086.07	Th106.09	8	82369	1242994	1
Th086.07	Th106.09	9	109742	1467426	1
Th086.07	Th106.09	10	77930	1567756	1
Th086.07	Th106.09	11	206388	1999124	1
Th086.07	Th106.09	12	71988	2158910	1
Th086.07	Th106.09	13	179807	2681242	1
Th086.07	Th106.09	14	309530	3181603	1
Th086.07	Th106.11	1	98868	543847	1
Th086.07	Th106.11	2	157590	619731	1
Th086.07	Th106.11	2	652006	719769	0
Th086.07	Th106.11	2	734137	857896	1
Th086.07	Th106.11	3	80133	405938	1
Th086.07	Th106.11	3	424948	501747	0
Th086.07	Th106.11	3	505911	786447	1
Th086.07	Th106.11	3	808075	920630	0
Th086.07	Th106.11	3	942436	966232	1
Th086.07	Th106.11	4	91609	1145906	1
Th086.07	Th106.11	5	55687	139527	1
Th086.07	Th106.11	5	255123	269965	0
Th086.07	Th106.11	5	291135	329606	1
Th086.07	Th106.11	5	365579	383150	0
Th086.07	Th106.11	5	417466	579274	1
Th086.07	Th106.11	5	593935	600292	0
Th086.07	Th106.11	5	650472	1286168	1
Th086.07	Th106.11	6	96728	1271852	1
Th086.07	Th106.11	7	152649	1356197	1
Th086.07	Th106.11	8	82369	1242994	1
Th086.07	Th106.11	9	109742	1467426	1
Th086.07	Th106.11	10	77930	1567756	1
Th086.07	Th106.11	11	206388	640472	1
Th086.07	Th106.11	11	678277	772118	0
Th086.07	Th106.11	11	794180	1255251	1
Th086.07	Th106.11	11	1332104	1518387	0
Th086.07	Th106.11	11	1547035	1568749	1
Th086.07	Th106.11	11	1609687	1999124	0
Th086.07	Th106.11	12	71988	2158910	1
Th086.07	Th106.11	13	179807	2681242	1
Th086.07	Th106.11	14	309530	322267	1
Th086.07	Th106.11	14	417733	1419570	0
Th086.07	Th106.11	14	1538791	2815562	1
Th086.07	Th106.11	14	3050543	3181603	0
Th086.07	Th117.11	1	98868	543847	1
Th086.07	Th117.11	2	157590	619731	1
Th086.07	Th117.11	2	652006	719769	0
Th086.07	Th117.11	2	734137	857896	1
Th086.07	Th117.11	3	80133	405938	1
Th086.07	Th117.11	3	424948	501747	0
Th086.07	Th117.11	3	505911	786447	1
Th086.07	Th117.11	3	808075	920630	0
Th086.07	Th117.11	3	942436	966232	1
Th086.07	Th117.11	4	91609	1145906	1
Th086.07	Th117.11	5	55687	329606	1
Th086.07	Th117.11	5	365579	383150	0
Th086.07	Th117.11	5	417466	1286168	1
Th086.07	Th117.11	6	96728	1271852	1
Th086.07	Th117.11	7	152649	1356197	1
Th086.07	Th117.11	8	82369	1242994	1
Th086.07	Th117.11	9	109742	1467426	1
Th086.07	Th117.11	10	77930	1567756	1
Th086.07	Th117.11	11	206388	640472	1
Th086.07	Th117.11	11	678277	772118	0
Th086.07	Th117.11	11	794180	1255251	1
Th086.07	Th117.11	11	1332104	1999124	0
Th086.07	Th117.11	12	71988	2158910	1
Th086.07	Th117.11	13	179807	1121978	1
Th086.07	Th117.11	13	1200775	1322955	0
Th086.07	Th117.11	13	1397693	2681242	1
Th086.07	Th117.11	14	309530	1419570	0
Th086.07	Th117.11	14	1538791	2815562	1
Th086.07	Th117.11	14	3050543	3181603	0
Th086.07	Th132.11	1	98868	543847	1
Th086.07	Th132.11	2	157590	857896	1
Th086.07	Th132.11	3	80133	966232	1
Th086.07	Th132.11	4	91609	1145906	1
Th086.07	Th132.11	5	55687	1286168	1
Th086.07	Th132.11	6	96728	1271852	1
Th086.07	Th132.11	7	152649	1356197	1
Th086.07	Th132.11	8	82369	1242994	1
Th086.07	Th132.11	9	109742	1467426	1
Th086.07	Th132.11	10	77930	1567756	1
Th086.07	Th132.11	11	206388	1999124	1
Th086.07	Th132.11	12	71988	2158910	1
Th086.07	Th132.11	13	179807	2681242	1
Th086.07	Th132.11	14	309530	3181603	1
Th086.07	Th134.11	1	98868	543847	1
Th086.07	Th134.11	2	157590	619731	1
Th086.07	Th134.11	2	652006	719769	0
Th086.07	Th134.11	2	734137	857896	1
Th086.07	Th134.11	3	80133	405938	1
Th086.07	Th134.11	3	424948	501747	0
Th086.07	Th134.11	3	505911	786447	1
Th086.07	Th134.11	3	808075	920630	0
Th086.07	Th134.11	3	942436	966232	1
Th086.07	Th134.11	4	91609	1145906	1
Th086.07	Th134.11	5	55687	329606	1
Th086.07	Th134.11	5	365579	383150	0
Th086.07	Th134.11	5	417466	1286168	1
Th086.07	Th134.11	6	96728	1271852	1
Th086.07	Th134.11	7	152649	1356197	1
Th086.07	Th134.11	8	82369	1242994	1
Th086.07	Th134.11	9	109742	1467426	1
Th086.07	Th134.11	10	77930	1567756	1
Th086.07	Th134.11	11	206388	640472	1
Th086.07	Th134.11	11	678277	772118	0
Th086.07	Th134.11	11	794180	1255251	1
Th086.07	Th134.11	11	1332104	1999124	0
Th086.07	Th134.11	12	71988	2158910	1
Th086.07	Th134.11	13	179807	1121978	1
Th086.07	Th134.11	13	1200775	1322955	0
Th086.07	Th134.11	13	1397693	2681242	1
Th086.07	Th134.11	14	309530	1419570	0
Th086.07	Th134.11	14	1538791	2815562	1
Th086.07	Th134.11	14	3050543	3181603	0
Th086.07	Th162.12	1	98868	543847	1
Th086.07	Th162.12	2	157590	857896	1
Th086.07	Th162.12	3	80133	966232	1
Th086.07	Th162.12	4	91609	1145906	1
Th086.07	Th162.12	5	55687	1286168	1
Th086.07	Th162.12	6	96728	1271852	1
Th086.07	Th162.12	7	152649	1356197	1
Th086.07	Th162.12	8	82369	1242994	1
Th086.07	Th162.12	9	109742	1467426	1
Th086.07	Th162.12	10	77930	1567756	1
Th086.07	Th162.12	11	206388	1999124	1
Th086.07	Th162.12	12	71988	2158910	1
Th086.07	Th162.12	13	179807	2681242	1
Th086.07	Th162.12	14	309530	3181603	1
Th086.07	Th196.12	1	98868	543847	1
Th086.07	Th196.12	2	157590	857896	1
Th086.07	Th196.12	3	80133	966232	1
Th086.07	Th196.12	4	91609	1145906	1
Th086.07	Th196.12	5	55687	1286168	1
Th086.07	Th196.12	6	96728	1271852	1
