Th061.13	Th068.12	Th074.13	Th086.07	Th092.13	Th095.13	Th106.09	Th106.11	Th117.11	Th132.11	Th134.11	Th162.12	Th166.12	Th196.12	Th211.13	Th230.12	Th245.13	Th246.13
Th061.13	0	17	4650	6221	6230	18	6226	5314	6232	5674	5112	6220	6079	6218	4452	6214	2575	4188
Th068.12	17	0	4646	6213	6227	16	6220	5307	6228	5668	5105	6211	6075	6213	4449	6209	2574	4183
Th074.13	4650	4646	0	90	4711	4652	2	69	73	11	75	18	4716	14	4600	18	2667	4324
Th086.07	6221	6213	90	0	6350	5403	152	30	41	147	31	156	6209	162	4596	154	2666	4323
Th092.13	6230	6227	4711	6350	0	5349	6346	5390	6357	5780	5185	6342	6	6340	5	6339	2	4
Th095.13	18	16	4652	5403	5349	0	5405	5314	5414	5393	5114	5399	5354	5397	4452	5394	2579	4186
Th106.09	6226	6220	2	152	6346	5405	0	111	127	14	117	22	6205	17	4601	20	2668	4324
Th106.11	5314	5307	69	30	5390	5314	111	0	4	121	6	128	5395	123	4606	127	2671	4330
Th117.11	6232	6228	73	41	6357	5414	127	4	0	125	8	143	6213	140	4609	143	2671	4333
Th132.11	5674	5668	11	147	5780	5393	14	121	125	0	125	23	5783	19	4605	12	2672	4329
Th134.11	5112	5105	75	31	5185	5114	117	6	8	125	0	130	5189	129	4604	128	2667	4328
Th162.12	6220	6211	18	156	6342	5399	22	128	143	23	130	0	6201	27	4614	24	2677	4338
Th166.12	6079	6075	4716	6209	6	5354	6205	5395	6213	5783	5189	6201	0	6199	5	6198	2	4
Th196.12	6218	6213	14	162	6340	5397	17	123	140	19	129	27	6199	0	4613	23	2672	4339
Th211.13	4452	4449	4600	4596	5	4452	4601	4606	4609	4605	4604	4614	5	4613	0	4610	0	5
Th230.12	6214	6209	18	154	6339	5394	20	127	143	12	128	24	6198	23	4610	0	2674	4336
Th245.13	2575	2574	2667	2666	2	2579	2668	2671	2671	2672	2667	2677	2	2672	0	2674	0	2
Th246.13	4188	4183	4324	4323	4	4186	4324	4330	4333	4329	4328	4338	4	4339	5	4336	2	0
