from	to	chr	start	end	different
Th086.07	Th106.09	1	94591	192662	1
Th086.07	Th106.09	1	207890	435364	0
Th086.07	Th106.09	1	481114	554668	1
Th086.07	Th106.09	2	117138	337669	1
Th086.07	Th106.09	2	360834	678434	0
Th086.07	Th106.09	2	701988	738511	1
Th086.07	Th106.09	2	747956	869521	0
Th086.07	Th106.09	3	69859	443515	0
Th086.07	Th106.09	3	451892	989071	1
Th086.07	Th106.09	4	89547	872601	0
Th086.07	Th106.09	4	877789	1066458	1
Th086.07	Th106.09	4	1079797	1149070	0
Th086.07	Th106.09	5	52324	257992	0
Th086.07	Th106.09	5	267979	1289222	1
Th086.07	Th106.09	6	85178	222995	1
Th086.07	Th106.09	6	227823	1052578	0
Th086.07	Th106.09	6	1070158	1238724	1
Th086.07	Th106.09	7	96181	505769	1
Th086.07	Th106.09	7	599504	1203208	0
Th086.07	Th106.09	7	1232711	1373159	1
Th086.07	Th106.09	8	83129	807260	0
Th086.07	Th106.09	8	831256	1226116	1
Th086.07	Th106.09	8	1237607	1369816	0
Th086.07	Th106.09	9	89887	206883	0
Th086.07	Th106.09	9	215127	1393934	1
Th086.07	Th106.09	9	1404958	1468673	0
Th086.07	Th106.09	10	62857	248698	0
Th086.07	Th106.09	10	278016	838462	1
Th086.07	Th106.09	10	851769	1519627	0
Th086.07	Th106.09	10	1531014	1566532	1
Th086.07	Th106.09	11	114623	917617	1
Th086.07	Th106.09	11	938388	1344841	0
Th086.07	Th106.09	11	1348097	1687527	1
Th086.07	Th106.09	11	1699474	1999124	0
Th086.07	Th106.09	12	62109	187911	0
Th086.07	Th106.09	12	205356	869316	1
Th086.07	Th106.09	12	881270	1677816	0
Th086.07	Th106.09	12	1684836	1684951	1
Th086.07	Th106.09	12	1748704	2194957	0
Th086.07	Th106.09	13	1954996	1954996	0
Th086.07	Th106.11	1	94591	192662	1
Th086.07	Th106.11	1	207890	435364	0
Th086.07	Th106.11	1	481114	554668	1
Th086.07	Th106.11	2	117138	275582	1
Th086.07	Th106.11	2	290044	869521	0
Th086.07	Th106.11	3	69859	501571	0
Th086.07	Th106.11	3	505911	505929	1
Th086.07	Th106.11	3	516348	954414	0
Th086.07	Th106.11	3	957816	989071	1
Th086.07	Th106.11	4	89547	311794	0
Th086.07	Th106.11	4	322902	665536	1
Th086.07	Th106.11	4	673722	872601	0
Th086.07	Th106.11	4	877789	1066458	1
Th086.07	Th106.11	4	1079797	1149070	0
Th086.07	Th106.11	5	52324	286153	0
Th086.07	Th106.11	5	291135	313674	1
Th086.07	Th106.11	5	317990	1050192	0
Th086.07	Th106.11	5	1054258	1289222	1
Th086.07	Th106.11	6	85178	222995	1
Th086.07	Th106.11	6	227823	1052578	0
Th086.07	Th106.11	6	1070158	1238724	1
Th086.07	Th106.11	7	96181	505769	1
Th086.07	Th106.11	7	599504	1373159	0
Th086.07	Th106.11	8	83129	1143941	0
Th086.07	Th106.11	8	1153170	1226116	1
Th086.07	Th106.11	8	1237607	1369816	0
Th086.07	Th106.11	9	89887	206883	0
Th086.07	Th106.11	9	215127	1393934	1
Th086.07	Th106.11	9	1404958	1468673	0
Th086.07	Th106.11	10	62857	487745	0
Th086.07	Th106.11	10	499877	802588	1
Th086.07	Th106.11	10	818009	1519627	0
Th086.07	Th106.11	10	1531014	1566532	1
Th086.07	Th106.11	11	114623	370841	1
Th086.07	Th106.11	11	376605	1999124	0
Th086.07	Th106.11	12	62109	394704	0
Th086.07	Th106.11	12	438034	869316	1
Th086.07	Th106.11	12	881270	1618119	0
Th086.07	Th106.11	12	1625650	1684951	1
Th086.07	Th106.11	12	1748704	2194957	0
Th086.07	Th106.11	13	1954996	1954996	0
Th086.07	Th117.11	1	94591	192662	1
Th086.07	Th117.11	1	207890	435364	0
Th086.07	Th117.11	1	481114	554668	1
Th086.07	Th117.11	2	117138	275582	1
Th086.07	Th117.11	2	290044	869521	0
Th086.07	Th117.11	3	69859	501571	0
Th086.07	Th117.11	3	505911	505929	1
Th086.07	Th117.11	3	516348	954414	0
Th086.07	Th117.11	3	957816	989071	1
Th086.07	Th117.11	4	89547	872601	0
Th086.07	Th117.11	4	877789	1066458	1
Th086.07	Th117.11	4	1079797	1149070	0
Th086.07	Th117.11	5	52324	257992	0
Th086.07	Th117.11	5	267979	313674	1
Th086.07	Th117.11	5	317990	426199	0
Th086.07	Th117.11	5	451150	1289222	1
Th086.07	Th117.11	6	85178	418848	1
Th086.07	Th117.11	6	425689	1052578	0
Th086.07	Th117.11	6	1070158	1238724	1
Th086.07	Th117.11	7	96181	505769	1
Th086.07	Th117.11	7	599504	1373159	0
Th086.07	Th117.11	8	83129	1143941	0
Th086.07	Th117.11	8	1153170	1226116	1
Th086.07	Th117.11	8	1237607	1369816	0
Th086.07	Th117.11	9	89887	206883	0
Th086.07	Th117.11	9	215127	1294929	1
Th086.07	Th117.11	9	1299952	1468673	0
Th086.07	Th117.11	10	62857	487745	0
Th086.07	Th117.11	10	499877	802588	1
Th086.07	Th117.11	10	818009	1519627	0
Th086.07	Th117.11	10	1531014	1566532	1
Th086.07	Th117.11	11	114623	370841	1
Th086.07	Th117.11	11	376605	1069278	0
Th086.07	Th117.11	11	1094639	1258215	1
Th086.07	Th117.11	11	1267541	1999124	0
Th086.07	Th117.11	12	62109	394704	0
Th086.07	Th117.11	12	438034	869316	1
Th086.07	Th117.11	12	881270	1618119	0
Th086.07	Th117.11	12	1625650	1684951	1
Th086.07	Th117.11	12	1748704	2194957	0
Th086.07	Th117.11	13	1954996	1954996	0
Th086.07	Th132.11	1	94591	554668	1
Th086.07	Th132.11	2	117138	275582	1
Th086.07	Th132.11	2	290044	678434	0
Th086.07	Th132.11	2	701988	738511	1
Th086.07	Th132.11	2	747956	869521	0
Th086.07	Th132.11	3	69859	443515	0
Th086.07	Th132.11	3	451892	989071	1
Th086.07	Th132.11	4	89547	872601	0
Th086.07	Th132.11	4	877789	1066458	1
Th086.07	Th132.11	4	1079797	1149070	0
Th086.07	Th132.11	5	52324	257992	0
Th086.07	Th132.11	5	267979	1289222	1
Th086.07	Th132.11	6	85178	222995	1
Th086.07	Th132.11	6	227823	1052578	0
Th086.07	Th132.11	6	1070158	1238724	1
